General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,95400;0,05000;-0,001000;126,600;100,02;0,0000;0,000;100,600;41,500;0,005;298,750;298,250;26,30;298,217;263,190;0,000;24,900;25,500;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,55;15,845;25,023;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;12,3135;0,00000;0,0000;0,00000000;0,00000000;0,00145;-Infinity;0,0123;28,056931;-0,000003;23,732765;23,693045;0,0000;-0,0005;0,00;0,00;0,00;0,00;0,91;;;;0,0131015;20,95300;0,05000;0,00300;0,0001571;;11,61;0,00;;;
Standard used;ISO 5660-1;1;20,95600;0,05000;0,002000;130,550;100,03;0,0000;0,000;100,600;41,500;0,005;298,750;298,350;26,30;298,250;263,190;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,55;15,881;25,044;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;0,00524;Infinity;0,0123;28,491266;-0,000037;24,100160;24,067892;0,0000;-0,0073;0,00;0,00;0,01;0,00;0,04;;0,000;0,000;0,0000000;20,95600;0,05100;0,01800;-0,0002266;;11,61;1,00;;;
Date of test;26.08.2026;2;20,95300;0,05200;0,059000;132,525;100,02;0,0000;0,000;100,604;41,500;0,005;298,750;298,250;26,30;298,250;263,196;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,56;15,889;25,036;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00083415;0,00083415;0,00604;-0,24566;0,0123;28,705969;-0,000002;24,281773;24,241134;0,0000;-0,0003;0,00;0,00;0,01;0,00;-0,26;;0,000;0,000;0,0000000;20,95700;0,05000;0,02100;-0,0003123;;11,61;2,00;;;
Time of test;13:48;3;20,95600;0,05200;0,021000;128,450;100,01;0,0000;0,000;100,608;41,500;0,005;298,750;298,350;26,30;298,250;263,196;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,56;15,822;25,039;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,00583903;-0,00583903;0,00695;0,03455;0,0123;28,261186;0,000155;23,905540;23,873533;0,0000;0,0304;0,00;0,03;0,01;0,00;-0,25;;0,000;0,000;0,0000000;20,95700;0,05000;0,02500;-0,0003630;;11,61;3,00;;;
Heat flux (kW/m²);75;4;20,95600;0,05200;0,011000;130,800;100,02;0,0100;0,000;100,600;41,500;0,005;298,750;298,250;26,30;298,250;263,196;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,56;15,866;25,020;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-0,00583903;-0,00583903;0,00248;0,03486;0,0123;28,518533;0,000017;24,123225;24,082852;0,0000;0,0033;0,00;0,03;0,00;0,00;0,04;;0,000;0,000;0,0000000;20,95600;0,05000;0,00700;-0,0000747;;11,62;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,95600;0,05000;0,001000;129,075;100,01;0,0100;0,000;100,604;41,500;0,005;298,650;298,250;26,30;298,250;263,196;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,56;15,881;25,012;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00083415;0,00083415;0,00147;-0,24248;0,0123;28,334599;0,000103;23,959616;23,927526;0,0000;0,0204;0,00;0,05;0,00;0,00;0,04;;0,000;0,000;0,0000000;20,95600;0,05000;0,00300;-0,0000240;;11,62;5,00;;;
Sampling interval (s);1;6;20,95600;0,05000;-0,007000;129,525;100,02;0,0100;0,000;100,600;41,500;0,005;298,750;298,350;26,30;298,250;263,196;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,56;15,845;25,036;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;19,3193;0,00000;0,0000;0,00000000;0,00000000;-0,00379;-Infinity;0,0316;28,379198;0,000000;24,005364;23,973223;0,0000;0,0000;0,00;0,05;0,00;0,00;0,04;;1,610;0,000;0,0205558;20,95600;0,05000;-0,01800;0,0002418;;11,62;6,00;;;
Separation (mm);25;7;20,95500;0,05000;-0,001000;132,200;100,02;0,0100;0,000;100,604;41,500;0,005;298,750;298,250;26,30;298,250;263,196;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,56;15,883;25,042;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;8,2756;0,00000;0,0000;0,00000000;0,00000000;-0,00105;-Infinity;0,0399;28,670749;0,000018;24,251981;24,211392;0,0000;0,0035;0,00;0,06;0,00;0,00;0,04;;3,351;1,182;0,0088053;20,95600;0,05000;-0,00700;0,0001026;;11,62;7,00;;;
Orientation;hor;8;20,95700;0,05000;-0,003000;129,600;100,02;0,0100;0,000;100,600;41,500;0,005;298,650;298,250;26,30;298,250;263,196;0,000;24,900;25,600;24,800;301,250;;;;;0,00;0,00;0,00;3,00;7,56;15,898;25,020;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;11,2386;0,00000;0,0000;37,60750326;37,60750326;-0,00204;0,00001;0,0511;28,392166;0,000053;24,008294;23,976139;0,0000;0,0104;0,00;0,07;0,00;0,00;0,04;;4,152;1,182;0,0119579;20,95600;0,05100;-0,01100;0,0001405;;11,62;8,00;;;
