General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,94500;0,05000;0,019000;131,125;99,98;0,0000;0,000;100,058;44,000;0,000;299,950;299,350;26,60;308,083;263,158;0,000;34,000;35,800;35,000;302,150;;;;;0,00;0,00;0,00;3,00;4,32;14,744;26,414;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;0,00502;-Infinity;0,0000;28,430649;-0,000044;24,145484;24,097185;0,0000;-0,0010;0,00;0,00;0,01;0,00;-0,01;;;;0,0000000;20,94500;0,05000;0,02800;-0,0003707;;34,20;0,00;;;
Standard used;ISO 5660-1;1;20,94500;0,05000;0,032000;132,375;99,98;0,0000;0,000;100,058;44,000;0,000;299,950;299,350;26,60;308,083;263,164;0,000;34,000;35,800;35,000;302,250;;;;;0,00;0,00;0,00;3,00;4,32;14,756;26,412;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;0,00555;Infinity;0,0000;28,565840;0,000008;24,260298;24,211770;0,0000;0,0002;0,00;0,00;0,01;0,00;-0,09;;0,000;0,000;0,0000000;20,94700;0,05100;0,03000;-0,0005296;;34,20;1,00;;;
Date of test;27.08.2026;2;20,94500;0,04600;-0,032000;132,825;99,98;0,0000;0,000;100,060;44,000;0,000;299,950;299,350;26,70;308,083;263,164;0,000;34,000;35,800;35,000;302,150;;;;;0,00;0,00;0,00;3,00;4,32;14,687;26,409;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;0,00076;-Infinity;0,0000;28,614353;-0,000063;24,301499;24,252888;0,0000;-0,0015;0,00;0,00;0,00;0,00;-0,09;;0,000;0,000;0,0000000;20,94700;0,05000;0,01100;-0,0002762;;34,20;2,00;;;
Time of test;10:52;3;20,94500;0,05100;0,025000;130,900;99,97;0,0000;0,000;100,058;44,000;0,000;299,950;299,350;26,60;308,083;263,164;0,000;34,000;35,800;35,000;302,150;;;;;0,00;0,00;0,00;3,00;4,32;14,725;26,382;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;-0,00050;-Infinity;0,0000;28,406246;0,000095;24,124758;24,076501;0,0000;0,0023;0,00;0,00;0,00;0,00;-0,01;;0,000;0,000;0,0000000;20,94500;0,05000;0,00600;-0,0000921;;34,20;3,00;;;
Heat flux (kW/m²);75;4;20,94700;0,05300;0,039000;131,625;100,00;0,0000;0,000;100,058;44,000;0,000;299,950;299,350;26,70;308,083;263,164;0,000;34,000;35,800;35,000;302,150;;;;;0,00;0,00;0,00;3,00;4,32;14,741;26,409;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;-0,00101;-Infinity;0,0000;28,484803;-0,000221;24,191475;24,143084;0,0000;-0,0053;0,00;0,00;0,00;0,00;-0,05;;0,000;0,000;0,0000000;20,94600;0,05000;0,00400;-0,0001272;;34,20;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,94700;0,05200;0,026000;130,900;99,99;0,0000;0,000;100,058;44,000;0,000;299,950;299,350;26,60;308,050;263,164;0,000;33,900;35,800;35,000;302,150;;;;;0,00;0,00;0,00;3,00;4,32;14,748;26,398;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;-0,00276;-Infinity;0,0000;28,406246;-0,000152;24,124758;24,076501;0,0000;-0,0036;0,00;0,00;0,00;0,00;-0,09;;0,000;0,000;0,0000000;20,94700;0,05000;-0,00300;-0,0000990;;34,20;5,00;;;
Sampling interval (s);1;6;20,94600;0,05200;0,023000;132,275;99,99;0,0000;0,000;100,058;44,000;0,000;299,950;299,350;26,60;308,050;263,164;0,000;33,900;35,800;35,000;302,150;;;;;0,00;0,00;0,00;3,00;4,33;14,742;26,412;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;-0,00302;-Infinity;0,0000;28,555049;-0,000118;24,251134;24,202624;0,0000;-0,0028;0,00;0,00;0,00;0,00;-0,12;;0,000;0,000;0,0000000;20,94800;0,05000;-0,00400;-0,0001467;;34,20;6,00;;;
Separation (mm);25;7;20,94600;0,05100;0,019000;129,950;99,99;0,0000;0,000;100,058;44,000;0,000;299,950;299,350;26,60;308,050;263,164;0,000;33,900;35,800;35,000;302,150;;;;;0,00;0,00;0,00;3,00;4,33;14,765;26,425;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;0,00150;Infinity;0,0000;28,302980;-0,000101;24,037058;23,988976;0,0000;-0,0024;0,00;0,00;0,00;0,00;-0,12;;0,000;0,000;0,0000000;20,94800;0,05100;0,01400;-0,0003873;;34,20;7,00;;;
Orientation;hor;8;20,94700;0,05100;0,016000;121,900;99,99;0,0000;0,000;100,058;44,000;0,000;299,950;299,250;26,70;308,050;263,164;0,000;33,900;35,800;35,000;302,150;;;;;0,00;0,00;0,00;3,00;4,33;14,741;26,409;0,57;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;;;0,00000000;0,00000000;0,00097;Infinity;0,0000;27,412326;-0,000120;23,280645;23,226315;0,0000;-0,0028;0,00;0,00;0,00;0,00;-0,12;;0,000;0,000;0,0000000;20,94800;0,05100;0,01200;-0,0003620;;34,20;8,00;;;
