# run,25082026_Candle_R1.csv
# config_candles,1
# scope,FREE-BURNING candle test (no external flux)
# mass_note,load-cell SHAPE only; absolute mass from manual weigh table
# t_ignition_s,60.0
# t_flameout_s,13845.0
# routeC_HRR_per_candle_W_dHc38,22.9
# HRR_O2_note,near instrument noise floor -- qualitative only
time_from_ignition_s,time_s,mass_lost_since_ignition_g,O2_pct,CO2_pct,CO_pct,HRR_O2_kW,HRR_per_area_kW_m2
-60,0,11.22,20.952,0.049,-0.006,0.0132921,11.9857
-59,1,11.22,20.951,0.048,0.011,0.0109857,9.906
-58,2,11.22,20.951,0.051,0.058,0.0061839,5.5761
-57,3,0.0299,20.951,0.051,0.052,0.0266284,24.0112
-56,4,-0.66,20.953,0.05,0.019,0.0301847,27.2179
-55,5,-0.02,20.951,0.049,-0.001,0.0217892,19.6476
-54,6,-0.02,20.952,0.049,0.003,0.0361482,32.5953
-53,7,-0.02,20.952,0.049,-0.002,0.0461002,41.5691
-52,8,-0.02,20.951,0.049,-0.011,0.0289527,26.107
-51,9,-0.02,20.951,0.049,-0.028,0.0453722,40.9127
-50,10,-0.02,20.951,0.049,-0.005,0.0415766,37.4902
-49,11,-0.02,20.95,0.05,-0.005,0.0297268,26.8051
-48,12,-0.02,20.95,0.052,0.001,0.0183182,16.5177
-47,13,-0.02,20.949,0.051,0.008,0.0130525,11.7696
-46,14,-0.02,20.948,0.051,-0.005,0.011731,10.578
-45,15,-0.02,20.947,0.051,-0.013,0.0110798,9.9908
-44,16,-0.02,20.948,0.052,-0.01,0.0327377,29.52
-43,17,-0.02,20.949,0.051,-0.01,0.0442641,39.9135
-42,18,-0.02,20.946,0.051,-0.024,0.0276965,24.9743
-41,19,-0.02,20.947,0.052,-0.012,0.0364648,32.8808
-40,20,-0.02,20.948,0.052,-0.019,0.0283973,25.6062
-39,21,-0.02,20.946,0.052,-0.015,0.0094733,8.5422
-38,22,-0.02,20.946,0.052,-0.009,0.022014,19.8503
-37,23,-0.02,20.947,0.052,0.011,0.0223219,20.128
-36,24,-0.02,20.945,0.052,0.016,0.0195517,17.63
-35,25,-0.02,20.945,0.053,0.017,0.0136314,12.2916
-34,26,-0.01,20.945,0.052,0.017,0.0307437,27.722
-33,27,-0.01,20.945,0.052,-0.007,0.0381929,34.439
-32,28,-0.01,20.946,0.052,-0.023,0.051403,46.3508
-31,29,-0.01,20.947,0.052,-0.007,0.0327226,29.5064
-30,30,-0.01,20.947,0.052,-0.01,0.0249994,22.5423
-29,31,-0.01,20.946,0.052,-0.003,0.0125655,11.3304
-28,32,-0.01,20.946,0.053,0.005,0.0144194,13.0022
-27,33,-0.01,20.948,0.052,-0.003,0.0099261,8.9505
-26,34,-0.01,20.947,0.052,0.003,0.0221341,19.9586
-25,35,-0.01,20.946,0.052,0.005,0.0074714,6.7371
-24,36,-0.01,20.946,0.052,0.006,0.0305948,27.5877
-23,37,-0.01,20.947,0.052,-0.005,0.019244,17.3525
-22,38,-0.01,20.946,0.052,-0.012,0.0285847,25.7752
-21,39,-0.01,20.946,0.052,-0.02,0.0227238,20.4903
-20,40,-0.01,20.945,0.052,-0.007,0.0309304,27.8904
-19,41,-0.01,20.946,0.052,-0.01,0.02345,21.1452
-18,42,-0.01,20.948,0.052,0.007,0.0155553,14.0264
-17,43,-0.01,20.947,0.052,0.005,0.0115687,10.4316
-16,44,-0.01,20.947,0.052,0.014,0.0282343,25.4592
-15,45,-0.01,20.946,0.052,-0.002,0.0223581,20.1606
-14,46,-0.01,20.947,0.052,0.007,0.0119443,10.7704
-13,47,-0.01,20.948,0.051,0,0.0171201,15.4375
-12,48,-0.01,20.945,0.052,0.002,0.0347781,31.3599
-11,49,-0.01,20.947,0.051,-0.013,0.0214966,19.3838
-10,50,-0.01,20.948,0.052,-0.011,0.0326445,29.4359
-9,51,-0.01,20.949,0.052,-0.01,0.0299398,26.9972
-8,52,-0.01,20.947,0.052,-0.003,0.0052028,4.6914
-7,53,0,20.947,0.052,0.004,0.0137459,12.3949
-6,54,0,20.947,0.051,0.008,0.0136404,12.2997
-5,55,0,20.947,0.051,-0.002,0.0108789,9.8097
-4,56,0,20.946,0.051,-0.001,0.0207847,18.7419
-3,57,0,20.947,0.052,-0.001,0.0263836,23.7904
-2,58,0,20.949,0.05,-0.002,0.0196011,17.6746
-1,59,0,20.948,0.051,-0.016,0.02908,26.2218
0,60,0,20.948,0.051,-0.01,0.0384136,34.6381
1,61,0,20.949,0.051,-0.016,0.0334887,30.1972
2,62,0,20.948,0.051,-0.008,0.0288225,25.9896
3,63,0,20.947,0.051,0.01,0.0114204,10.2979
4,64,0,20.948,0.051,0.007,0,0
5,65,0,20.947,0.051,0.007,0.0133485,12.0366
6,66,0,20.947,0.051,0,0.0052448,4.7293
7,67,0,20.949,0.051,-0.009,0.0277748,25.0449
8,68,0,20.949,0.05,-0.01,0.0376305,33.9319
9,69,0,20.948,0.051,-0.007,0.0497926,44.8987
10,70,0,20.949,0.051,-0.012,0.0370081,33.3707
11,71,0,20.948,0.051,-0.021,0.0204751,18.4626
12,72,0,20.948,0.051,-0.011,0.0156384,14.1014
13,73,0,20.947,0.051,-0.002,0.0048952,4.4141
14,74,0,20.946,0.051,0.004,0.0003222,0.2905
15,75,0,20.948,0.051,0.024,0.0205703,18.5485
16,76,0.0099,20.948,0.052,0.007,0.0265627,23.9519
17,77,0.0099,20.947,0.051,0.009,0.0379358,34.2072
18,78,0.0099,20.948,0.051,-0.011,0.047142,42.5085
19,79,0.0099,20.948,0.051,-0.02,0.0356562,32.1517
20,80,0.0099,20.948,0.051,-0.017,0.0217526,19.6146
21,81,0.0099,20.945,0.051,-0.015,0.0103413,9.3249
22,82,0.0099,20.947,0.051,0.001,0.0078337,7.0638
23,83,0.0099,20.947,0.052,0.005,0.0277587,25.0304
24,84,0.0099,20.947,0.051,0.014,0,0
25,85,0.0099,20.947,0.052,0.024,0.025375,22.8809
26,86,0.0099,20.946,0.052,0.004,0.0103344,9.3186
27,87,0.0099,20.946,0.051,-0.001,0.0165876,14.9573
28,88,0.0099,20.946,0.052,-0.011,0.0222683,20.0796
29,89,0.0099,20.946,0.052,-0.016,0.0239368,21.5841
30,90,0.0099,20.945,0.051,-0.01,0.023613,21.2921
31,91,0.0099,20.946,0.051,-0.001,0.0253646,22.8716
32,92,0.0099,20.947,0.051,0.01,0.0209735,18.9121
33,93,0.0099,20.947,0.051,0.017,0.0179824,16.215
34,94,0.0099,20.946,0.051,-0.001,0.010039,9.0523
35,95,0.0099,20.946,0.052,0.016,0.0246574,22.2339
36,96,0.0099,20.948,0.052,0,0.0266388,24.0206
37,97,0.0099,20.946,0.052,0.009,0.031568,28.4653
38,98,0.0099,20.947,0.052,0.003,0.0319553,28.8145
39,99,0.0099,20.947,0.051,-0.007,0.0477039,43.0152
40,100,0.0099,20.948,0.051,-0.002,0.0278762,25.1363
41,101,0.0099,20.947,0.051,-0.007,0.0240693,21.7036
42,102,0.0199,20.948,0.052,-0.004,0.0172064,15.5152
43,103,0.0199,20.947,0.052,-0.001,0.0174559,15.7402
44,104,0.0199,20.947,0.052,0.002,0.012925,11.6547
45,105,0.0199,20.947,0.051,0.009,0.0168803,15.2212
46,106,0.0199,20.947,0.051,-0.003,0.0127329,11.4815
47,107,0.0199,20.947,0.051,-0.01,0.0268956,24.2522
48,108,0.0199,20.948,0.051,-0.014,0.0452419,40.7952
49,109,0.0199,20.948,0.051,-0.01,0.0393637,35.4948
50,110,0.0199,20.947,0.051,-0.025,0.027345,24.6573
51,111,0.0199,20.947,0.051,-0.011,0.0157564,14.2078
52,112,0.0199,20.948,0.051,-0.003,0.0126641,11.4194
53,113,0.0199,20.947,0.051,-0.001,0.0090992,8.2048
54,114,0.0199,20.948,0.051,-0.006,0,0
55,115,0.0199,20.949,0.051,0.003,0.0073764,6.6514
56,116,0.0199,20.948,0.051,0.004,0.0181625,16.3773
57,117,0.0199,20.947,0.051,0.003,0.0224148,20.2118
58,118,0.0199,20.948,0.051,-0.001,0.0313108,28.2334
59,119,0.0199,20.946,0.051,-0.013,0.0263825,23.7895
60,120,0.0299,20.945,0.051,-0.012,0.0343326,30.9582
61,121,0.0299,20.946,0.051,-0.006,0.0219818,19.8213
62,122,0.0299,20.947,0.051,0,0.0240458,21.6824
63,123,0.0299,20.948,0.051,0.008,0.0212057,19.1215
64,124,0.0299,20.947,0.052,0.011,0.0210965,19.023
65,125,0.0299,20.947,0.051,0.016,0.0068904,6.2132
66,126,0.0299,20.948,0.051,0.008,0.0335428,30.246
67,127,0.0299,20.948,0.051,-0.002,0.0184113,16.6017
68,128,0.0299,20.948,0.051,-0.001,0.0435576,39.2764
69,129,0.0299,20.947,0.052,-0.009,0.0375746,33.8815
70,130,0.0299,20.947,0.052,-0.006,0.0292023,26.3321
71,131,0.0299,20.947,0.052,-0.014,0.0266955,24.0717
72,132,0.0299,20.947,0.052,-0.002,0.0228949,20.6446
73,133,0.0299,20.947,0.051,-0.004,0.0071633,6.4592
74,134,0.0299,20.947,0.05,0,0.0153783,13.8668
75,135,0.0299,20.947,0.051,0.006,0.0049497,4.4632
76,136,0.0299,20.946,0.052,0.018,0.0213128,19.218
77,137,0.0299,20.946,0.051,-0.003,0.0231922,20.9127
78,138,0.0299,20.945,0.051,0.007,0.0182979,16.4994
79,139,0.0299,20.946,0.051,-0.011,0.0396304,35.7353
80,140,0.0299,20.945,0.051,-0.011,0.0362142,32.6549
81,141,0.0399,20.946,0.052,-0.007,0.0461866,41.6471
82,142,0.0399,20.947,0.052,-0.006,0.0375042,33.818
83,143,0.0399,20.947,0.052,-0.003,0.0160667,14.4875
84,144,0.0399,20.947,0.052,0.012,0.004628,4.1731
85,145,0.0399,20.947,0.051,0.009,0.0175221,15.7999
86,146,0.0399,20.946,0.051,0.015,0.0133154,12.0067
87,147,0.0399,20.947,0.052,0,0.0159403,14.3736
88,148,0.0399,20.947,0.053,0.002,0.020953,18.8936
89,149,0.0399,20.946,0.052,-0.004,0.0257418,23.2118
90,150,0.0399,20.948,0.052,-0.018,0.0542585,48.9256
91,151,0.0399,20.947,0.051,-0.01,0.0364092,32.8307
92,152,0.0399,20.946,0.051,-0.019,0.0262292,23.6512
93,153,0.0399,20.946,0.051,-0.015,0.021583,19.4617
94,154,0.0399,20.947,0.052,0,0.0045389,4.0928
95,155,0.0399,20.948,0.052,0.019,0.0125844,11.3475
96,156,0.0399,20.946,0.052,0.007,0.0092855,8.3729
97,157,0.0399,20.946,0.052,0.011,0.0220079,19.8448
98,158,0.0399,20.946,0.052,-0.001,0.0387315,34.9247
99,159,0.05,20.948,0.053,0.004,0.0333833,30.1021
100,160,0.05,20.946,0.052,0.003,0.0199265,17.968
101,161,0.05,20.945,0.052,-0.017,0.029298,26.4184
102,162,0.05,20.944,0.051,-0.015,0.0185115,16.692
103,163,0.05,20.947,0.051,-0.005,0.0166582,15.021
104,164,0.05,20.947,0.052,0.004,0.0126451,11.4023
105,165,0.05,20.946,0.052,0.019,0.006289,5.6708
106,166,0.05,20.946,0.052,0.007,0.0230912,20.8217
107,167,0.05,20.947,0.052,0.005,0.0158113,14.2573
108,168,0.05,20.948,0.052,0.003,0.0096503,8.7018
109,169,0.05,20.946,0.052,-0.008,0.0124966,11.2683
110,170,0.05,20.945,0.052,-0.008,0.0275236,24.8184
111,171,0.05,20.946,0.052,0,0.0275175,24.8129
112,172,0.05,20.947,0.051,-0.008,0.0324764,29.2844
113,173,0.05,20.947,0.052,0.007,0.0291107,26.2495
114,174,0.05,20.946,0.052,0.003,0.0176915,15.9526
115,175,0.05,20.947,0.052,0.007,0.0142498,12.8492
