tc,time_s,measured_C,base_s0_C,hrr_band_pm3W_C,rad_band_halfrange_C,wall_ins_delta_C,wall_adi_delta_C,hrr_nonlinearity_C
T1,150,76.27,0.40,0.08,0.02,0.00,23.08,0.01
T1,250,92.07,0.51,0.09,0.05,0.01,34.81,0.00
T1,350,95.93,0.57,0.09,0.04,0.01,45.59,0.00
T2,150,9.57,1.43,0.24,0.08,-0.00,27.52,0.01
T2,250,12.57,1.50,0.27,0.19,0.04,39.42,0.01
T2,350,17.40,1.46,0.25,0.17,-0.01,50.14,0.01
T3,150,30.00,15.44,2.02,1.72,0.14,24.47,0.30
T3,250,32.10,17.13,2.01,1.10,0.02,33.06,0.58
T3,350,33.90,22.52,1.69,2.50,-0.00,37.80,0.10
T5,150,2.20,2.35,0.20,0.44,-0.09,26.49,0.73
T5,250,2.83,1.68,0.58,0.07,-0.30,40.03,0.02
T5,350,2.90,2.21,0.42,0.19,0.02,49.66,0.02
T9,150,0.03,0.01,0.00,0.00,-0.00,9.17,0.00
T9,250,0.10,0.02,0.00,0.00,0.00,19.95,0.00
T9,350,0.10,0.02,0.00,0.00,-0.00,31.25,0.00
T10,150,0.27,0.47,0.11,0.18,0.04,22.35,0.14
T10,250,0.33,0.23,0.04,0.05,0.09,33.93,0.06
T10,350,0.47,0.66,0.07,0.17,-0.30,42.92,0.26
T11,150,2.80,0.49,0.09,0.26,-0.07,27.74,0.25
T11,250,3.53,0.91,0.28,0.18,0.61,39.16,0.18
T11,350,3.40,1.28,0.15,0.40,-0.39,48.79,0.21
