General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,95100;0,04900;-0,004000;130,400;100,02;0,0000;0,000;100,686;37,700;0,005;299,550;298,750;25,40;315,283;263,164;0,000;39,900;43,500;43,000;301,350;;;;;0,00;0,00;0,00;3,00;3,02;15,639;25,106;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;21,7245;0,00000;0,0000;-0,05333328;-0,05333328;0,00017;-0,03643;0,0217;28,436844;-0,000085;24,118539;24,054126;0,0000;-0,0172;0,00;0,00;0,00;0,00;1,55;;;;0,0227455;20,94500;0,05400;-0,00100;0,0002681;;11,22;0,00;;;
Standard used;ISO 5660-1;1;20,95100;0,04900;-0,002000;130,400;100,01;0,0000;0,000;100,686;37,700;0,005;299,550;298,750;25,40;315,283;263,164;0,000;39,900;43,500;43,000;301,350;;;;;0,00;0,00;0,00;3,00;3,03;15,652;25,114;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;5,9738;0,01714;-0,0126;0,36499961;0,36499961;0,00518;0,00532;0,0277;28,436844;-0,000022;24,118539;24,054126;0,0000;-0,0044;0,00;0,00;0,01;0,00;1,85;;2,987;5,974;0,0062545;20,94400;0,05400;0,01900;0,0000754;;11,22;1,00;;;
Date of test;26.08.2026;2;20,95000;0,05300;0,048000;129,575;100,01;-0,6400;0,000;100,686;37,700;0,005;299,550;298,750;25,40;315,217;263,164;0,000;39,800;43,500;42,900;301,350;;;;;0,00;0,00;0,00;3,00;3,03;15,654;25,111;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;7,7584;0,01882;-0,0132;0,43166653;0,43166653;0,00542;0,00650;0,0355;28,346746;-0,000027;24,042122;23,977914;0,0000;-0,0054;0,00;0,00;0,01;0,00;2,15;;4,926;5,974;0,0081230;20,94300;0,05600;0,02000;0,0000978;;10,58;2,00;;;
Time of test;11:04;3;20,94800;0,05200;0,003000;134,225;100,01;-0,7400;0,000;100,686;37,700;0,005;299,550;298,750;25,40;315,217;263,164;0,000;39,800;43,500;42,900;301,350;;;;;0,00;0,00;0,00;3,00;3,03;15,667;25,111;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;21,5171;0,00000;0,0000;0,00500027;0,00500027;0,00195;0,65896;0,0570;28,850897;0,000020;24,469715;24,404365;0,0000;0,0040;0,00;0,00;0,00;0,00;2,18;;8,164;11,155;0,0225284;20,94300;0,05700;0,00600;0,0002624;;10,48;3,00;;;
Heat flux (kW/m²);0;4;20,95100;0,05000;-0,008000;128,175;100,02;-0,7400;0,000;100,686;37,700;0,005;299,650;298,850;25,40;315,183;263,164;0,000;39,700;43,500;42,900;301,450;;;;;0,00;0,00;0,00;3,00;3,03;15,667;25,122;0,59;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;25,1147;0,00000;0,0000;-0,00833337;-0,00833337;0,00091;-0,38632;0,0821;28,188489;-0,000052;23,915879;23,852029;0,0000;-0,0105;0,00;0,00;0,00;0,00;2,13;;11,952;11,155;0,0262951;20,94300;0,05700;0,00200;0,0003130;;10,48;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,94900;0,05000;-0,005000;128,350;100,01;-0,7400;0,000;100,686;37,700;0,005;299,650;298,850;25,40;315,183;263,164;0,000;39,700;43,500;42,900;301,450;;;;;0,00;0,00;0,00;3,00;3,03;15,675;25,122;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;44,3023;0,00000;0,0000;0,00000000;0,00000000;-0,00232;Infinity;0,1264;28,207725;0,000011;23,932200;23,868306;0,0000;0,0022;0,00;0,01;0,00;0,00;2,43;;16,503;19,857;0,0463845;20,94200;0,05600;-0,01100;0,0005505;;10,48;5,00;;;
Sampling interval (s);1;6;20,95000;0,05100;-0,009000;133,425;100,00;-0,7400;0,000;100,686;37,700;0,005;299,650;298,950;25,40;315,183;263,164;0,000;39,700;43,500;42,900;301,450;;;;;0,00;0,00;0,00;3,00;3,03;15,643;25,124;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;45,1697;0,00000;0,0000;0,00000000;0,00000000;-0,00237;Infinity;0,1716;28,759991;0,000073;24,400756;24,343755;0,0000;0,0149;0,00;0,02;0,00;0,00;2,48;;21,209;19,857;0,0472926;20,94200;0,05600;-0,01100;0,0005505;;10,48;6,00;;;
Separation (mm);25;7;20,94900;0,05200;-0,005000;119,675;100,00;-0,7400;0,000;100,686;37,700;0,005;299,650;298,950;25,40;315,183;263,164;0,000;39,700;43,500;42,900;301,450;;;;;0,00;0,00;0,00;3,00;3,03;15,692;25,111;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;41,3086;0,00000;0,0000;0,00000000;0,00000000;-0,00392;Infinity;0,2129;27,237788;0,000069;23,109279;23,055294;0,0000;0,0132;0,00;0,03;0,00;0,00;1,77;;24,356;26,414;0,0432501;20,94400;0,05500;-0,01800;0,0005309;;10,48;7,00;;;
Orientation;hor;8;20,94800;0,05100;-0,014000;132,825;100,01;-0,7400;0,000;100,686;37,700;0,005;299,750;298,950;25,40;315,183;263,164;0,000;39,700;43,500;42,900;301,450;;;;;0,00;0,00;0,00;3,00;3,03;15,654;25,138;0,60;0,59;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;41,7005;0,00000;0,0000;-0,00083335;-0,00083335;-0,00489;-2,87874;0,2546;28,690465;0,000012;24,349892;24,284905;0,0000;0,0024;0,00;0,04;0,00;0,00;1,57;;26,499;26,414;0,0436604;20,94500;0,05500;-0,02100;0,0005085;;10,48;8,00;;;
