General information;;time (s);O2;CO2;CO;Pdiff;Light;Mass;Methane;AmbP;AmbH;HFM;TC stack;TC smoke;TC amb.;TC cone;T PK;Soot;TC cone1;TC cone2;TC cone3;TC aux;CH4;CO;CO2;Ethene;H2O;n.u.;n.u.;UOX Bin;n.u.;UOX Hum.;UOX Temp;n.u.;TEext1;TEext2;TEext3;TEext4;TEext5;TEext6;TEext7;TEext8;TEext9;TEext10;TEext11;TEext12;TEext13;TEext14;TEext15;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;n.u.;HRR/a;EHC;SEA;MLR;MLR/a;COY;CO2Y/sh;THR/a;MFR;K;Vstack;Vsmoke;SPR;RSR;TSP;TSR;COP;CO2P;O2C;TOC;ARHE;Mass;HRR;O2/sh;CO2/sh;CO/sh;phi;FU27;FU28;FU29;FU30;FU31;
;;;%;%;%;Pa;-;g;g/s;Pa;%;kW/m²;°C;°C;°C;°C;°C;g/min;°C;°C;°C;°C;ppm;ppm;%;ppm;ppm;no;no;;no;%;°C;no;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;no;kW/m²;MJ/kg;m²/kg;g/s;g/(s*m²);[kg/kg];[kg/kg];MJ/m²;g/s;1/m;l/s;l/s;m²/s;(m²/s)/m²;m²;m²;g/s;g/s;g/s;g;kW/m²;g;kW;[%];[%];%;;;;;;;
Test;;0;20,96100;0,05000;0,026000;127,775;100,11;0,0000;0,000;100,074;43,300;0,005;304,150;302,250;25,70;325,950;263,164;0,000;49,100;55,200;54,100;301,950;;;;;0,00;0,00;0,00;3,00;2,50;15,471;25,966;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;0,00175;-Infinity;0,0000;27,870675;-0,000357;24,001345;23,851410;-0,0001;-0,0085;0,00;0,00;0,00;0,00;-0,08;;;;0,0000000;20,96200;0,04900;0,01500;-0,0003139;;38,13;0,00;;;
Standard used;ISO 5660-1;1;20,96200;0,04900;0,021000;124,600;100,12;0,0000;0,000;100,074;43,300;0,005;304,150;302,250;25,70;325,950;263,164;0,000;49,100;55,200;54,100;301,950;;;;;0,00;0,00;0,00;3,00;2,51;15,469;25,984;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;0,00000000;0,00000000;0,00125;-Infinity;0,0000;27,522226;-0,000430;23,701272;23,553212;-0,0001;-0,0100;0,00;0,00;0,00;0,00;-0,01;;0,000;0,000;0,0000000;20,96000;0,05000;0,01300;-0,0001805;;38,13;1,00;;;
Date of test;27.08.2026;2;20,96300;0,04700;-0,008000;127,800;100,12;0,0000;0,000;100,076;43,300;0,005;304,150;302,250;25,70;325,950;263,164;0,000;49,100;55,200;54,100;301,950;;;;;0,00;0,00;0,00;3,00;2,51;15,454;25,931;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;6,51333300;6,51333300;-0,00095;0,00004;0,0000;27,873402;-0,000416;24,003693;23,853744;-0,0001;-0,0098;0,00;0,00;0,00;0,00;0,02;;0,000;0,000;0,0000000;20,95900;0,05100;0,00400;-0,0000188;;38,13;2,00;;;
Time of test;10:19;3;20,96200;0,05100;0,016000;130,775;100,13;0,0000;0,000;100,074;43,300;0,005;304,150;302,250;25,70;325,917;263,170;0,000;49,000;55,200;54,100;301,950;;;;;0,00;0,00;0,00;3,00;2,51;15,477;25,968;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;0,0000;0,00000;0,0000;-6,35999552;-6,35999552;-0,00096;-0,00018;0,0000;28,195962;-0,000576;24,281472;24,129787;-0,0001;-0,0138;0,00;0,00;0,00;0,00;0,02;;0,000;0,000;0,0000000;20,95900;0,05300;0,00400;-0,0000442;;38,13;3,00;;;
Heat flux (kW/m²);75;4;20,96000;0,05000;0,007000;127,500;100,11;78,1600;0,000;100,074;43,300;0,005;304,150;302,250;25,70;325,917;263,170;0,000;49,000;55,200;54,100;301,950;;;;;0,00;0,00;0,00;3,00;2,51;15,484;25,966;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;2,5691;0,00000;0,0000;-229,60667928;-229,60667928;-0,00316;-0,00001;0,0026;27,840667;-0,000354;23,975503;23,825730;-0,0001;-0,0084;0,00;0,00;0,00;0,00;0,16;;0,321;0,000;0,0227004;20,95500;0,05600;-0,00500;0,0002733;;116,29;4,00;;;
Nominal duct flow rate (l/s);24,0;5;20,96200;0,04900;-0,021000;125,150;100,12;548,9600;0,000;100,068;43,300;0,005;304,150;302,250;25,70;325,850;263,170;0,000;49,000;55,100;54,000;301,950;;;;;0,00;0,00;0,00;3,00;2,51;15,479;25,952;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;5,7704;0,00000;0,0000;-902,46001689;-902,46001689;-0,00678;0,00000;0,0083;27,582904;-0,000427;23,753525;23,605139;-0,0001;-0,0100;0,00;0,00;-0,01;0,00;0,26;;1,091;1,154;0,0509875;20,95200;0,05800;-0,02000;0,0006188;;587,09;5,00;;;
Sampling interval (s);1;6;20,96200;0,04900;0,006000;123,325;100,13;1636,4000;0,000;100,074;43,300;0,005;304,150;302,250;25,70;325,850;263,170;0,000;49,000;55,100;54,000;301,950;;;;;0,00;0,00;0,00;3,00;2,51;15,418;25,944;0,58;0,57;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;4,7831;0,00000;0,0000;-595,10999235;-595,10999235;-0,00045;-0,00001;0,0131;27,381050;-0,000535;23,579695;23,432395;-0,0001;-0,0125;0,00;0,00;0,00;0,00;0,40;;1,789;1,154;0,0422639;20,94800;0,05900;0,00600;0,0005187;;1674,53;6,00;;;
Separation (mm);25;7;20,95900;0,05000;0,003000;125,550;100,13;1636,4000;0,000;100,074;43,300;0,005;304,150;302,350;25,70;325,817;263,170;0,000;48,900;55,100;54,000;301,950;;;;;0,00;0,00;0,00;3,00;2,51;15,507;25,947;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;3,6108;0,00000;0,0000;90,65161641;90,65161641;0,00247;0,00005;0,0167;27,626948;-0,000522;23,791455;23,650654;-0,0001;-0,0123;0,00;0,00;0,00;0,00;0,44;;2,133;2,165;0,0319046;20,94700;0,06200;0,01800;0,0003892;;1674,53;7,00;;;
Orientation;hor;8;20,95900;0,05000;0,021000;126,475;100,13;1636,3601;0,000;100,072;43,300;0,005;304,250;302,450;25,70;325,783;263,170;0,000;48,800;55,100;54,000;301,950;;;;;0,00;0,00;0,00;3,00;2,52;15,433;25,976;0,58;0,58;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;999998,00;;;;;;;;;;;;;;;;;4,9902;0,00000;0,0000;0,92745972;0,92745972;0,00199;0,00534;0,0217;27,723976;-0,000510;23,882862;23,741567;-0,0001;-0,0120;0,00;0,00;0,00;0,00;0,51;;2,404;2,165;0,0440936;20,94500;0,06200;0,01600;0,0005353;;1674,49;8,00;;;
