s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T1_gas,T2,T2_gas,T3,T3_gas,T5,T5_gas,T9,T9_gas,T10,T10_gas,T11,T11_gas,HRR,O2_room,p_box
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-1.48900E-005
 1.01610E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 8.98410E-006, 2.06860E-001, 5.35055E-003
 2.00962E+000, 2.50000E+001, 2.50001E+001, 2.50000E+001, 2.50001E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50001E+001, 2.50000E+001, 2.50001E+001, 2.50000E+001, 2.50000E+001, 6.53688E-005, 2.06860E-001, 7.78347E-002
 3.00315E+000, 2.50002E+001, 2.50005E+001, 2.50000E+001, 2.50003E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50002E+001, 2.50000E+001, 2.50002E+001, 2.50000E+001, 2.50002E+001, 1.78397E-004, 2.06860E-001, 2.92243E-001
 4.01925E+000, 2.50010E+001, 2.50207E+001, 2.50001E+001, 2.50007E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50006E+001, 2.50000E+001, 2.50006E+001, 2.50000E+001, 2.50005E+001, 3.50603E-004, 2.06860E-001, 7.70446E-001
 5.01277E+000, 2.50078E+001, 2.50969E+001, 2.50004E+001, 2.50014E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50001E+001, 2.50013E+001, 2.50001E+001, 2.50014E+001, 2.50001E+001, 2.50010E+001, 5.80821E-004, 2.06860E-001, 1.62961E+000
 6.00629E+000, 2.50159E+001, 2.50741E+001, 2.50027E+001, 2.50753E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50002E+001, 2.50022E+001, 2.50003E+001, 2.50024E+001, 2.50002E+001, 2.50018E+001, 8.65797E-004, 2.06860E-001, 2.92390E+000
 7.02239E+000, 2.50232E+001, 2.50765E+001, 2.50134E+001, 2.51294E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50005E+001, 2.50035E+001, 2.50005E+001, 2.50039E+001, 2.50004E+001, 2.50028E+001, 1.21191E-003, 2.06860E-001, 4.72098E+000
 8.01591E+000, 2.50315E+001, 2.50859E+001, 2.50244E+001, 2.51361E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50007E+001, 2.50050E+001, 2.50008E+001, 2.50056E+001, 2.50006E+001, 2.50040E+001, 1.61597E-003, 2.06860E-001, 6.87600E+000
 9.00944E+000, 2.50409E+001, 2.50916E+001, 2.50366E+001, 2.51676E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50011E+001, 2.50066E+001, 2.50013E+001, 2.50077E+001, 2.50009E+001, 2.50053E+001, 2.07278E-003, 2.06860E-001, 9.41031E+000
 1.00030E+001, 2.50512E+001, 2.50987E+001, 2.50513E+001, 2.51954E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50016E+001, 2.50085E+001, 2.50018E+001, 2.50100E+001, 2.50013E+001, 2.50067E+001, 2.58643E-003, 2.06860E-001, 1.23761E+001
 1.10191E+001, 2.50629E+001, 2.51075E+001, 2.50671E+001, 2.52158E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50022E+001, 2.50105E+001, 2.50026E+001, 2.50127E+001, 2.50018E+001, 2.50084E+001, 3.16397E-003, 2.06860E-001, 1.57879E+001
 1.20126E+001, 2.50767E+001, 2.51159E+001, 2.50838E+001, 2.52351E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50030E+001, 2.50128E+001, 2.50035E+001, 2.50157E+001, 2.50024E+001, 2.50102E+001, 3.79939E-003, 2.06860E-001, 1.96807E+001
 1.30061E+001, 2.50918E+001, 2.51214E+001, 2.51001E+001, 2.52402E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50038E+001, 2.50153E+001, 2.50045E+001, 2.50191E+001, 2.50031E+001, 2.50122E+001, 4.48447E-003, 2.06860E-001, 2.40690E+001
 1.40222E+001, 2.51079E+001, 2.51227E+001, 2.51150E+001, 2.52268E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50048E+001, 2.50181E+001, 2.50058E+001, 2.50229E+001, 2.50039E+001, 2.50145E+001, 5.23656E-003, 2.06860E-001, 2.90939E+001
