s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PARAFFIN,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.55323E-006, 3.03490E-025, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.55323E-006, 0.00000E+000, 0.00000E+000, 0.00000E+000,-5.87029E-002
 1.01610E+000, 8.98410E-006, 0.00000E+000,-1.00733E-008, 6.87513E-015,-7.67019E-007,-3.73078E-024, 3.16276E-006, 0.00000E+000, 1.07009E-005, 1.13698E-005, 0.00000E+000, 0.00000E+000, 2.43916E-010,-3.75747E-002
 2.00962E+000, 6.53688E-005, 0.00000E+000,-5.40764E-006,-1.78502E-014,-9.92986E-006,-2.52203E-023, 1.97958E-005, 0.00000E+000, 6.83209E-005, 6.98271E-005, 0.00000E+000, 0.00000E+000, 1.64932E-009, 9.44595E-002
 3.00314E+000, 1.78397E-004, 0.00000E+000,-3.40574E-005,-5.94385E-012,-2.58744E-005,-6.72961E-023, 4.71215E-005, 0.00000E+000, 1.62777E-004, 1.65587E-004, 0.00000E+000, 0.00000E+000, 4.40290E-009, 4.09368E-001
 4.01925E+000, 3.50603E-004, 0.00000E+000,-7.28896E-005,-2.32655E-012,-3.75624E-005,-1.30899E-022, 9.58221E-005, 0.00000E+000, 3.32068E-004, 3.35973E-004, 0.00000E+000, 0.00000E+000, 8.56725E-009, 1.06621E+000
 5.01277E+000, 5.80821E-004, 0.00000E+000,-1.29340E-004,-8.34224E-011,-6.01188E-005,-2.15472E-022, 1.56523E-004, 0.00000E+000, 5.43624E-004, 5.47885E-004, 0.00000E+000, 0.00000E+000, 1.41111E-008, 2.11768E+000
 6.00629E+000, 8.65797E-004, 0.00000E+000,-1.98422E-004,-2.37008E-009,-8.93746E-005,-3.19807E-022, 2.31306E-004, 0.00000E+000, 8.03608E-004, 8.09303E-004, 0.00000E+000, 0.00000E+000, 2.09566E-008, 3.67212E+000
 7.02239E+000, 1.21191E-003, 0.00000E+000,-2.81885E-004,-1.17788E-008,-2.05058E-004,-4.46214E-022, 2.91063E-004, 0.00000E+000, 1.01221E-003, 1.01602E-003, 0.00000E+000, 0.00000E+000, 2.92593E-008, 5.67638E+000
 8.01591E+000, 1.61597E-003, 0.00000E+000,-3.89064E-004,-1.49879E-008,-3.76203E-004,-5.93428E-022, 3.42206E-004, 0.00000E+000, 1.18886E-003, 1.19289E-003, 0.00000E+000, 0.00000E+000, 3.89416E-008, 7.98094E+000
 9.00943E+000, 2.07278E-003, 0.00000E+000,-4.87660E-004,-3.66230E-008,-5.71370E-004,-7.59529E-022, 4.08301E-004, 0.00000E+000, 1.41749E-003, 1.42201E-003, 0.00000E+000, 0.00000E+000, 4.98790E-008, 1.07309E+001
 1.00030E+001, 2.58643E-003, 0.00000E+000,-6.11371E-004,-5.09319E-008,-8.08025E-004,-9.45927E-022, 4.70771E-004, 0.00000E+000, 1.63328E-003, 1.63775E-003, 0.00000E+000, 0.00000E+000, 6.21701E-008, 1.39023E+001
