,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-09-02T01:11:26.611+02:00, 0.226E-01,   0.02258, 0.15812E+02
       2,2026-09-02T01:11:26.819+02:00, 0.226E-01,   0.04516, 0.16984E+02
       3,2026-09-02T01:11:27.064+02:00, 0.226E-01,   0.06774, 0.18449E+02
       4,2026-09-02T01:11:27.249+02:00, 0.226E-01,   0.09032, 0.19553E+02
       5,2026-09-02T01:11:27.433+02:00, 0.226E-01,   0.11290, 0.20644E+02
       6,2026-09-02T01:11:27.682+02:00, 0.226E-01,   0.13548, 0.22126E+02
       7,2026-09-02T01:11:27.872+02:00, 0.226E-01,   0.15806, 0.23262E+02
       8,2026-09-02T01:11:28.058+02:00, 0.226E-01,   0.18064, 0.24361E+02
       9,2026-09-02T01:11:28.298+02:00, 0.226E-01,   0.20322, 0.25792E+02
      10,2026-09-02T01:11:28.488+02:00, 0.226E-01,   0.22580, 0.26922E+02
      20,2026-09-02T01:11:30.502+02:00, 0.226E-01,   0.45160, 0.38926E+02
      30,2026-09-02T01:11:32.588+02:00, 0.226E-01,   0.67740, 0.51331E+02
      40,2026-09-02T01:11:34.611+02:00, 0.226E-01,   0.90320, 0.63395E+02
      50,2026-09-02T01:11:36.653+02:00, 0.226E-01,   1.12900, 0.75540E+02
      60,2026-09-02T01:11:38.773+02:00, 0.226E-01,   1.35480, 0.88138E+02
      70,2026-09-02T01:11:40.799+02:00, 0.226E-01,   1.58060, 0.10020E+03
      80,2026-09-02T01:11:42.846+02:00, 0.226E-01,   1.80640, 0.11231E+03
      90,2026-09-02T01:11:44.978+02:00, 0.226E-01,   2.03220, 0.12486E+03
     100,2026-09-02T01:11:47.008+02:00, 0.226E-01,   2.25800, 0.13692E+03
     200,2026-09-02T01:12:07.235+02:00, 0.226E-01,   4.51601, 0.25735E+03
     300,2026-09-02T01:12:27.547+02:00, 0.226E-01,   6.77401, 0.37775E+03
     400,2026-09-02T01:12:47.710+02:00, 0.226E-01,   9.03202, 0.49770E+03
     500,2026-09-02T01:13:07.812+02:00, 0.226E-01,  11.29002, 0.61734E+03
     600,2026-09-02T01:13:27.711+02:00, 0.226E-01,  13.54802, 0.73555E+03
     700,2026-09-02T01:13:47.354+02:00, 0.203E-01,  15.74247, 0.85228E+03
     800,2026-09-02T01:14:07.016+02:00, 0.183E-01,  17.76529, 0.96930E+03
     900,2026-09-02T01:14:26.818+02:00, 0.183E-01,  19.59199, 0.10869E+04
    1000,2026-09-02T01:14:46.458+02:00, 0.183E-01,  21.41869, 0.12040E+04
    1100,2026-09-02T01:15:06.259+02:00, 0.163E-01,  23.10332, 0.13217E+04
    1200,2026-09-02T01:15:26.302+02:00, 0.146E-01,  24.65956, 0.14409E+04
    1300,2026-09-02T01:15:46.732+02:00, 0.130E-01,  26.05415, 0.15627E+04
    1400,2026-09-02T01:16:08.366+02:00, 0.130E-01,  27.35775, 0.16859E+04
    1500,2026-09-02T01:16:30.673+02:00, 0.130E-01,  28.66136, 0.18096E+04
    1600,2026-09-02T01:16:51.926+02:00, 0.130E-01,  29.96496, 0.19331E+04
    1700,2026-09-02T01:17:12.580+02:00, 0.130E-01,  31.26856, 0.20542E+04
    1800,2026-09-02T01:17:33.768+02:00, 0.130E-01,  32.57216, 0.21775E+04
    1900,2026-09-02T01:17:55.646+02:00, 0.130E-01,  33.87576, 0.23020E+04
    2000,2026-09-02T01:18:16.495+02:00, 0.130E-01,  35.17937, 0.24247E+04
    2100,2026-09-02T01:18:36.910+02:00, 0.130E-01,  36.48297, 0.25452E+04
    2200,2026-09-02T01:18:58.128+02:00, 0.143E-01,  37.90129, 0.26698E+04
    2300,2026-09-02T01:19:19.139+02:00, 0.143E-01,  39.33525, 0.27943E+04
    2400,2026-09-02T01:19:40.426+02:00, 0.141E-01,  40.75653, 0.29200E+04
    2500,2026-09-02T01:20:02.222+02:00, 0.141E-01,  42.16611, 0.30463E+04
    2600,2026-09-02T01:20:23.997+02:00, 0.139E-01,  43.54029, 0.31735E+04
    2700,2026-09-02T01:20:46.746+02:00, 0.139E-01,  44.93295, 0.33071E+04
    2800,2026-09-02T01:21:10.390+02:00, 0.139E-01,  46.32562, 0.34419E+04
    2900,2026-09-02T01:21:31.817+02:00, 0.139E-01,  47.71828, 0.35670E+04
    3000,2026-09-02T01:21:52.508+02:00, 0.139E-01,  49.11094, 0.36898E+04
    3100,2026-09-02T01:22:12.875+02:00, 0.139E-01,  50.50360, 0.38110E+04
    3200,2026-09-02T01:22:33.308+02:00, 0.139E-01,  51.89627, 0.39325E+04
    3300,2026-09-02T01:22:53.874+02:00, 0.139E-01,  53.28893, 0.40543E+04
    3400,2026-09-02T01:23:14.018+02:00, 0.139E-01,  54.68159, 0.41742E+04
    3500,2026-09-02T01:23:34.356+02:00, 0.139E-01,  56.07426, 0.42954E+04
    3600,2026-09-02T01:23:54.932+02:00, 0.139E-01,  57.46692, 0.44179E+04
    3700,2026-09-02T01:24:15.599+02:00, 0.139E-01,  58.85958, 0.45409E+04
    3800,2026-09-02T01:24:36.167+02:00, 0.139E-01,  60.25224, 0.46634E+04
    3900,2026-09-02T01:24:57.065+02:00, 0.139E-01,  61.64491, 0.47864E+04
    4000,2026-09-02T01:25:18.064+02:00, 0.139E-01,  63.03757, 0.49096E+04
    4100,2026-09-02T01:25:38.510+02:00, 0.139E-01,  64.43023, 0.50313E+04
    4200,2026-09-02T01:25:58.980+02:00, 0.139E-01,  65.82290, 0.51528E+04
    4300,2026-09-02T01:26:19.414+02:00, 0.139E-01,  67.21556, 0.52744E+04
    4400,2026-09-02T01:26:39.854+02:00, 0.139E-01,  68.60822, 0.53959E+04
    4500,2026-09-02T01:27:00.259+02:00, 0.139E-01,  70.00089, 0.55174E+04
    4600,2026-09-02T01:27:20.670+02:00, 0.139E-01,  71.39355, 0.56389E+04
    4700,2026-09-02T01:27:41.214+02:00, 0.139E-01,  72.78621, 0.57613E+04
    4800,2026-09-02T01:28:02.025+02:00, 0.139E-01,  74.17887, 0.58847E+04
    4900,2026-09-02T01:28:22.690+02:00, 0.139E-01,  75.57154, 0.60075E+04
    5000,2026-09-02T01:28:43.236+02:00, 0.139E-01,  76.96420, 0.61299E+04
    5100,2026-09-02T01:29:04.082+02:00, 0.139E-01,  78.35686, 0.62536E+04
    5200,2026-09-02T01:29:24.892+02:00, 0.139E-01,  79.74953, 0.63774E+04
    5300,2026-09-02T01:29:45.602+02:00, 0.139E-01,  81.14219, 0.65008E+04
    5400,2026-09-02T01:30:06.536+02:00, 0.139E-01,  82.53485, 0.66251E+04
    5500,2026-09-02T01:30:27.368+02:00, 0.139E-01,  83.92751, 0.67489E+04
    5600,2026-09-02T01:30:48.277+02:00, 0.139E-01,  85.32018, 0.68727E+04
    5700,2026-09-02T01:31:09.161+02:00, 0.139E-01,  86.71284, 0.69970E+04
    5800,2026-09-02T01:31:29.913+02:00, 0.139E-01,  88.10550, 0.71205E+04
    5900,2026-09-02T01:31:50.597+02:00, 0.139E-01,  89.49817, 0.72438E+04
    6000,2026-09-02T01:32:11.143+02:00, 0.139E-01,  90.89083, 0.73661E+04
    6100,2026-09-02T01:32:31.778+02:00, 0.139E-01,  92.28349, 0.74889E+04
    6200,2026-09-02T01:32:52.398+02:00, 0.139E-01,  93.67615, 0.76117E+04
    6300,2026-09-02T01:33:13.043+02:00, 0.139E-01,  95.06882, 0.77347E+04
    6400,2026-09-02T01:33:33.722+02:00, 0.139E-01,  96.46148, 0.78578E+04
    6500,2026-09-02T01:33:54.768+02:00, 0.139E-01,  97.85414, 0.79806E+04
    6600,2026-09-02T01:34:16.496+02:00, 0.139E-01,  99.24681, 0.81074E+04
    6700,2026-09-02T01:34:37.230+02:00, 0.139E-01, 100.63947, 0.82308E+04
    6800,2026-09-02T01:34:57.955+02:00, 0.139E-01, 102.03213, 0.83541E+04
    6900,2026-09-02T01:35:18.804+02:00, 0.139E-01, 103.42479, 0.84781E+04
    7000,2026-09-02T01:35:39.464+02:00, 0.139E-01, 104.81746, 0.86011E+04
    7100,2026-09-02T01:36:00.098+02:00, 0.139E-01, 106.21012, 0.87240E+04
    7200,2026-09-02T01:36:20.739+02:00, 0.139E-01, 107.60278, 0.88469E+04
    7300,2026-09-02T01:36:41.446+02:00, 0.139E-01, 108.99545, 0.89702E+04
    7400,2026-09-02T01:37:02.269+02:00, 0.139E-01, 110.38811, 0.90940E+04
    7500,2026-09-02T01:37:23.086+02:00, 0.139E-01, 111.78077, 0.92179E+04
    7600,2026-09-02T01:37:43.889+02:00, 0.139E-01, 113.17344, 0.93418E+04
    7700,2026-09-02T01:38:04.684+02:00, 0.139E-01, 114.56610, 0.94656E+04
    7800,2026-09-02T01:38:25.650+02:00, 0.139E-01, 115.95876, 0.95905E+04
    7900,2026-09-02T01:38:46.414+02:00, 0.139E-01, 117.35142, 0.97140E+04
    8000,2026-09-02T01:39:07.129+02:00, 0.139E-01, 118.74409, 0.98373E+04
    8100,2026-09-02T01:39:27.981+02:00, 0.139E-01, 120.13675, 0.99615E+04
    8200,2026-09-02T01:39:48.720+02:00, 0.139E-01, 121.52941, 0.10085E+05
    8300,2026-09-02T01:40:09.599+02:00, 0.139E-01, 122.92208, 0.10209E+05
