s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T1_gas,T2,T2_gas,T3,T3_gas,T5,T5_gas,T9,T9_gas,T10,T10_gas,T11,T11_gas,HRR,O2_room,p_box
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-1.47043E-005
 1.00481E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 8.96848E-006, 2.06860E-001, 4.61671E-003
 2.00962E+000, 2.50000E+001, 2.50001E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 6.55769E-005, 2.06860E-001, 5.47094E-002
 3.00315E+000, 2.50003E+001, 2.50003E+001, 2.50000E+001, 2.50002E+001, 2.50000E+001, 2.50001E+001, 2.50000E+001, 2.50001E+001, 2.50000E+001, 2.50002E+001, 2.50000E+001, 2.50002E+001, 2.50000E+001, 2.50002E+001, 1.79481E-004, 2.06860E-001, 2.12729E-001
 4.00796E+000, 2.50009E+001, 2.50025E+001, 2.50001E+001, 2.50005E+001, 2.50001E+001, 2.50004E+001, 2.50000E+001, 2.50002E+001, 2.50000E+001, 2.50005E+001, 2.50000E+001, 2.50005E+001, 2.50000E+001, 2.50004E+001, 3.50934E-004, 2.06860E-001, 5.77134E-001
 5.00148E+000, 2.50029E+001, 2.50220E+001, 2.50003E+001, 2.50011E+001, 2.50002E+001, 2.50007E+001, 2.50001E+001, 2.50005E+001, 2.50001E+001, 2.50010E+001, 2.50001E+001, 2.50010E+001, 2.50001E+001, 2.50009E+001, 5.79814E-004, 2.06860E-001, 1.24367E+000
 6.00629E+000, 2.50065E+001, 2.50260E+001, 2.50009E+001, 2.50143E+001, 2.50026E+001, 2.52007E+001, 2.50001E+001, 2.50008E+001, 2.50002E+001, 2.50018E+001, 2.50002E+001, 2.50019E+001, 2.50002E+001, 2.50015E+001, 8.66283E-004, 2.06860E-001, 2.30005E+000
 7.01110E+000, 2.50106E+001, 2.50249E+001, 2.50039E+001, 2.50453E+001, 2.51164E+001, 2.64980E+001, 2.50002E+001, 2.50012E+001, 2.50003E+001, 2.50027E+001, 2.50004E+001, 2.50029E+001, 2.50003E+001, 2.50023E+001, 1.21226E-003, 2.06860E-001, 3.60555E+000
 8.00462E+000, 2.50151E+001, 2.50245E+001, 2.50083E+001, 2.50552E+001, 2.53491E+001, 2.72425E+001, 2.50003E+001, 2.50015E+001, 2.50006E+001, 2.50036E+001, 2.50006E+001, 2.50040E+001, 2.50005E+001, 2.50030E+001, 1.61396E-003, 2.06860E-001, 5.00699E+000
