s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PRODUCTS,MLR_PARAFFIN,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.55331E-006,-5.96056E-026, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.55331E-006, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.99270E-002
 1.00481E+000, 8.96848E-006, 0.00000E+000,-2.45300E-008,-1.33136E-014,-2.15972E-006,-3.58853E-024, 2.66223E-006, 0.00000E+000, 9.16102E-006, 9.44647E-006, 0.00000E+000, 0.00000E+000, 2.34618E-010,-1.20167E-002
 2.00962E+000, 6.55769E-005, 0.00000E+000,-1.27268E-005,-8.16491E-013,-1.94801E-005,-2.48713E-023, 1.33234E-005, 0.00000E+000, 4.60533E-005, 4.66934E-005, 0.00000E+000, 0.00000E+000, 1.62669E-009, 7.83300E-002
 3.00314E+000, 1.79481E-004, 0.00000E+000,-3.96585E-005,-4.03253E-012,-5.14441E-005,-6.69591E-023, 3.54244E-005, 0.00000E+000, 1.22598E-004, 1.23803E-004, 0.00000E+000, 0.00000E+000, 4.38230E-009, 3.16194E-001
 4.00796E+000, 3.50934E-004, 0.00000E+000,-8.05062E-005,-4.90223E-012,-8.54663E-005,-1.29951E-022, 7.42265E-005, 0.00000E+000, 2.57468E-004, 2.59188E-004, 0.00000E+000, 0.00000E+000, 8.50927E-009, 8.21012E-001
 5.00148E+000, 5.79814E-004, 0.00000E+000,-1.35016E-004,-2.91263E-011,-1.33025E-004,-2.13689E-022, 1.25209E-004, 0.00000E+000, 4.34739E-004, 4.36982E-004, 0.00000E+000, 0.00000E+000, 1.40024E-008, 1.66361E+000
 6.00629E+000, 8.66283E-004, 0.00000E+000,-2.09532E-004,-1.92837E-009,-2.04101E-004,-3.18201E-022, 1.82195E-004, 0.00000E+000, 6.33505E-004, 6.34843E-004, 0.00000E+000, 0.00000E+000, 2.08670E-008, 2.90568E+000
 7.01110E+000, 1.21226E-003, 0.00000E+000,-2.92711E-004,-7.77661E-009,-4.33742E-004,-4.44106E-022, 1.96493E-004, 0.00000E+000, 6.81484E-004, 6.82296E-004, 0.00000E+000, 0.00000E+000, 2.91494E-008, 4.24594E+000
 8.00462E+000, 1.61396E-003, 0.00000E+000,-3.92683E-004,-1.75986E-008,-6.83111E-004,-5.89909E-022, 2.18462E-004, 0.00000E+000, 7.55567E-004, 7.56610E-004, 0.00000E+000, 0.00000E+000, 3.87567E-008, 5.71914E+000
 9.00943E+000, 2.07330E-003, 0.00000E+000,-5.11026E-004,-2.77245E-008,-9.51804E-004,-7.56290E-022, 2.48454E-004, 0.00000E+000, 8.57228E-004, 8.58895E-004, 0.00000E+000, 0.00000E+000, 4.97353E-008, 7.41308E+000
