,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-09-02T01:50:20.150+02:00, 0.113E-01,   0.01129, 0.94512E+02
       2,2026-09-02T01:50:21.297+02:00, 0.113E-01,   0.02258, 0.10007E+03
       3,2026-09-02T01:50:22.727+02:00, 0.113E-01,   0.03387, 0.10719E+03
       4,2026-09-02T01:50:23.796+02:00, 0.113E-01,   0.04516, 0.11251E+03
       5,2026-09-02T01:50:24.842+02:00, 0.113E-01,   0.05645, 0.11772E+03
       6,2026-09-02T01:50:26.292+02:00, 0.113E-01,   0.06774, 0.12493E+03
       7,2026-09-02T01:50:27.344+02:00, 0.113E-01,   0.07903, 0.13017E+03
       8,2026-09-02T01:50:28.418+02:00, 0.113E-01,   0.09032, 0.13547E+03
       9,2026-09-02T01:50:29.855+02:00, 0.113E-01,   0.10161, 0.14263E+03
      10,2026-09-02T01:50:30.913+02:00, 0.113E-01,   0.11290, 0.14790E+03
      20,2026-09-02T01:50:42.749+02:00, 0.113E-01,   0.22580, 0.20662E+03
      30,2026-09-02T01:50:54.866+02:00, 0.113E-01,   0.33870, 0.26658E+03
      40,2026-09-02T01:51:06.520+02:00, 0.113E-01,   0.45160, 0.32437E+03
      50,2026-09-02T01:51:18.135+02:00, 0.113E-01,   0.56450, 0.38197E+03
      60,2026-09-02T01:51:30.006+02:00, 0.113E-01,   0.67740, 0.44104E+03
      70,2026-09-02T01:51:41.639+02:00, 0.113E-01,   0.79030, 0.49870E+03
      80,2026-09-02T01:51:53.056+02:00, 0.113E-01,   0.90320, 0.55554E+03
      90,2026-09-02T01:52:05.004+02:00, 0.113E-01,   1.01610, 0.61456E+03
     100,2026-09-02T01:52:16.461+02:00, 0.113E-01,   1.12900, 0.67153E+03
     200,2026-09-02T01:54:11.327+02:00, 0.113E-01,   2.25800, 0.12416E+04
     300,2026-09-02T01:56:05.553+02:00, 0.113E-01,   3.38701, 0.18088E+04
     400,2026-09-02T01:57:58.486+02:00, 0.113E-01,   4.51601, 0.23699E+04
     500,2026-09-02T01:59:51.476+02:00, 0.113E-01,   5.64501, 0.29311E+04
     600,2026-09-02T02:01:44.899+02:00, 0.113E-01,   6.77401, 0.34944E+04
     700,2026-09-02T02:03:37.813+02:00, 0.113E-01,   7.90301, 0.40554E+04
     800,2026-09-02T02:05:30.787+02:00, 0.113E-01,   9.03202, 0.46163E+04
     900,2026-09-02T02:07:23.911+02:00, 0.113E-01,  10.16102, 0.51783E+04
    1000,2026-09-02T02:09:17.490+02:00, 0.101E-01,  11.23644, 0.57429E+04
    1100,2026-09-02T02:11:11.362+02:00, 0.913E-02,  12.23512, 0.63086E+04
    1200,2026-09-02T02:13:04.449+02:00, 0.913E-02,  13.14817, 0.68704E+04
    1300,2026-09-02T02:14:58.217+02:00, 0.821E-02,  14.01430, 0.74354E+04
    1400,2026-09-02T02:16:50.394+02:00, 0.821E-02,  14.83533, 0.79926E+04
    1500,2026-09-02T02:18:44.563+02:00, 0.821E-02,  15.65637, 0.85590E+04
    1600,2026-09-02T02:20:37.026+02:00, 0.739E-02,  16.40255, 0.91168E+04
    1700,2026-09-02T02:22:29.228+02:00, 0.739E-02,  17.14133, 0.96743E+04
