s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-5.57571E-006
 1.01610E+000, 2.49997E+001, 2.49997E+001, 2.49996E+001, 2.49992E+001, 2.49995E+001, 2.49995E+001, 2.49995E+001, 8.98480E-006, 2.06860E-001,-1.60458E-001
 2.00962E+000, 2.49995E+001, 2.49995E+001, 2.49993E+001, 2.49987E+001, 2.49990E+001, 2.49991E+001, 2.49991E+001, 6.53873E-005, 2.06860E-001,-2.42213E-001
 3.00315E+000, 2.50008E+001, 2.49996E+001, 2.49994E+001, 2.49989E+001, 2.49989E+001, 2.49992E+001, 2.49992E+001, 1.78466E-004, 2.06860E-001,-6.52745E-002
 4.01925E+000, 2.52922E+001, 2.50000E+001, 2.49998E+001, 2.49993E+001, 2.49993E+001, 2.49996E+001, 2.49995E+001, 3.50552E-004, 2.06860E-001, 4.07864E-001
 5.01277E+000, 2.54906E+001, 2.50008E+001, 2.50004E+001, 2.49999E+001, 2.49999E+001, 2.50003E+001, 2.50002E+001, 5.80801E-004, 2.06860E-001, 1.27022E+000
 6.00629E+000, 2.53140E+001, 2.54830E+001, 2.51446E+001, 2.50007E+001, 2.50009E+001, 2.50014E+001, 2.50012E+001, 8.65686E-004, 2.06860E-001, 2.56900E+000
 7.02239E+000, 2.53649E+001, 2.54833E+001, 2.67577E+001, 2.50017E+001, 2.50023E+001, 2.50029E+001, 2.50025E+001, 1.21198E-003, 2.06860E-001, 4.37331E+000
 8.01591E+000, 2.54333E+001, 2.55214E+001, 2.73258E+001, 2.50027E+001, 2.50038E+001, 2.50046E+001, 2.50040E+001, 1.61590E-003, 2.06860E-001, 6.54017E+000
 9.00944E+000, 2.54839E+001, 2.56812E+001, 2.78669E+001, 2.50038E+001, 2.50055E+001, 2.50066E+001, 2.50056E+001, 2.07275E-003, 2.06860E-001, 9.09036E+000
 1.00030E+001, 2.55421E+001, 2.58062E+001, 2.84972E+001, 2.50051E+001, 2.50074E+001, 2.50090E+001, 2.50075E+001, 2.58626E-003, 2.06860E-001, 1.20773E+001
 1.10191E+001, 2.55999E+001, 2.59297E+001, 2.91017E+001, 2.50065E+001, 2.50095E+001, 2.50117E+001, 2.50096E+001, 3.16406E-003, 2.06860E-001, 1.55160E+001
 1.20126E+001, 2.56543E+001, 2.60271E+001, 2.96579E+001, 2.50079E+001, 2.50118E+001, 2.50147E+001, 2.50120E+001, 3.79941E-003, 2.06860E-001, 1.94358E+001
 1.30061E+001, 2.56985E+001, 2.60840E+001, 3.02413E+001, 2.50096E+001, 2.50143E+001, 2.50180E+001, 2.50145E+001, 4.48447E-003, 2.06860E-001, 2.38552E+001
 1.40222E+001, 2.57248E+001, 2.61130E+001, 3.07559E+001, 2.50317E+001, 2.50171E+001, 2.50218E+001, 2.50174E+001, 5.23654E-003, 2.06860E-001, 2.89203E+001
 1.50157E+001, 2.57795E+001, 2.60895E+001, 3.11463E+001, 2.52247E+001, 2.50201E+001, 2.50259E+001, 2.50205E+001, 6.04411E-003, 2.06860E-001, 3.45676E+001
 1.60156E+001, 2.57301E+001, 2.60459E+001, 3.17118E+001, 2.54378E+001, 2.50234E+001, 2.50305E+001, 2.50239E+001, 6.91416E-003, 2.06860E-001, 4.08881E+001
 1.70109E+001, 2.57606E+001, 2.57930E+001, 3.21228E+001, 2.55547E+001, 2.50270E+001, 2.50356E+001, 2.50275E+001, 7.82374E-003, 2.06860E-001, 4.78392E+001
