s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.71943E-004, 2.66230E-025, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.71943E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-5.87029E-002
 1.01610E+000, 8.98480E-006, 0.00000E+000,-7.65297E-005, 7.25827E-011,-2.52004E-005,-3.73078E-024,-3.79322E-005, 0.00000E+000,-1.28827E-004,-1.30677E-004, 0.00000E+000, 2.43916E-010, 0.00000E+000,-3.11434E-001
 2.00962E+000, 6.53873E-005, 0.00000E+000,-2.27933E-005, 9.66604E-012,-1.92166E-005,-2.52203E-023, 9.03458E-006, 0.00000E+000, 2.99274E-005, 3.24120E-005, 0.00000E+000, 1.64932E-009, 0.00000E+000,-2.53136E-001
 3.00314E+000, 1.78466E-004, 0.00000E+000,-3.83348E-005, 3.27728E-011,-2.69670E-005,-6.72962E-023, 4.49648E-005, 0.00000E+000, 1.55094E-004, 1.58129E-004, 0.00000E+000, 4.40290E-009, 0.00000E+000, 4.69222E-002
 4.01925E+000, 3.50552E-004, 0.00000E+000,-7.40762E-005,-8.91747E-012,-3.59561E-005,-1.30899E-022, 9.59557E-005, 0.00000E+000, 3.31747E-004, 3.36475E-004, 0.00000E+000, 8.56725E-009, 0.00000E+000, 7.04678E-001
 5.01277E+000, 5.80801E-004, 0.00000E+000,-1.30055E-004,-1.10470E-010,-5.78263E-005,-2.15472E-022, 1.57135E-004, 0.00000E+000, 5.42724E-004, 5.50054E-004, 0.00000E+000, 1.41111E-008, 0.00000E+000, 1.76037E+000
 6.00629E+000, 8.65686E-004, 0.00000E+000,-1.98937E-004,-2.67090E-009,-8.67585E-005,-3.19807E-022, 2.32081E-004, 0.00000E+000, 8.00290E-004, 8.12068E-004, 0.00000E+000, 2.09566E-008, 0.00000E+000, 3.32014E+000
 7.02239E+000, 1.21198E-003, 0.00000E+000,-2.83352E-004,-1.25014E-008,-2.00549E-004,-4.46213E-022, 2.92310E-004, 0.00000E+000, 1.00938E-003, 1.02038E-003, 0.00000E+000, 2.92593E-008, 0.00000E+000, 5.33337E+000
 8.01591E+000, 1.61590E-003, 0.00000E+000,-3.89510E-004,-2.03637E-008,-3.70403E-004,-5.93426E-022, 3.44253E-004, 0.00000E+000, 1.18497E-003, 1.20022E-003, 0.00000E+000, 3.89416E-008, 0.00000E+000, 7.65174E+000
