s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-8.64276E-005
 1.01610E+000, 2.49997E+001, 2.49997E+001, 2.50000E+001, 2.50000E+001, 2.49995E+001, 2.49995E+001, 2.49995E+001, 8.92052E-006, 2.06860E-001,-1.67736E-001
 2.00398E+000, 2.49996E+001, 2.49994E+001, 2.50000E+001, 2.50000E+001, 2.49990E+001, 2.49990E+001, 2.49991E+001, 6.49183E-005, 2.06860E-001,-2.77602E-001
 3.02008E+000, 2.50037E+001, 2.49995E+001, 2.50000E+001, 2.50000E+001, 2.49989E+001, 2.49991E+001, 2.49991E+001, 1.78957E-004, 2.06860E-001,-1.04891E-001
 4.00796E+000, 2.54105E+001, 2.49999E+001, 2.50000E+001, 2.50000E+001, 2.49992E+001, 2.49995E+001, 2.49994E+001, 3.50328E-004, 2.06860E-001, 3.87621E-001
 5.02406E+000, 2.55862E+001, 2.50071E+001, 2.50000E+001, 2.50000E+001, 2.49999E+001, 2.50002E+001, 2.50001E+001, 5.80352E-004, 2.06860E-001, 1.28446E+000
 6.01194E+000, 2.56015E+001, 2.57023E+001, 2.50000E+001, 2.50000E+001, 2.50010E+001, 2.50013E+001, 2.50012E+001, 8.67259E-004, 2.06860E-001, 2.65387E+000
 7.02804E+000, 2.57833E+001, 2.56692E+001, 2.50000E+001, 2.50000E+001, 2.50025E+001, 2.50029E+001, 2.50026E+001, 1.21311E-003, 2.06860E-001, 4.55679E+000
 8.01591E+000, 2.59927E+001, 2.57454E+001, 2.50000E+001, 2.50000E+001, 2.50042E+001, 2.50048E+001, 2.50044E+001, 1.61609E-003, 2.06860E-001, 6.96052E+000
 9.00379E+000, 2.61078E+001, 2.59390E+001, 2.50000E+001, 2.50000E+001, 2.50063E+001, 2.50071E+001, 2.50064E+001, 2.06981E-003, 2.06860E-001, 9.85227E+000
 1.00199E+001, 2.62323E+001, 2.60800E+001, 2.50000E+001, 2.50000E+001, 2.50087E+001, 2.50098E+001, 2.50088E+001, 2.58798E-003, 2.06860E-001, 1.33221E+001
 1.10078E+001, 2.63419E+001, 2.62209E+001, 2.50000E+001, 2.50000E+001, 2.50114E+001, 2.50129E+001, 2.50114E+001, 3.16368E-003, 2.06860E-001, 1.73035E+001
 1.20239E+001, 2.64525E+001, 2.63301E+001, 2.50000E+001, 2.50000E+001, 2.50143E+001, 2.50164E+001, 2.50144E+001, 3.79750E-003, 2.06860E-001, 2.18066E+001
