s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.70015E-004, 6.12697E-026, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.70015E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-7.36664E-002
 1.01610E+000, 8.92052E-006, 0.00000E+000,-8.61794E-005, 9.50674E-011,-2.35562E-005,-3.76133E-024,-4.13420E-005, 0.00000E+000,-1.39519E-004,-1.42157E-004, 0.00000E+000, 2.45915E-010, 0.00000E+000,-3.48647E-001
 2.00398E+000, 6.49183E-005, 0.00000E+000,-2.95522E-005,-8.86478E-012,-1.94357E-005,-2.52093E-023, 5.94590E-006, 0.00000E+000, 1.86110E-005, 2.18763E-005, 0.00000E+000, 1.64866E-009, 0.00000E+000,-3.12148E-001
 3.02008E+000, 1.78957E-004, 0.00000E+000,-4.05160E-005, 3.85165E-011,-2.25380E-005,-6.77798E-023, 4.58970E-005, 0.00000E+000, 1.57725E-004, 1.61800E-004, 0.00000E+000, 4.43476E-009, 0.00000E+000, 1.44019E-003
 4.00796E+000, 3.50328E-004, 0.00000E+000,-6.94784E-005,-1.64011E-011,-2.68595E-005,-1.31258E-022, 1.01087E-004, 0.00000E+000, 3.47925E-004, 3.55078E-004, 0.00000E+000, 8.59129E-009, 0.00000E+000, 6.76894E-001
 5.02406E+000, 5.80352E-004, 0.00000E+000,-1.30261E-004,-1.62358E-010,-4.21251E-005,-2.15750E-022, 1.62821E-004, 0.00000E+000, 5.58972E-004, 5.70787E-004, 0.00000E+000, 1.41312E-008, 0.00000E+000, 1.79891E+000
 6.01194E+000, 8.67259E-004, 0.00000E+000,-2.02444E-004,-3.40104E-009,-6.46044E-005,-3.21054E-022, 2.39969E-004, 0.00000E+000, 8.21492E-004, 8.40176E-004, 0.00000E+000, 2.10415E-008, 0.00000E+000, 3.40898E+000
 7.02804E+000, 1.21311E-003, 0.00000E+000,-2.80228E-004,-1.30643E-008,-1.49523E-004,-4.47278E-022, 3.13893E-004, 0.00000E+000, 1.07563E-003, 1.09724E-003, 0.00000E+000, 2.93351E-008, 0.00000E+000, 5.57822E+000
 8.01591E+000, 1.61609E-003, 0.00000E+000,-3.71362E-004,-2.09633E-008,-2.70362E-004,-5.94174E-022, 3.90937E-004, 0.00000E+000, 1.33690E-003, 1.36529E-003, 0.00000E+000, 3.89992E-008, 0.00000E+000, 8.20608E+000
 9.00379E+000, 2.06981E-003, 0.00000E+000,-4.79471E-004,-3.57611E-008,-4.26284E-004,-7.59303E-022, 4.67605E-004, 0.00000E+000, 1.59743E-003, 1.63162E-003, 0.00000E+000, 4.98783E-008, 0.00000E+000, 1.13502E+001
 1.00199E+001, 2.58798E-003, 0.00000E+000,-6.03586E-004,-5.26548E-008,-6.25389E-004,-9.47312E-022, 5.46687E-004, 0.00000E+000, 1.86484E-003, 1.90564E-003, 0.00000E+000, 6.22833E-008, 0.00000E+000, 1.51327E+001
 1.10078E+001, 3.16368E-003, 0.00000E+000,-7.83671E-004,-7.23510E-008,-8.60617E-004,-1.15577E-021, 6.12373E-004, 0.00000E+000, 2.08855E-003, 2.13169E-003, 0.00000E+000, 7.60586E-008, 0.00000E+000, 1.92543E+001
 1.20239E+001, 3.79750E-003, 0.00000E+000,-9.10644E-004,-9.22400E-008,-1.10673E-003,-1.38488E-021, 7.17088E-004, 0.00000E+000, 2.44011E-003, 2.49712E-003, 0.00000E+000, 9.12173E-008, 0.00000E+000, 2.42142E+001
 1.30117E+001, 4.48896E-003, 0.00000E+000,-1.08991E-003,-1.31643E-007,-1.37142E-003,-1.63425E-021, 8.17986E-004, 0.00000E+000, 2.78779E-003, 2.84548E-003, 0.00000E+000, 1.07746E-007, 0.00000E+000, 2.97193E+001
 1.40278E+001, 5.23863E-003, 0.00000E+000,-1.28120E-003,-1.37302E-007,-1.66069E-003,-1.90417E-021, 9.26535E-004, 0.00000E+000, 3.17150E-003, 3.22314E-003, 0.00000E+000, 1.25659E-007, 0.00000E+000, 3.61297E+001
 1.50157E+001, 6.04615E-003, 0.00000E+000,-1.49475E-003,-2.04962E-007,-1.97643E-003,-2.19425E-021, 1.04010E-003, 0.00000E+000, 3.56963E-003, 3.61486E-003, 0.00000E+000, 1.44942E-007, 0.00000E+000, 4.31314E+001
 1.60036E+001, 6.89682E-003, 0.00000E+000,-1.71846E-003,-2.18143E-007,-2.32362E-003,-2.50001E-021, 1.15333E-003, 0.00000E+000, 3.96960E-003, 4.00786E-003, 0.00000E+000, 1.65304E-007, 0.00000E+000, 5.08931E+001
 1.70197E+001, 7.82226E-003, 0.00000E+000,-1.94599E-003,-2.49970E-007,-2.70281E-003,-2.83083E-021, 1.28259E-003, 0.00000E+000, 4.42488E-003, 4.45579E-003, 0.00000E+000, 1.87328E-007, 0.00000E+000, 5.97716E+001
 1.80132E+001, 8.82317E-003, 0.00000E+000,-2.18282E-003,-3.33694E-007,-3.10416E-003,-3.18286E-021, 1.42975E-003, 0.00000E+000, 4.94489E-003, 4.96560E-003, 0.00000E+000, 2.10783E-007, 0.00000E+000, 6.94501E+001
 1.90036E+001, 9.83390E-003, 0.00000E+000,-2.47507E-003,-2.75808E-007,-3.53482E-003,-3.54985E-021, 1.54779E-003, 0.00000E+000, 5.34037E-003, 5.37151E-003, 0.00000E+000, 2.35276E-007, 0.00000E+000, 7.99002E+001
 2.00194E+001, 1.09299E-002, 0.00000E+000,-2.73678E-003,-3.70032E-007,-3.97910E-003,-3.94123E-021, 1.70510E-003, 0.00000E+000, 5.86511E-003, 5.91877E-003, 0.00000E+000, 2.61448E-007, 0.00000E+000, 9.17021E+001
 2.10098E+001, 1.20784E-002, 0.00000E+000,-3.03992E-003,-2.73480E-007,-4.45684E-003,-4.35262E-021, 1.85527E-003, 0.00000E+000, 6.40220E-003, 6.43665E-003, 0.00000E+000, 2.88994E-007, 0.00000E+000, 1.04228E+002
 2.20045E+001, 1.32922E-002, 0.00000E+000,-3.34523E-003,-1.78980E-007,-4.94373E-003,-4.77880E-021, 2.02590E-003, 0.00000E+000, 6.99916E-003, 7.02897E-003, 0.00000E+000, 3.17580E-007, 0.00000E+000, 1.17963E+002
 2.30094E+001, 1.45375E-002, 0.00000E+000,-3.65545E-003,-1.12346E-007,-5.47289E-003,-5.22709E-021, 2.19135E-003, 0.00000E+000, 7.57329E-003, 7.60044E-003, 0.00000E+000, 3.47768E-007, 0.00000E+000, 1.32974E+002
 2.40021E+001, 1.58882E-002, 0.00000E+000,-4.01114E-003,-2.34524E-007,-6.06694E-003,-5.69215E-021, 2.35543E-003, 0.00000E+000, 8.13065E-003, 8.16529E-003, 0.00000E+000, 3.79276E-007, 0.00000E+000, 1.48921E+002
 2.50065E+001, 1.72327E-002, 0.00000E+000,-4.35905E-003,-3.12611E-007,-6.66885E-003,-6.17616E-021, 2.51538E-003, 0.00000E+000, 8.67987E-003, 8.71990E-003, 0.00000E+000, 4.12135E-007, 0.00000E+000, 1.66145E+002
 2.60108E+001, 1.79958E-002, 0.00000E+000,-4.59320E-003,-1.44713E-007,-7.33471E-003,-6.41744E-021, 2.46857E-003, 0.00000E+000, 8.53114E-003, 8.53628E-003, 0.00000E+000, 4.28571E-007, 0.00000E+000, 1.83078E+002
 2.70152E+001, 1.79968E-002, 0.00000E+000,-4.58523E-003,-3.98950E-008,-7.92765E-003,-6.41682E-021, 2.23638E-003, 0.00000E+000, 7.72315E-003, 7.72024E-003, 0.00000E+000, 4.28571E-007, 0.00000E+000, 1.98417E+002
 2.80196E+001, 1.80019E-002, 0.00000E+000,-4.61848E-003, 3.72042E-008,-8.35095E-003,-6.41680E-021, 2.05687E-003, 0.00000E+000, 7.09294E-003, 7.08939E-003, 0.00000E+000, 4.28571E-007, 0.00000E+000, 2.12524E+002
 2.90038E+001, 1.80011E-002, 0.00000E+000,-4.61687E-003,-1.06162E-007,-8.61967E-003,-6.41758E-021, 1.95052E-003, 0.00000E+000, 6.70790E-003, 6.71494E-003, 0.00000E+000, 4.28571E-007, 0.00000E+000, 2.25632E+002
