s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-1.20840E-005
 1.00199E+000, 2.49998E+001, 2.49997E+001, 2.49995E+001, 2.49991E+001, 2.49996E+001, 2.49996E+001, 2.49996E+001, 8.85796E-006, 2.06860E-001,-1.38967E-001
 2.00398E+000, 2.49997E+001, 2.49996E+001, 2.49994E+001, 2.49990E+001, 2.49993E+001, 2.49994E+001, 2.49994E+001, 6.50229E-005, 2.06860E-001,-1.69652E-001
 3.00597E+000, 2.49999E+001, 2.49998E+001, 2.49996E+001, 2.49993E+001, 2.49993E+001, 2.49995E+001, 2.49995E+001, 1.79042E-004, 2.06860E-001, 1.58281E-003
 4.00796E+000, 2.50027E+001, 2.50001E+001, 2.50000E+001, 2.49996E+001, 2.49996E+001, 2.49999E+001, 2.49998E+001, 3.50781E-004, 2.06860E-001, 4.07925E-001
 5.00995E+000, 2.50390E+001, 2.50008E+001, 2.50004E+001, 2.50000E+001, 2.50002E+001, 2.50005E+001, 2.50004E+001, 5.80447E-004, 2.06860E-001, 1.15038E+000
 6.01194E+000, 2.50399E+001, 2.50273E+001, 2.51592E+001, 2.50005E+001, 2.50011E+001, 2.50014E+001, 2.50013E+001, 8.67928E-004, 2.06860E-001, 2.30659E+000
 7.01392E+000, 2.50379E+001, 2.50682E+001, 2.64738E+001, 2.50011E+001, 2.50022E+001, 2.50026E+001, 2.50023E+001, 1.21328E-003, 2.06860E-001, 3.78482E+000
 8.00180E+000, 2.50386E+001, 2.50781E+001, 2.71246E+001, 2.50016E+001, 2.50033E+001, 2.50039E+001, 2.50034E+001, 1.61329E-003, 2.06860E-001, 5.41280E+000
 9.00379E+000, 2.50401E+001, 2.50818E+001, 2.77562E+001, 2.50021E+001, 2.50044E+001, 2.50053E+001, 2.50046E+001, 2.07035E-003, 2.06860E-001, 7.23128E+000
 1.00058E+001, 2.50418E+001, 2.50842E+001, 2.83929E+001, 2.50027E+001, 2.50057E+001, 2.50070E+001, 2.50059E+001, 2.58848E-003, 2.06860E-001, 9.37660E+000
 1.10078E+001, 2.50437E+001, 2.50854E+001, 2.90526E+001, 2.50033E+001, 2.50071E+001, 2.50088E+001, 2.50074E+001, 3.16438E-003, 2.06860E-001, 1.18315E+001
 1.20098E+001, 2.50461E+001, 2.50857E+001, 2.97091E+001, 2.50041E+001, 2.50087E+001, 2.50109E+001, 2.50091E+001, 3.79807E-003, 2.06860E-001, 1.46036E+001
 1.30084E+001, 2.50486E+001, 2.50845E+001, 3.03694E+001, 2.50048E+001, 2.50103E+001, 2.50131E+001, 2.50108E+001, 4.49141E-003, 2.06860E-001, 1.76974E+001
 1.40045E+001, 2.50512E+001, 2.50819E+001, 3.10099E+001, 2.50057E+001, 2.50121E+001, 2.50156E+001, 2.50128E+001, 5.23731E-003, 2.06860E-001, 2.11206E+001
 1.50083E+001, 2.50535E+001, 2.50775E+001, 3.16369E+001, 2.50065E+001, 2.50140E+001, 2.50183E+001, 2.50149E+001, 6.03806E-003, 2.06860E-001, 2.49375E+001
 1.60076E+001, 2.50559E+001, 2.50717E+001, 3.23139E+001, 2.50074E+001, 2.50161E+001, 2.50213E+001, 2.50171E+001, 6.90654E-003, 2.06860E-001, 2.91376E+001
 1.70034E+001, 2.50587E+001, 2.50657E+001, 3.30555E+001, 2.50085E+001, 2.50183E+001, 2.50245E+001, 2.50195E+001, 7.81984E-003, 2.06860E-001, 3.37220E+001
 1.80076E+001, 2.50621E+001, 2.50606E+001, 3.39538E+001, 2.50193E+001, 2.50206E+001, 2.50279E+001, 2.50221E+001, 8.80240E-003, 2.06860E-001, 3.87281E+001
 1.90024E+001, 2.50665E+001, 2.50581E+001, 3.50848E+001, 2.50595E+001, 2.50231E+001, 2.50317E+001, 2.50249E+001, 9.83226E-003, 2.06860E-001, 4.41959E+001
 2.00046E+001, 2.50715E+001, 2.50606E+001, 3.62532E+001, 2.51231E+001, 2.50258E+001, 2.50357E+001, 2.50278E+001, 1.09299E-002, 2.06860E-001, 5.01253E+001
 2.10076E+001, 2.50771E+001, 2.50929E+001, 3.71411E+001, 2.53176E+001, 2.50286E+001, 2.50400E+001, 2.50309E+001, 1.20794E-002, 2.06860E-001, 5.65793E+001
 2.20024E+001, 2.50839E+001, 2.53133E+001, 3.79352E+001, 2.57332E+001, 2.50317E+001, 2.50447E+001, 2.50342E+001, 1.32866E-002, 2.06860E-001, 6.36043E+001
 2.30054E+001, 2.50917E+001, 2.55972E+001, 3.93064E+001, 2.59633E+001, 2.50351E+001, 2.50498E+001, 2.50377E+001, 1.45519E-002, 2.06859E-001, 7.12183E+001
