s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.73530E-004,-4.37487E-026, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.73530E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-3.68332E-002
 1.00199E+000, 8.85796E-006, 0.00000E+000,-5.71704E-005, 1.92723E-011,-2.52235E-005,-3.58450E-024,-2.99692E-005, 0.00000E+000,-1.02745E-004,-1.03505E-004, 0.00000E+000, 2.34353E-010, 0.00000E+000,-2.34678E-001
 2.00398E+000, 6.50229E-005, 0.00000E+000,-1.62716E-005, 3.41720E-012,-1.79333E-005,-2.47851E-023, 1.22125E-005, 0.00000E+000, 4.18379E-005, 4.30305E-005, 0.00000E+000, 1.62094E-009, 0.00000E+000,-1.53126E-001
 3.00597E+000, 1.79042E-004, 0.00000E+000,-3.82831E-005, 9.85481E-012,-4.07240E-005,-6.70029E-023, 4.00085E-005, 0.00000E+000, 1.38577E-004, 1.40044E-004, 0.00000E+000, 4.38442E-009, 0.00000E+000, 1.16400E-001
 4.00796E+000, 3.50781E-004, 0.00000E+000,-7.83025E-005,-4.55073E-012,-6.53347E-005,-1.30220E-022, 8.29529E-005, 0.00000E+000, 2.87793E-004, 2.90097E-004, 0.00000E+000, 8.52478E-009, 0.00000E+000, 6.75999E-001
 5.00995E+000, 5.80447E-004, 0.00000E+000,-1.33774E-004,-7.17301E-011,-1.03059E-004,-2.14359E-022, 1.37802E-004, 0.00000E+000, 4.78146E-004, 4.81416E-004, 0.00000E+000, 1.40420E-008, 0.00000E+000, 1.60681E+000
 6.01194E+000, 8.67928E-004, 0.00000E+000,-2.04493E-004,-2.10186E-009,-1.59126E-004,-3.19373E-022, 2.02587E-004, 0.00000E+000, 7.03731E-004, 7.06895E-004, 0.00000E+000, 2.09362E-008, 0.00000E+000, 2.97706E+000
 7.01392E+000, 1.21328E-003, 0.00000E+000,-2.88978E-004,-1.17187E-008,-3.58201E-004,-4.45205E-022, 2.28384E-004, 0.00000E+000, 7.91845E-004, 7.94471E-004, 0.00000E+000, 2.92072E-008, 0.00000E+000, 4.52337E+000
 8.00180E+000, 1.61329E-003, 0.00000E+000,-3.88357E-004,-2.68543E-008,-5.91113E-004,-5.90669E-022, 2.56535E-004, 0.00000E+000, 8.86550E-004, 8.90325E-004, 0.00000E+000, 3.87808E-008, 0.00000E+000, 6.23611E+000
 9.00379E+000, 2.07035E-003, 0.00000E+000,-5.18920E-004,-4.41166E-008,-8.37263E-004,-7.56590E-022, 2.89607E-004, 0.00000E+000, 9.97865E-004, 1.00373E-003, 0.00000E+000, 4.97151E-008, 0.00000E+000, 8.19577E+000
 1.00058E+001, 2.58848E-003, 0.00000E+000,-6.31256E-004,-7.18071E-008,-1.11785E-003,-9.44176E-022, 3.40966E-004, 0.00000E+000, 1.17365E-003, 1.18026E-003, 0.00000E+000, 6.20974E-008, 0.00000E+000, 1.05038E+001
 1.10078E+001, 3.16438E-003, 0.00000E+000,-7.80049E-004,-9.11851E-008,-1.44083E-003,-1.15230E-021, 3.84103E-004, 0.00000E+000, 1.32057E-003, 1.32751E-003, 0.00000E+000, 7.58566E-008, 0.00000E+000, 1.31042E+001
 1.20098E+001, 3.79807E-003, 0.00000E+000,-9.35301E-004,-1.29848E-007,-1.80023E-003,-1.38088E-021, 4.33349E-004, 0.00000E+000, 1.48804E-003, 1.49575E-003, 0.00000E+000, 9.09927E-008, 0.00000E+000, 1.60385E+001
 1.30084E+001, 4.49141E-003, 0.00000E+000,-1.11107E-003,-1.35712E-007,-2.19904E-003,-1.62922E-021, 4.82509E-004, 0.00000E+000, 1.65571E-003, 1.66368E-003, 0.00000E+000, 1.07467E-007, 0.00000E+000, 1.92940E+001
 1.40045E+001, 5.23731E-003, 0.00000E+000,-1.29987E-003,-1.59007E-007,-2.62776E-003,-1.89704E-021, 5.35796E-004, 0.00000E+000, 1.83832E-003, 1.84531E-003, 0.00000E+000, 1.25263E-007, 0.00000E+000, 2.29005E+001
 1.50083E+001, 6.03806E-003, 0.00000E+000,-1.49774E-003,-1.53459E-007,-3.09503E-003,-2.18554E-021, 5.92223E-004, 0.00000E+000, 2.03246E-003, 2.03736E-003, 0.00000E+000, 1.44470E-007, 0.00000E+000, 2.69188E+001
 1.60076E+001, 6.90654E-003, 0.00000E+000,-1.72016E-003,-1.76176E-007,-3.60173E-003,-2.49462E-021, 6.50176E-004, 0.00000E+000, 2.22935E-003, 2.23465E-003, 0.00000E+000, 1.65086E-007, 0.00000E+000, 3.13101E+001
 1.70034E+001, 7.81984E-003, 0.00000E+000,-1.94999E-003,-1.72742E-007,-4.14409E-003,-2.82227E-021, 7.08951E-004, 0.00000E+000, 2.42930E-003, 2.43453E-003, 0.00000E+000, 1.86983E-007, 0.00000E+000, 3.60816E+001
 1.80076E+001, 8.80240E-003, 0.00000E+000,-2.20061E-003,-1.12915E-007,-4.71719E-003,-3.17066E-021, 7.75072E-004, 0.00000E+000, 2.65698E-003, 2.65956E-003, 0.00000E+000, 2.10309E-007, 0.00000E+000, 4.13425E+001
 1.90024E+001, 9.83226E-003, 0.00000E+000,-2.45970E-003,-9.13361E-008,-5.32572E-003,-3.53857E-021, 8.42592E-004, 0.00000E+000, 2.88688E-003, 2.88934E-003, 0.00000E+000, 2.34986E-007, 0.00000E+000, 4.70083E+001
 2.00046E+001, 1.09299E-002, 0.00000E+000,-2.73526E-003,-9.97872E-008,-5.97884E-003,-3.92557E-021, 9.13021E-004, 0.00000E+000, 3.12609E-003, 3.12869E-003, 0.00000E+000, 2.61015E-007, 0.00000E+000, 5.31936E+001
 2.10076E+001, 1.20794E-002, 0.00000E+000,-3.03252E-003,-9.63625E-008,-6.63652E-003,-4.33340E-021, 9.93797E-004, 0.00000E+000, 3.40152E-003, 3.40408E-003, 0.00000E+000, 2.88517E-007, 0.00000E+000, 5.99318E+001
 2.20024E+001, 1.32866E-002, 0.00000E+000,-3.33297E-003,-1.30294E-007,-7.31742E-003,-4.75940E-021, 1.08716E-003, 0.00000E+000, 3.72027E-003, 3.72321E-003, 0.00000E+000, 3.17298E-007, 0.00000E+000, 6.72426E+001
 2.30054E+001, 1.45519E-002, 0.00000E+000,-3.65373E-003,-1.44186E-007,-8.07612E-003,-5.20461E-021, 1.16479E-003, 0.00000E+000, 3.98401E-003, 3.98665E-003, 0.00000E+000, 3.47449E-007, 0.00000E+000, 7.51408E+001
