s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-2.07776E-005
 1.00481E+000, 2.49996E+001, 2.49996E+001, 2.49991E+001, 2.49987E+001, 2.49995E+001, 2.49995E+001, 2.49995E+001, 8.96862E-006, 2.06860E-001,-1.82527E-001
 2.00962E+000, 2.49995E+001, 2.49995E+001, 2.49991E+001, 2.49987E+001, 2.49992E+001, 2.49993E+001, 2.49991E+001, 6.55790E-005, 2.06860E-001,-2.40615E-001
 3.00315E+000, 2.49997E+001, 2.49996E+001, 2.49994E+001, 2.49991E+001, 2.49992E+001, 2.49994E+001, 2.49992E+001, 1.79484E-004, 2.06860E-001,-8.52948E-002
 4.00796E+000, 2.50043E+001, 2.49999E+001, 2.49997E+001, 2.49994E+001, 2.49994E+001, 2.49997E+001, 2.49996E+001, 3.50913E-004, 2.06860E-001, 2.83856E-001
 5.00148E+000, 2.50610E+001, 2.50005E+001, 2.50001E+001, 2.49997E+001, 2.50000E+001, 2.50002E+001, 2.50001E+001, 5.79802E-004, 2.06860E-001, 9.56488E-001
 6.00629E+000, 2.50565E+001, 2.50487E+001, 2.52537E+001, 2.50002E+001, 2.50008E+001, 2.50011E+001, 2.50009E+001, 8.66257E-004, 2.06860E-001, 2.01554E+000
 7.01110E+000, 2.50520E+001, 2.51061E+001, 2.66945E+001, 2.50006E+001, 2.50018E+001, 2.50021E+001, 2.50017E+001, 1.21224E-003, 2.06860E-001, 3.33868E+000
 8.00462E+000, 2.50513E+001, 2.51176E+001, 2.75469E+001, 2.50009E+001, 2.50028E+001, 2.50033E+001, 2.50026E+001, 1.61395E-003, 2.06860E-001, 4.77187E+000
 9.00944E+000, 2.50517E+001, 2.51211E+001, 2.82962E+001, 2.50013E+001, 2.50038E+001, 2.50045E+001, 2.50036E+001, 2.07326E-003, 2.06860E-001, 6.37434E+000
 1.00030E+001, 2.50530E+001, 2.51230E+001, 2.91019E+001, 2.50018E+001, 2.50050E+001, 2.50059E+001, 2.50046E+001, 2.58990E-003, 2.06860E-001, 8.22352E+000
 1.10087E+001, 2.50547E+001, 2.51238E+001, 2.99614E+001, 2.50022E+001, 2.50062E+001, 2.50075E+001, 2.50058E+001, 3.16641E-003, 2.06860E-001, 1.03359E+001
 1.20037E+001, 2.50566E+001, 2.51237E+001, 3.08141E+001, 2.50028E+001, 2.50076E+001, 2.50093E+001, 2.50071E+001, 3.79668E-003, 2.06860E-001, 1.27467E+001
 1.30082E+001, 2.50586E+001, 2.51221E+001, 3.17315E+001, 2.50034E+001, 2.50091E+001, 2.50113E+001, 2.50085E+001, 4.48856E-003, 2.06860E-001, 1.54745E+001
 1.40027E+001, 2.50605E+001, 2.51184E+001, 3.28068E+001, 2.50040E+001, 2.50108E+001, 2.50135E+001, 2.50101E+001, 5.23578E-003, 2.06860E-001, 1.85308E+001
 1.50053E+001, 2.50624E+001, 2.51130E+001, 3.37048E+001, 2.50046E+001, 2.50125E+001, 2.50158E+001, 2.50117E+001, 6.03696E-003, 2.06860E-001, 2.18084E+001
 1.60003E+001, 2.50641E+001, 2.51066E+001, 3.47050E+001, 2.50052E+001, 2.50143E+001, 2.50182E+001, 2.50133E+001, 6.90287E-003, 2.06860E-001, 2.53083E+001
 1.70057E+001, 2.50659E+001, 2.50987E+001, 3.55162E+001, 2.50058E+001, 2.50161E+001, 2.50208E+001, 2.50151E+001, 7.82080E-003, 2.06860E-001, 2.90851E+001
 1.80038E+001, 2.50676E+001, 2.50905E+001, 3.67749E+001, 2.50065E+001, 2.50180E+001, 2.50235E+001, 2.50169E+001, 8.80099E-003, 2.06860E-001, 3.31493E+001
 1.90004E+001, 2.50701E+001, 2.50824E+001, 3.76778E+001, 2.50140E+001, 2.50200E+001, 2.50264E+001, 2.50188E+001, 9.83773E-003, 2.06860E-001, 3.75357E+001
 2.00043E+001, 2.50735E+001, 2.50775E+001, 3.88554E+001, 2.50471E+001, 2.50221E+001, 2.50295E+001, 2.50208E+001, 1.09278E-002, 2.06860E-001, 4.22314E+001
 2.10025E+001, 2.50780E+001, 2.50810E+001, 4.10251E+001, 2.50956E+001, 2.50243E+001, 2.50328E+001, 2.50229E+001, 1.20842E-002, 2.06860E-001, 4.73135E+001
 2.20008E+001, 2.50834E+001, 2.51304E+001, 4.26686E+001, 2.51690E+001, 2.50267E+001, 2.50363E+001, 2.50251E+001, 1.32868E-002, 2.06860E-001, 5.27716E+001
