s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.54149E-004, 2.20720E-026, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.54149E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.99270E-002
 1.00481E+000, 8.96862E-006, 0.00000E+000,-7.15590E-005,-1.20357E-011,-3.44684E-005,-3.58852E-024,-3.91152E-005, 0.00000E+000,-1.35577E-004,-1.36174E-004, 0.00000E+000, 2.34618E-010, 0.00000E+000,-2.92890E-001
 2.00962E+000, 6.55790E-005, 0.00000E+000,-1.84959E-005,-1.83002E-012,-2.02377E-005,-2.48713E-023, 1.06740E-005, 0.00000E+000, 3.65514E-005, 3.75194E-005, 0.00000E+000, 1.62669E-009, 0.00000E+000,-2.21000E-001
 3.00314E+000, 1.79484E-004, 0.00000E+000,-4.04153E-005, 6.75466E-012,-4.96685E-005,-6.69587E-023, 3.58279E-005, 0.00000E+000, 1.24057E-004, 1.25228E-004, 0.00000E+000, 4.38230E-009, 0.00000E+000, 1.95688E-002
 4.00796E+000, 3.50913E-004, 0.00000E+000,-7.95964E-005, 5.38704E-012,-8.32672E-005,-1.29950E-022, 7.54522E-005, 0.00000E+000, 2.61816E-004, 2.63501E-004, 0.00000E+000, 8.50927E-009, 0.00000E+000, 5.32710E-001
 5.00148E+000, 5.79802E-004, 0.00000E+000,-1.35868E-004,-2.75915E-011,-1.31582E-004,-2.13678E-022, 1.25438E-004, 0.00000E+000, 4.35289E-004, 4.37790E-004, 0.00000E+000, 1.40024E-008, 0.00000E+000, 1.37684E+000
 6.00629E+000, 8.66257E-004, 0.00000E+000,-2.09239E-004,-1.43991E-009,-2.01211E-004,-3.18177E-022, 1.83445E-004, 0.00000E+000, 6.37524E-004, 6.39251E-004, 0.00000E+000, 2.08670E-008, 0.00000E+000, 2.62739E+000
 7.01110E+000, 1.21224E-003, 0.00000E+000,-2.94470E-004,-1.04733E-008,-4.21366E-004,-4.44092E-022, 2.00683E-004, 0.00000E+000, 6.94730E-004, 6.97080E-004, 0.00000E+000, 2.91494E-008, 0.00000E+000, 3.99599E+000
 8.00462E+000, 1.61395E-003, 0.00000E+000,-3.94849E-004,-2.34487E-008,-6.71301E-004,-5.89912E-022, 2.22282E-004, 0.00000E+000, 7.66861E-004, 7.70063E-004, 0.00000E+000, 3.87567E-008, 0.00000E+000, 5.49489E+000
 9.00943E+000, 2.07326E-003, 0.00000E+000,-5.10707E-004,-3.74733E-008,-9.40938E-004,-7.56311E-022, 2.52888E-004, 0.00000E+000, 8.70224E-004, 8.74464E-004, 0.00000E+000, 4.97353E-008, 0.00000E+000, 7.21910E+000
 1.00030E+001, 2.58990E-003, 0.00000E+000,-6.36509E-004,-5.87642E-008,-1.23761E-003,-9.43104E-022, 2.91838E-004, 0.00000E+000, 1.00228E-003, 1.00756E-003, 0.00000E+000, 6.20801E-008, 0.00000E+000, 9.18661E+000
 1.10087E+001, 3.16641E-003, 0.00000E+000,-7.78532E-004,-7.64323E-008,-1.57607E-003,-1.15033E-021, 3.31762E-004, 0.00000E+000, 1.13784E-003, 1.14350E-003, 0.00000E+000, 7.58005E-008, 0.00000E+000, 1.14512E+001
 1.20037E+001, 3.79668E-003, 0.00000E+000,-9.11626E-004,-9.02470E-008,-1.96125E-003,-1.37790E-021, 3.78100E-004, 0.00000E+000, 1.29573E-003, 1.30182E-003, 0.00000E+000, 9.08965E-008, 0.00000E+000, 1.40047E+001
 1.30082E+001, 4.48856E-003, 0.00000E+000,-1.04633E-003,-9.82836E-008,-2.40100E-003,-1.62552E-021, 4.26802E-004, 0.00000E+000, 1.46186E-003, 1.46794E-003, 0.00000E+000, 1.07353E-007, 0.00000E+000, 1.69146E+001
 1.40027E+001, 5.23578E-003, 0.00000E+000,-1.19614E-003,-1.11046E-007,-2.89291E-003,-1.89314E-021, 4.71105E-004, 0.00000E+000, 1.61222E-003, 1.61772E-003, 0.00000E+000, 1.25176E-007, 0.00000E+000, 2.00952E+001
 1.50053E+001, 6.03696E-003, 0.00000E+000,-1.41732E-003,-1.09755E-007,-3.41757E-003,-2.18046E-021, 4.95515E-004, 0.00000E+000, 1.69237E-003, 1.69747E-003, 0.00000E+000, 1.44352E-007, 0.00000E+000, 2.34684E+001
 1.60003E+001, 6.90287E-003, 0.00000E+000,-1.64983E-003,-1.20954E-007,-3.95009E-003,-2.48762E-021, 5.38247E-004, 0.00000E+000, 1.83628E-003, 1.84107E-003, 0.00000E+000, 1.64898E-007, 0.00000E+000, 2.71043E+001
 1.70057E+001, 7.82080E-003, 0.00000E+000,-1.90502E-003,-1.24988E-007,-4.52693E-003,-2.81489E-021, 5.74972E-004, 0.00000E+000, 1.95857E-003, 1.96370E-003, 0.00000E+000, 1.86846E-007, 0.00000E+000, 3.10292E+001
