s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-6.01950E-005
 1.00255E+000, 2.49997E+001, 2.49996E+001, 2.49996E+001, 2.49996E+001, 2.49997E+001, 2.49997E+001, 2.49997E+001, 8.98852E-006, 2.06860E-001,-1.44358E-001
 2.00511E+000, 2.49991E+001, 2.49990E+001, 2.49985E+001, 2.49985E+001, 2.49990E+001, 2.49991E+001, 2.49990E+001, 6.54975E-005, 2.06860E-001,-2.79739E-001
 3.00766E+000, 2.49991E+001, 2.49990E+001, 2.49983E+001, 2.49982E+001, 2.49986E+001, 2.49989E+001, 2.49987E+001, 1.79938E-004, 2.06860E-001,-2.28867E-001
 4.00118E+000, 2.50001E+001, 2.49992E+001, 2.49987E+001, 2.49986E+001, 2.49987E+001, 2.49991E+001, 2.49989E+001, 3.51207E-004, 2.06860E-001, 3.05703E-002
 5.00374E+000, 2.50303E+001, 2.49997E+001, 2.49993E+001, 2.49991E+001, 2.49991E+001, 2.49995E+001, 2.49993E+001, 5.80066E-004, 2.06860E-001, 6.04637E-001
 6.00629E+000, 2.50408E+001, 2.50148E+001, 2.50000E+001, 2.49997E+001, 2.49998E+001, 2.50002E+001, 2.50001E+001, 8.67600E-004, 2.06860E-001, 1.53478E+000
 7.00884E+000, 2.50356E+001, 2.50663E+001, 2.58778E+001, 2.50003E+001, 2.50007E+001, 2.50012E+001, 2.50009E+001, 1.21314E-003, 2.06860E-001, 2.76754E+000
 8.00237E+000, 2.50332E+001, 2.50830E+001, 2.60905E+001, 2.50009E+001, 2.50016E+001, 2.50022E+001, 2.50018E+001, 1.61458E-003, 2.06860E-001, 4.04552E+000
 9.00492E+000, 2.50326E+001, 2.50832E+001, 2.62941E+001, 2.50015E+001, 2.50025E+001, 2.50034E+001, 2.50027E+001, 2.07345E-003, 2.06860E-001, 5.49459E+000
 1.00075E+001, 2.50328E+001, 2.50812E+001, 2.65351E+001, 2.50021E+001, 2.50034E+001, 2.50047E+001, 2.50037E+001, 2.59246E-003, 2.06860E-001, 7.17899E+000
