s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.40279E-004, 2.67500E-026, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.40279E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.41718E-002
 1.00255E+000, 8.98852E-006, 0.00000E+000,-7.68076E-005,-3.56691E-012,-2.33686E-005,-3.56183E-024,-3.63992E-005, 0.00000E+000,-1.26882E-004,-1.27587E-004, 0.00000E+000, 2.32873E-010, 0.00000E+000,-2.68789E-001
 2.00511E+000, 6.54975E-005, 0.00000E+000,-4.74210E-005, 2.75346E-012,-3.25389E-005,-2.47329E-023,-5.72894E-006, 0.00000E+000,-2.10588E-005,-2.01913E-005, 0.00000E+000, 1.61763E-009, 0.00000E+000,-3.08465E-001
 3.00766E+000, 1.79938E-004, 0.00000E+000,-5.76961E-005, 9.09015E-012,-7.40906E-005,-6.69324E-023, 1.94882E-005, 0.00000E+000, 6.68513E-005, 6.76395E-005, 0.00000E+000, 4.38095E-009, 0.00000E+000,-1.77016E-001
 4.00118E+000, 3.51207E-004, 0.00000E+000,-8.46356E-005, 1.41844E-011,-1.11846E-004,-1.29790E-022, 6.22215E-005, 0.00000E+000, 2.14633E-004, 2.16946E-004, 0.00000E+000, 8.50004E-009, 0.00000E+000, 2.39626E-001
 5.00374E+000, 5.80066E-004, 0.00000E+000,-1.40840E-004, 2.29047E-011,-1.71244E-004,-2.13413E-022, 1.07905E-004, 0.00000E+000, 3.72311E-004, 3.75887E-004, 0.00000E+000, 1.39873E-008, 0.00000E+000, 9.70045E-001
 6.00629E+000, 8.67600E-004, 0.00000E+000,-2.10732E-004,-4.55973E-010,-2.37524E-004,-3.18225E-022, 1.68864E-004, 0.00000E+000, 5.83519E-004, 5.88207E-004, 0.00000E+000, 2.08739E-008, 0.00000E+000, 2.11371E+000
 7.00884E+000, 1.21314E-003, 0.00000E+000,-2.95774E-004,-8.49281E-009,-4.64157E-004,-4.43841E-022, 1.83624E-004, 0.00000E+000, 6.28071E-004, 6.36823E-004, 0.00000E+000, 2.91390E-008, 0.00000E+000, 3.35940E+000
 8.00237E+000, 1.61458E-003, 0.00000E+000,-3.96558E-004,-2.60447E-008,-7.26606E-004,-5.89476E-022, 1.99841E-004, 0.00000E+000, 6.72812E-004, 6.91228E-004, 0.00000E+000, 3.87351E-008, 0.00000E+000, 4.70191E+000
 9.00492E+000, 2.07345E-003, 0.00000E+000,-5.08790E-004,-4.71767E-008,-1.00135E-003,-7.55619E-022, 2.29749E-004, 0.00000E+000, 7.67907E-004, 7.93014E-004, 0.00000E+000, 4.96994E-008, 0.00000E+000, 6.25931E+000
 1.00075E+001, 2.59246E-003, 0.00000E+000,-6.10424E-004,-7.38608E-008,-1.32173E-003,-9.43027E-022, 2.69751E-004, 0.00000E+000, 8.95982E-004, 9.29982E-004, 0.00000E+000, 6.20878E-008, 0.00000E+000, 8.08772E+000
 1.10061E+001, 3.16968E-003, 0.00000E+000,-7.21848E-004,-9.93217E-008,-1.69659E-003,-1.15044E-021, 3.07649E-004, 0.00000E+000, 1.02065E-003, 1.05879E-003, 0.00000E+000, 7.58216E-008, 0.00000E+000, 1.01654E+001
 1.20029E+001, 3.80170E-003, 0.00000E+000,-8.33992E-004,-1.13667E-007,-2.12398E-003,-1.37744E-021, 3.46264E-004, 0.00000E+000, 1.15038E-003, 1.18988E-003, 0.00000E+000, 9.08817E-008, 0.00000E+000, 1.24996E+001
 1.30013E+001, 4.49077E-003, 0.00000E+000,-9.57548E-004,-1.29477E-007,-2.60396E-003,-1.62449E-021, 3.82371E-004, 0.00000E+000, 1.27106E-003, 1.31151E-003, 0.00000E+000, 1.07306E-007, 0.00000E+000, 1.50816E+001
 1.40005E+001, 5.23621E-003, 0.00000E+000,-1.11369E-003,-1.35499E-007,-3.13334E-003,-1.89180E-021, 4.08440E-004, 0.00000E+000, 1.35893E-003, 1.39749E-003, 0.00000E+000, 1.25116E-007, 0.00000E+000, 1.78425E+001
 1.50046E+001, 6.04589E-003, 0.00000E+000,-1.28499E-003,-1.41948E-007,-3.69038E-003,-2.17985E-021, 4.43108E-004, 0.00000E+000, 1.47442E-003, 1.51349E-003, 0.00000E+000, 1.44353E-007, 0.00000E+000, 2.08517E+001
 1.60037E+001, 6.90901E-003, 0.00000E+000,-1.45703E-003,-1.63026E-007,-4.28892E-003,-2.48781E-021, 4.82467E-004, 0.00000E+000, 1.60395E-003, 1.64536E-003, 0.00000E+000, 1.64964E-007, 0.00000E+000, 2.41125E+001
 1.70053E+001, 7.83342E-003, 0.00000E+000,-1.66592E-003,-1.67160E-007,-4.92779E-003,-2.81506E-021, 5.15738E-004, 0.00000E+000, 1.71544E-003, 1.75528E-003, 0.00000E+000, 1.86922E-007, 0.00000E+000, 2.76066E+001
 1.80047E+001, 8.81053E-003, 0.00000E+000,-1.91672E-003,-1.74652E-007,-5.59499E-003,-3.16197E-021, 5.42051E-004, 0.00000E+000, 1.80019E-003, 1.84070E-003, 0.00000E+000, 2.10258E-007, 0.00000E+000, 3.12715E+001
 1.90042E+001, 9.84979E-003, 0.00000E+000,-2.19173E-003,-2.03569E-007,-6.27746E-003,-3.52797E-021, 5.77875E-004, 0.00000E+000, 1.91420E-003, 1.95827E-003, 0.00000E+000, 2.34942E-007, 0.00000E+000, 3.51785E+001
 2.00034E+001, 1.09411E-002, 0.00000E+000,-2.48831E-003,-1.92977E-007,-7.00637E-003,-3.91298E-021, 6.07027E-004, 0.00000E+000, 2.01245E-003, 2.05321E-003, 0.00000E+000, 2.60986E-007, 0.00000E+000, 3.92819E+001
 2.10026E+001, 1.20920E-002, 0.00000E+000,-2.81762E-003,-2.13111E-007,-7.75680E-003,-4.31714E-021, 6.38715E-004, 0.00000E+000, 2.11223E-003, 2.15605E-003, 0.00000E+000, 2.88403E-007, 0.00000E+000, 4.35995E+001
 2.20018E+001, 1.33009E-002, 0.00000E+000,-3.20509E-003,-2.28816E-007,-8.52813E-003,-4.74019E-021, 6.62436E-004, 0.00000E+000, 2.18695E-003, 2.22986E-003, 0.00000E+000, 3.17190E-007, 0.00000E+000, 4.80777E+001
 2.30038E+001, 1.45724E-002, 0.00000E+000,-3.61459E-003,-2.19717E-007,-9.32481E-003,-5.18229E-021, 6.91934E-004, 0.00000E+000, 2.28365E-003, 2.32474E-003, 0.00000E+000, 3.47382E-007, 0.00000E+000, 5.27679E+001
 2.40010E+001, 1.58935E-002, 0.00000E+000,-3.98695E-003,-1.84976E-007,-1.01639E-002,-5.64285E-021, 7.39261E-004, 0.00000E+000, 2.46092E-003, 2.48175E-003, 0.00000E+000, 3.78920E-007, 0.00000E+000, 5.77545E+001
 2.50025E+001, 1.72755E-002, 0.00000E+000,-4.33466E-003,-3.55181E-008,-1.10879E-002,-6.12176E-021, 7.87346E-004, 0.00000E+000, 2.63634E-003, 2.64025E-003, 0.00000E+000, 4.11821E-007, 0.00000E+000, 6.30888E+001
 2.60040E+001, 1.80015E-002, 0.00000E+000,-4.51189E-003,-1.68873E-008,-1.19193E-002,-6.36529E-021, 6.80387E-004, 0.00000E+000, 2.25374E-003, 2.25070E-003, 0.00000E+000, 4.28606E-007, 0.00000E+000, 6.77022E+001
 2.70011E+001, 1.80014E-002, 0.00000E+000,-4.51393E-003,-4.48024E-009,-1.22636E-002,-6.36527E-021, 5.42661E-004, 0.00000E+000, 1.76772E-003, 1.76652E-003, 0.00000E+000, 4.28606E-007, 0.00000E+000, 7.13645E+001
 2.80026E+001, 1.80014E-002, 0.00000E+000,-4.51713E-003,-1.17073E-009,-1.24013E-002,-6.36524E-021, 4.86247E-004, 0.00000E+000, 1.56927E-003, 1.56920E-003, 0.00000E+000, 4.28606E-007, 0.00000E+000, 7.46598E+001
 2.90041E+001, 1.80014E-002, 0.00000E+000,-4.52083E-003,-4.20116E-009,-1.24991E-002,-6.36522E-021, 4.45861E-004, 0.00000E+000, 1.42641E-003, 1.42733E-003, 0.00000E+000, 4.28606E-007, 0.00000E+000, 7.76814E+001
 3.00012E+001, 1.80014E-002, 0.00000E+000,-4.52382E-003,-3.70117E-009,-1.25888E-002,-6.36520E-021, 4.08985E-004, 0.00000E+000, 1.29661E-003, 1.29773E-003, 0.00000E+000, 4.28606E-007, 0.00000E+000, 8.04412E+001
 3.10027E+001, 1.80014E-002, 0.00000E+000,-4.52644E-003,-9.00717E-010,-1.26698E-002,-6.36518E-021, 3.75783E-004, 0.00000E+000, 1.17991E-003, 1.18094E-003, 0.00000E+000, 4.28606E-007, 0.00000E+000, 8.29879E+001
 3.20042E+001, 1.80014E-002, 0.00000E+000,-4.52900E-003,-4.31963E-009,-1.27366E-002,-6.36516E-021, 3.48203E-004, 0.00000E+000, 1.08252E-003, 1.08396E-003, 0.00000E+000, 4.28606E-007, 0.00000E+000, 8.53477E+001
 3.30014E+001, 1.80014E-002, 0.00000E+000,-4.53098E-003,-2.79714E-009,-1.27909E-002,-6.36513E-021, 3.25718E-004, 0.00000E+000, 1.00349E-003, 1.00520E-003, 0.00000E+000, 4.28606E-007, 0.00000E+000, 8.75454E+001
 3.40028E+001, 1.80014E-002, 0.00000E+000,-4.53298E-003,-2.78041E-009,-1.28334E-002,-6.36510E-021, 3.07935E-004, 0.00000E+000, 9.41015E-004, 9.42959E-004, 0.00000E+000, 4.28606E-007, 0.00000E+000, 8.96321E+001
 3.50000E+001, 1.80014E-002, 0.00000E+000,-4.53494E-003,-7.08093E-009,-1.28664E-002,-6.36509E-021, 2.93970E-004, 0.00000E+000, 8.91938E-004, 8.94036E-004, 0.00000E+000, 4.28606E-007, 0.00000E+000, 9.16157E+001
 3.60015E+001, 1.80014E-002, 0.00000E+000,-4.53659E-003,-3.12286E-010,-1.29074E-002,-6.36507E-021, 2.77127E-004, 0.00000E+000, 8.33760E-004, 8.34606E-004, 0.00000E+000, 4.28606E-007, 0.00000E+000, 9.34937E+001
 3.70030E+001, 1.80015E-002, 0.00000E+000,-4.53803E-003, 3.35777E-010,-1.29400E-002,-6.36506E-021, 2.63487E-004, 0.00000E+000, 7.86073E-004, 7.86869E-004, 0.00000E+000, 4.28606E-007, 0.00000E+000, 9.52792E+001
 3.80001E+001, 1.80015E-002, 0.00000E+000,-4.53966E-003,-1.01660E-009,-1.29532E-002,-6.36505E-021, 2.57521E-004, 0.00000E+000, 7.64892E-004, 7.66134E-004, 0.00000E+000, 4.28606E-007, 0.00000E+000, 9.70166E+001
 3.90016E+001, 1.80014E-002, 0.00000E+000,-4.54074E-003,-8.28665E-010,-1.29582E-002,-6.36503E-021, 2.54971E-004, 0.00000E+000, 7.55970E-004, 7.57427E-004, 0.00000E+000, 4.28606E-007, 0.00000E+000, 9.87443E+001
