s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.56693E-006, 1.72837E-025, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.56693E-006, 0.00000E+000, 0.00000E+000, 0.00000E+000,-3.59676E-002
 1.00194E+000, 8.74124E-006, 0.00000E+000,-5.74101E-009, 5.32009E-016,-1.69613E-006,-3.52766E-024, 2.80561E-006, 0.00000E+000, 9.75290E-006, 9.84498E-006, 0.00000E+000, 4.61276E-010, 0.00000E+000,-1.71343E-002
 2.00051E+000, 6.44902E-005, 0.00000E+000,-2.11889E-005, 7.63078E-014,-1.39409E-005,-2.45552E-023, 1.18333E-005, 0.00000E+000, 4.10356E-005, 4.11938E-005, 0.00000E+000, 3.21192E-009, 0.00000E+000, 6.22489E-002
 3.00245E+000, 1.77904E-004, 0.00000E+000,-5.37520E-005,-7.24193E-014,-3.92138E-005,-6.65351E-023, 3.42359E-005, 0.00000E+000, 1.18870E-004, 1.19174E-004, 0.00000E+000, 8.70857E-009, 0.00000E+000, 2.92822E-001
 4.00102E+000, 3.48917E-004, 0.00000E+000,-1.15458E-004,-5.61897E-013,-6.40323E-005,-1.29425E-022, 6.82984E-005, 0.00000E+000, 2.37243E-004, 2.37725E-004, 0.00000E+000, 1.69482E-008, 0.00000E+000, 7.51353E-001
 5.00296E+000, 5.77598E-004, 0.00000E+000,-1.95465E-004,-2.27831E-012,-1.00021E-004,-2.13168E-022, 1.13739E-004, 0.00000E+000, 3.95245E-004, 3.95851E-004, 0.00000E+000, 2.79338E-008, 0.00000E+000, 1.51774E+000
 6.00152E+000, 8.63881E-004, 0.00000E+000,-2.72861E-004,-7.08542E-011,-1.47398E-004,-3.17684E-022, 1.78765E-004, 0.00000E+000, 6.21743E-004, 6.22387E-004, 0.00000E+000, 4.16623E-008, 0.00000E+000, 2.71856E+000
 7.00009E+000, 1.20719E-003, 0.00000E+000,-3.87789E-004,-3.38811E-010,-3.17084E-004,-4.42709E-022, 2.03053E-004, 0.00000E+000, 7.04792E-004, 7.05367E-004, 0.00000E+000, 5.81060E-008, 0.00000E+000, 4.08308E+000
 8.00203E+000, 1.60867E-003, 0.00000E+000,-5.31446E-004,-8.50603E-010,-5.27855E-004,-5.88602E-022, 2.22746E-004, 0.00000E+000, 7.70906E-004, 7.72112E-004, 0.00000E+000, 7.73203E-008, 0.00000E+000, 5.58484E+000
 9.00060E+000, 2.06775E-003, 0.00000E+000,-6.77028E-004,-1.50248E-009,-7.58246E-004,-7.55059E-022, 2.56945E-004, 0.00000E+000, 8.87700E-004, 8.89422E-004, 0.00000E+000, 9.92777E-008, 0.00000E+000, 7.31142E+000
 1.00025E+001, 2.58452E-003, 0.00000E+000,-7.95526E-004,-2.14303E-009,-1.01991E-003,-9.42062E-022, 3.12437E-004, 0.00000E+000, 1.07864E-003, 1.08151E-003, 0.00000E+000, 1.23981E-007, 0.00000E+000, 9.41735E+000
 1.10007E+001, 3.15928E-003, 0.00000E+000,-8.67668E-004,-3.61733E-009,-1.33188E-003,-1.14945E-021, 3.89692E-004, 0.00000E+000, 1.34615E-003, 1.34941E-003, 0.00000E+000, 1.51419E-007, 0.00000E+000, 1.20347E+001
 1.20017E+001, 3.79080E-003, 0.00000E+000,-9.82285E-004,-3.90448E-009,-1.73133E-003,-1.37708E-021, 4.37981E-004, 0.00000E+000, 1.51133E-003, 1.51516E-003, 0.00000E+000, 1.81586E-007, 0.00000E+000, 1.49850E+001
 1.30010E+001, 4.47962E-003, 0.00000E+000,-1.08734E-003,-4.27886E-009,-2.17328E-003,-1.62506E-021, 4.96048E-004, 0.00000E+000, 1.71037E-003, 1.71504E-003, 0.00000E+000, 2.14511E-007, 0.00000E+000, 1.83209E+001
 1.40012E+001, 5.22730E-003, 0.00000E+000,-1.25759E-003,-4.45384E-009,-2.65696E-003,-1.89308E-021, 5.35198E-004, 0.00000E+000, 1.84240E-003, 1.84794E-003, 0.00000E+000, 2.50165E-007, 0.00000E+000, 2.19231E+001
 1.50021E+001, 6.03134E-003, 0.00000E+000,-1.43589E-003,-4.64450E-009,-3.15740E-003,-2.18135E-021, 5.87022E-004, 0.00000E+000, 2.01861E-003, 2.02507E-003, 0.00000E+000, 2.88593E-007, 0.00000E+000, 2.58774E+001
 1.60001E+001, 6.89389E-003, 0.00000E+000,-1.63890E-003,-5.47696E-009,-3.69014E-003,-2.48927E-021, 6.39584E-004, 0.00000E+000, 2.19695E-003, 2.20443E-003, 0.00000E+000, 3.29723E-007, 0.00000E+000, 3.01731E+001
 1.70017E+001, 7.81292E-003, 0.00000E+000,-1.89597E-003,-5.25388E-009,-4.25357E-003,-2.81714E-021, 6.81149E-004, 0.00000E+000, 2.33625E-003, 2.34452E-003, 0.00000E+000, 3.73607E-007, 0.00000E+000, 3.47647E+001
 1.80005E+001, 8.79189E-003, 0.00000E+000,-2.17269E-003,-6.41737E-009,-4.82944E-003,-3.16498E-021, 7.33799E-004, 0.00000E+000, 2.51395E-003, 2.52355E-003, 0.00000E+000, 4.20254E-007, 0.00000E+000, 3.96971E+001
 1.90015E+001, 9.82749E-003, 0.00000E+000,-2.44491E-003,-6.25457E-009,-5.44264E-003,-3.53229E-021, 7.96112E-004, 0.00000E+000, 2.72541E-003, 2.73604E-003, 0.00000E+000, 4.69627E-007, 0.00000E+000, 4.50600E+001
 2.00010E+001, 1.09226E-002, 0.00000E+000,-2.74986E-003,-3.75088E-009,-6.09009E-003,-3.91904E-021, 8.55698E-004, 0.00000E+000, 2.92673E-003, 2.93838E-003, 0.00000E+000, 5.21757E-007, 0.00000E+000, 5.08159E+001
 2.10006E+001, 1.20719E-002, 0.00000E+000,-3.10672E-003,-3.72159E-009,-6.70105E-003,-4.32490E-021, 9.30797E-004, 0.00000E+000, 3.18214E-003, 3.19488E-003, 0.00000E+000, 5.76599E-007, 0.00000E+000, 5.70778E+001
 2.20002E+001, 1.32796E-002, 0.00000E+000,-3.47705E-003,-3.46935E-009,-7.37675E-003,-4.75017E-021, 9.98159E-004, 0.00000E+000, 3.41003E-003, 3.42398E-003, 0.00000E+000, 6.34186E-007, 0.00000E+000, 6.37929E+001
 2.30017E+001, 1.45462E-002, 0.00000E+000,-3.85496E-003,-4.12017E-009,-8.10363E-003,-5.19487E-021, 1.06562E-003, 0.00000E+000, 3.63789E-003, 3.65326E-003, 0.00000E+000, 6.94570E-007, 0.00000E+000, 7.09747E+001
 2.40013E+001, 1.58704E-002, 0.00000E+000,-4.25255E-003,-3.79297E-009,-8.88546E-003,-5.65854E-021, 1.12655E-003, 0.00000E+000, 3.84240E-003, 3.85898E-003, 0.00000E+000, 7.57698E-007, 0.00000E+000, 7.85538E+001
 2.50006E+001, 1.72525E-002, 0.00000E+000,-4.74657E-003,-2.83041E-009,-9.70852E-003,-6.14051E-021, 1.15595E-003, 0.00000E+000, 3.93533E-003, 3.95330E-003, 0.00000E+000, 8.23497E-007, 0.00000E+000, 8.63281E+001
 2.60004E+001, 1.80005E-002, 0.00000E+000,-5.07450E-003,-2.52200E-009,-1.04283E-002,-6.38680E-021, 1.04010E-003, 0.00000E+000, 3.52009E-003, 3.53778E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 9.33288E+001
 2.70003E+001, 1.80014E-002, 0.00000E+000,-5.08551E-003, 2.32804E-010,-1.08239E-002,-6.38680E-021, 8.78809E-004, 0.00000E+000, 2.95165E-003, 2.97082E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 9.92433E+001
 2.80002E+001, 1.80014E-002, 0.00000E+000,-5.08986E-003,-1.12037E-010,-1.10408E-002,-6.38683E-021, 7.90813E-004, 0.00000E+000, 2.64219E-003, 2.66160E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.04566E+002
 2.90000E+001, 1.80015E-002, 0.00000E+000,-5.09744E-003,-4.97663E-010,-1.12237E-002,-6.38685E-021, 7.14948E-004, 0.00000E+000, 2.37487E-003, 2.39530E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.09377E+002
 3.00015E+001, 1.80015E-002, 0.00000E+000,-5.10165E-003,-2.61481E-011,-1.13875E-002,-6.38688E-021, 6.48160E-004, 0.00000E+000, 2.14016E-003, 2.16047E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.13747E+002
 3.10014E+001, 1.80015E-002, 0.00000E+000,-5.11201E-003,-1.03090E-009,-1.15118E-002,-6.38692E-021, 5.94573E-004, 0.00000E+000, 1.95133E-003, 1.97227E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.17748E+002
 3.20012E+001, 1.80015E-002, 0.00000E+000,-5.11400E-003,-1.06462E-009,-1.16081E-002,-6.38694E-021, 5.55469E-004, 0.00000E+000, 1.81393E-003, 1.83484E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.21486E+002
 3.30011E+001, 1.80015E-002, 0.00000E+000,-5.12422E-003,-1.23201E-011,-1.17281E-002,-6.38695E-021, 5.03516E-004, 0.00000E+000, 1.63114E-003, 1.65263E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.24875E+002
 3.40010E+001, 1.80015E-002, 0.00000E+000,-5.14525E-003,-8.22261E-010,-1.18255E-002,-6.38696E-021, 4.56045E-004, 0.00000E+000, 1.46396E-003, 1.48671E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.27944E+002
 3.50008E+001, 1.80015E-002, 0.00000E+000,-5.14521E-003,-6.16083E-010,-1.18720E-002,-6.38697E-021, 4.37351E-004, 0.00000E+000, 1.39840E-003, 1.42170E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.30887E+002
 3.60007E+001, 1.80015E-002, 0.00000E+000,-5.14601E-003,-1.67491E-009,-1.18968E-002,-6.38697E-021, 4.26783E-004, 0.00000E+000, 1.36115E-003, 1.38539E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.33760E+002
