s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.59134E-006, 1.51348E-026, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.59134E-006, 0.00000E+000, 0.00000E+000, 0.00000E+000,-4.75701E-002
 1.00307E+000, 8.64175E-006, 0.00000E+000,-6.25096E-009,-3.86852E-016,-1.07322E-006,-3.54150E-024, 3.00209E-006, 0.00000E+000, 1.04237E-005, 1.05644E-005, 0.00000E+000, 4.63085E-010, 0.00000E+000,-2.77484E-002
 2.00163E+000, 6.41866E-005, 0.00000E+000,-2.00600E-005,-1.64142E-013,-1.03234E-005,-2.46087E-023, 1.35445E-005, 0.00000E+000, 4.70280E-005, 4.73477E-005, 0.00000E+000, 3.21887E-009, 0.00000E+000, 6.16446E-002
 3.00020E+000, 1.77129E-004, 0.00000E+000,-5.22709E-005, 3.44290E-013,-2.71392E-005,-6.65346E-023, 3.91653E-005, 0.00000E+000, 1.36091E-004, 1.36884E-004, 0.00000E+000, 8.70780E-009, 0.00000E+000, 3.20186E-001
 4.00327E+000, 3.47980E-004, 0.00000E+000,-1.09069E-004,-1.29786E-012,-4.32221E-005,-1.29488E-022, 7.85301E-005, 0.00000E+000, 2.73115E-004, 2.74219E-004, 0.00000E+000, 1.69546E-008, 0.00000E+000, 8.41263E-001
 5.00183E+000, 5.76487E-004, 0.00000E+000,-1.94386E-004,-5.39330E-012,-6.89356E-005,-2.13289E-022, 1.25788E-004, 0.00000E+000, 4.37526E-004, 4.38953E-004, 0.00000E+000, 2.79469E-008, 0.00000E+000, 1.67252E+000
 6.00040E+000, 8.62010E-004, 0.00000E+000,-2.88989E-004,-1.15916E-010,-1.01661E-004,-3.17661E-022, 1.89390E-004, 0.00000E+000, 6.58901E-004, 6.60749E-004, 0.00000E+000, 4.16538E-008, 0.00000E+000, 2.92423E+000
 7.00347E+000, 1.20583E-003, 0.00000E+000,-3.84740E-004,-6.04859E-010,-2.24727E-004,-4.43000E-022, 2.40620E-004, 0.00000E+000, 8.36650E-004, 8.36986E-004, 0.00000E+000, 5.81371E-008, 0.00000E+000, 4.52235E+000
 8.00203E+000, 1.60731E-003, 0.00000E+000,-4.96181E-004,-1.12974E-009,-4.05619E-004,-5.89022E-022, 2.86003E-004, 0.00000E+000, 9.93218E-004, 9.91512E-004, 0.00000E+000, 7.73659E-008, 0.00000E+000, 6.41353E+000
 9.00060E+000, 2.06541E-003, 0.00000E+000,-6.43604E-004,-1.98789E-009,-6.22769E-004,-7.55263E-022, 3.25406E-004, 0.00000E+000, 1.12818E-003, 1.12444E-003, 0.00000E+000, 9.92908E-008, 0.00000E+000, 8.56511E+000
 1.00037E+001, 2.58218E-003, 0.00000E+000,-8.12796E-004,-3.29629E-009,-8.63891E-004,-9.42386E-022, 3.70301E-004, 0.00000E+000, 1.28222E-003, 1.27580E-003, 0.00000E+000, 1.24011E-007, 0.00000E+000, 1.10249E+001
 1.10022E+001, 3.15661E-003, 0.00000E+000,-1.00867E-003,-3.90026E-009,-1.13586E-003,-1.14987E-021, 4.15385E-004, 0.00000E+000, 1.43621E-003, 1.42746E-003, 0.00000E+000, 1.51476E-007, 0.00000E+000, 1.37715E+001
 1.20008E+001, 3.78730E-003, 0.00000E+000,-1.13428E-003,-6.31533E-009,-1.44342E-003,-1.37708E-021, 4.96695E-004, 0.00000E+000, 1.71728E-003, 1.70629E-003, 0.00000E+000, 1.81619E-007, 0.00000E+000, 1.70555E+001
 1.30039E+001, 4.47709E-003, 0.00000E+000,-1.28500E-003,-8.03835E-009,-1.79407E-003,-1.62521E-021, 5.74843E-004, 0.00000E+000, 1.98690E-003, 1.97286E-003, 0.00000E+000, 2.14575E-007, 0.00000E+000, 2.08737E+001
 1.40029E+001, 5.22564E-003, 0.00000E+000,-1.45450E-003,-8.14377E-009,-2.18230E-003,-1.89356E-021, 6.54224E-004, 0.00000E+000, 2.26044E-003, 2.24306E-003, 0.00000E+000, 2.50277E-007, 0.00000E+000, 2.52019E+001
 1.50027E+001, 6.02975E-003, 0.00000E+000,-1.62942E-003,-9.87684E-009,-2.61080E-003,-2.18158E-021, 7.37820E-004, 0.00000E+000, 2.54834E-003, 2.52734E-003, 0.00000E+000, 2.88671E-007, 0.00000E+000, 3.00873E+001
 1.60008E+001, 6.88941E-003, 0.00000E+000,-1.86108E-003,-9.99668E-009,-3.08010E-003,-2.48937E-021, 8.05100E-004, 0.00000E+000, 2.77870E-003, 2.75332E-003, 0.00000E+000, 3.29779E-007, 0.00000E+000, 3.54094E+001
 1.70025E+001, 7.80892E-003, 0.00000E+000,-2.08387E-003,-1.10729E-008,-3.56898E-003,-2.81742E-021, 8.91873E-004, 0.00000E+000, 3.07660E-003, 3.04793E-003, 0.00000E+000, 3.73675E-007, 0.00000E+000, 4.13260E+001
 1.80019E+001, 8.78805E-003, 0.00000E+000,-2.32021E-003,-1.10671E-008,-4.10214E-003,-3.16538E-021, 9.79966E-004, 0.00000E+000, 3.37935E-003, 3.34566E-003, 0.00000E+000, 4.20334E-007, 0.00000E+000, 4.78125E+001
 1.90024E+001, 9.82284E-003, 0.00000E+000,-2.62917E-003,-1.09357E-008,-4.66998E-003,-3.53263E-021, 1.04772E-003, 0.00000E+000, 3.60968E-003, 3.57139E-003, 0.00000E+000, 4.69710E-007, 0.00000E+000, 5.47550E+001
 2.00007E+001, 1.09145E-002, 0.00000E+000,-2.93614E-003,-1.06987E-008,-5.25551E-003,-3.91901E-021, 1.13208E-003, 0.00000E+000, 3.89823E-003, 3.85490E-003, 0.00000E+000, 5.21804E-007, 0.00000E+000, 6.22404E+001
 2.10019E+001, 1.20631E-002, 0.00000E+000,-3.25417E-003,-1.12298E-008,-5.87118E-003,-4.32548E-021, 1.22312E-003, 0.00000E+000, 4.20990E-003, 4.16086E-003, 0.00000E+000, 5.76652E-007, 0.00000E+000, 7.03509E+001
 2.20004E+001, 1.32705E-002, 0.00000E+000,-3.62772E-003,-6.75683E-009,-6.49032E-003,-4.75186E-021, 1.31423E-003, 0.00000E+000, 4.52065E-003, 4.46671E-003, 0.00000E+000, 6.34253E-007, 0.00000E+000, 7.90421E+001
 2.30015E+001, 1.45357E-002, 0.00000E+000,-3.97662E-003,-6.27824E-009,-7.08306E-003,-5.19823E-021, 1.44843E-003, 0.00000E+000, 4.98329E-003, 4.92445E-003, 0.00000E+000, 6.94597E-007, 0.00000E+000, 8.86462E+001
 2.40000E+001, 1.58590E-002, 0.00000E+000,-4.26970E-003,-7.17293E-009,-7.79693E-003,-5.66298E-021, 1.58045E-003, 0.00000E+000, 5.43790E-003, 5.37281E-003, 0.00000E+000, 7.57682E-007, 0.00000E+000, 9.90979E+001
 2.50003E+001, 1.72409E-002, 0.00000E+000,-4.57620E-003,-4.00431E-009,-8.62227E-003,-6.14586E-021, 1.68700E-003, 0.00000E+000, 5.80277E-003, 5.72942E-003, 0.00000E+000, 8.23472E-007, 0.00000E+000, 1.10275E+002
 2.60016E+001, 1.79998E-002, 0.00000E+000,-4.74286E-003,-2.66499E-009,-9.43070E-003,-6.39216E-021, 1.60767E-003, 0.00000E+000, 5.51693E-003, 5.43394E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.20940E+002
 2.70006E+001, 1.80014E-002, 0.00000E+000,-4.76890E-003,-1.10118E-009,-9.97942E-003,-6.39129E-021, 1.38199E-003, 0.00000E+000, 4.72167E-003, 4.63511E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.30086E+002
 2.80019E+001, 1.80014E-002, 0.00000E+000,-4.78746E-003,-1.76517E-009,-1.02939E-002,-6.39056E-021, 1.25072E-003, 0.00000E+000, 4.25987E-003, 4.17076E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.38382E+002
 2.90008E+001, 1.80007E-002, 0.00000E+000,-4.78547E-003,-4.56428E-009,-1.05657E-002,-6.38960E-021, 1.14423E-003, 0.00000E+000, 3.88528E-003, 3.79383E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.45954E+002
 3.00021E+001, 1.80005E-002, 0.00000E+000,-4.80259E-003,-6.44460E-009,-1.08207E-002,-6.38940E-021, 1.03746E-003, 0.00000E+000, 3.50950E-003, 3.41469E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.52836E+002
 3.10018E+001, 1.80007E-002, 0.00000E+000,-4.80332E-003,-3.53629E-009,-1.10286E-002,-6.39015E-021, 9.56344E-004, 0.00000E+000, 3.22421E-003, 3.12507E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.59169E+002
 3.20002E+001, 1.80024E-002, 0.00000E+000,-4.81855E-003,-5.31379E-010,-1.12565E-002,-6.38995E-021, 8.61742E-004, 0.00000E+000, 2.89140E-003, 2.78910E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.64869E+002
 3.30006E+001, 1.80020E-002, 0.00000E+000,-4.81964E-003,-1.09192E-010,-1.13417E-002,-6.39036E-021, 8.27768E-004, 0.00000E+000, 2.77147E-003, 2.66844E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.70354E+002
 3.40007E+001, 1.80001E-002, 0.00000E+000,-4.82493E-003,-1.26520E-009,-1.14387E-002,-6.38986E-021, 7.86746E-004, 0.00000E+000, 2.62723E-003, 2.52326E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.75567E+002
 3.50020E+001, 1.80022E-002, 0.00000E+000,-4.82966E-003,-3.57959E-009,-1.15534E-002,-6.39009E-021, 7.40309E-004, 0.00000E+000, 2.46414E-003, 2.35947E-003, 0.00000E+000, 8.57211E-007, 0.00000E+000, 1.80477E+002
