s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-2.50161E-005, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001
 1.00481E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 7.47261E-006, 2.06860E-001,-1.05177E-002, 2.30000E-001, 1.00699E+001, 2.50001E+001, 2.30000E-001, 4.59474E+000, 2.50000E+001, 2.30000E-001, 2.28701E+001, 2.50000E+001
 2.00962E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 5.46369E-005, 2.06860E-001, 2.90988E-002, 2.30000E-001, 2.50000E+001, 2.50054E+001, 2.30000E-001, 1.02773E+001, 2.50000E+001, 2.30000E-001, 2.44575E+001, 2.50000E+001
 3.00315E+000, 2.50002E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 1.49532E-004, 2.06860E-001, 1.58460E-001, 2.30000E-001, 2.50001E+001, 2.50207E+001, 2.30000E-001, 2.50001E+001, 2.50001E+001, 2.30000E-001, 2.50001E+001, 2.50001E+001
 4.00796E+000, 2.50008E+001, 2.50004E+001, 2.50003E+001, 2.50002E+001, 2.50004E+001, 2.50004E+001, 2.50003E+001, 2.92396E-004, 2.06860E-001, 4.54947E-001, 2.30000E-001, 2.50004E+001, 2.50241E+001, 2.30000E-001, 2.50004E+001, 2.50002E+001, 2.30000E-001, 2.50004E+001, 2.50002E+001
 5.00148E+000, 2.50144E+001, 2.50009E+001, 2.50006E+001, 2.50004E+001, 2.50008E+001, 2.50008E+001, 2.50007E+001, 4.83094E-004, 2.06860E-001, 1.00564E+000, 2.30000E-001, 2.50006E+001, 2.50233E+001, 2.30000E-001, 2.50008E+001, 2.50004E+001, 2.30000E-001, 2.50008E+001, 2.50004E+001
 6.00629E+000, 2.50245E+001, 2.50071E+001, 2.50010E+001, 2.50007E+001, 2.50014E+001, 2.50015E+001, 2.50013E+001, 7.21788E-004, 2.06860E-001, 1.87758E+000, 2.30000E-001, 2.50206E+001, 2.50289E+001, 2.30000E-001, 2.50015E+001, 2.50007E+001, 2.30000E-001, 2.50015E+001, 2.50007E+001
 7.01110E+000, 2.50244E+001, 2.50385E+001, 2.60630E+001, 2.50010E+001, 2.50023E+001, 2.50025E+001, 2.50021E+001, 1.01007E-003, 2.06860E-001, 3.03282E+000, 2.30000E-001, 2.53901E+001, 2.50338E+001, 2.30000E-001, 2.50025E+001, 2.50010E+001, 2.30000E-001, 2.50024E+001, 2.50010E+001
 8.00462E+000, 2.50243E+001, 2.50535E+001, 2.68255E+001, 2.50013E+001, 2.50031E+001, 2.50034E+001, 2.50028E+001, 1.34474E-003, 2.06860E-001, 4.26766E+000, 2.30000E-001, 2.56117E+001, 2.50310E+001, 2.30000E-001, 2.50035E+001, 2.50013E+001, 2.30000E-001, 2.50034E+001, 2.50012E+001
 9.00944E+000, 2.50246E+001, 2.50570E+001, 2.74592E+001, 2.50016E+001, 2.50040E+001, 2.50045E+001, 2.50036E+001, 1.72742E-003, 2.06860E-001, 5.64872E+000, 2.24464E-001, 2.59346E+001, 2.50350E+001, 2.30000E-001, 2.50046E+001, 2.50016E+001, 2.30000E-001, 2.50045E+001, 2.50015E+001
 1.00030E+001, 2.50253E+001, 2.50578E+001, 2.80727E+001, 2.50019E+001, 2.50049E+001, 2.50057E+001, 2.50045E+001, 2.15791E-003, 2.06860E-001, 7.19978E+000, 2.09256E-001, 2.63409E+001, 2.50434E+001, 2.30000E-001, 2.50058E+001, 2.50019E+001, 2.30000E-001, 2.50057E+001, 2.50018E+001
 1.10078E+001, 2.50266E+001, 2.50581E+001, 2.87121E+001, 2.50023E+001, 2.50059E+001, 2.50070E+001, 2.50054E+001, 2.63638E-003, 2.06860E-001, 8.97902E+000, 2.12766E-001, 2.68415E+001, 2.50528E+001, 2.30000E-001, 2.50072E+001, 2.50023E+001, 2.30000E-001, 2.50071E+001, 2.50022E+001
 1.20011E+001, 2.50282E+001, 2.50580E+001, 2.93802E+001, 2.50028E+001, 2.50070E+001, 2.50085E+001, 2.50065E+001, 3.16461E-003, 2.06860E-001, 1.09847E+001, 2.15395E-001, 2.74474E+001, 2.50627E+001, 2.30000E-001, 2.50088E+001, 2.50028E+001, 2.30000E-001, 2.50086E+001, 2.50026E+001
 1.30065E+001, 2.50301E+001, 2.50575E+001, 3.00731E+001, 2.50032E+001, 2.50083E+001, 2.50101E+001, 2.50077E+001, 3.73678E-003, 2.06860E-001, 1.32431E+001, 2.17434E-001, 2.81192E+001, 2.50734E+001, 2.30000E-001, 2.50106E+001, 2.50033E+001, 2.30000E-001, 2.50103E+001, 2.50030E+001
 1.40055E+001, 2.50323E+001, 2.50566E+001, 3.08208E+001, 2.50038E+001, 2.50096E+001, 2.50119E+001, 2.50090E+001, 4.36305E-003, 2.06860E-001, 1.57848E+001, 2.19126E-001, 2.89536E+001, 2.50851E+001, 2.30000E-001, 2.50126E+001, 2.50038E+001, 2.30000E-001, 2.50122E+001, 2.50035E+001
 1.50059E+001, 2.50348E+001, 2.50552E+001, 3.16245E+001, 2.50043E+001, 2.50111E+001, 2.50139E+001, 2.50104E+001, 5.03390E-003, 2.06860E-001, 1.85996E+001, 2.20504E-001, 2.99184E+001, 2.50972E+001, 2.30000E-001, 2.50149E+001, 2.50044E+001, 2.30000E-001, 2.50144E+001, 2.50040E+001
 1.60007E+001, 2.50376E+001, 2.50535E+001, 3.23609E+001, 2.50049E+001, 2.50126E+001, 2.50160E+001, 2.50118E+001, 5.74805E-003, 2.06860E-001, 2.16344E+001, 2.21632E-001, 3.08220E+001, 2.51100E+001, 2.30000E-001, 2.50172E+001, 2.50050E+001, 2.30000E-001, 2.50166E+001, 2.50045E+001
 1.70037E+001, 2.50407E+001, 2.50519E+001, 3.32500E+001, 2.50054E+001, 2.50141E+001, 2.50182E+001, 2.50133E+001, 6.51472E-003, 2.06860E-001, 2.48528E+001, 2.22581E-001, 3.20407E+001, 2.51239E+001, 2.30000E-001, 2.50197E+001, 2.50057E+001, 2.30000E-001, 2.50190E+001, 2.50050E+001
 1.80072E+001, 2.50442E+001, 2.50506E+001, 3.39595E+001, 2.50059E+001, 2.50157E+001, 2.50205E+001, 2.50148E+001, 7.33573E-003, 2.06860E-001, 2.83171E+001, 2.23301E-001, 3.30863E+001, 2.51383E+001, 2.30000E-001, 2.50223E+001, 2.50064E+001, 2.30000E-001, 2.50215E+001, 2.50056E+001
 1.90058E+001, 2.50480E+001, 2.50497E+001, 3.47496E+001, 2.50070E+001, 2.50174E+001, 2.50229E+001, 2.50164E+001, 8.19707E-003, 2.06860E-001, 3.20079E+001, 2.23820E-001, 3.42703E+001, 2.51546E+001, 2.30000E-001, 2.50268E+001, 2.50071E+001, 2.30000E-001, 2.50242E+001, 2.50061E+001
 2.00042E+001, 2.50522E+001, 2.50500E+001, 3.59418E+001, 2.50191E+001, 2.50192E+001, 2.50255E+001, 2.50181E+001, 9.11084E-003, 2.06860E-001, 3.59590E+001, 2.23909E-001, 3.55471E+001, 2.51733E+001, 2.30000E-001, 2.50894E+001, 2.50079E+001, 2.30000E-001, 2.50270E+001, 2.50067E+001
 2.10017E+001, 2.50568E+001, 2.50526E+001, 3.67218E+001, 2.50529E+001, 2.50210E+001, 2.50283E+001, 2.50199E+001, 1.00639E-002, 2.06860E-001, 4.01845E+001, 2.23373E-001, 3.57561E+001, 2.51923E+001, 2.30000E-001, 2.52739E+001, 2.50088E+001, 2.30000E-001, 2.50301E+001, 2.50074E+001
 2.20058E+001, 2.50620E+001, 2.50639E+001, 3.86154E+001, 2.50985E+001, 2.50229E+001, 2.50312E+001, 2.50217E+001, 1.10718E-002, 2.06860E-001, 4.47064E+001, 2.21989E-001, 3.68742E+001, 2.52121E+001, 2.30000E-001, 2.53922E+001, 2.50097E+001, 2.30000E-001, 2.50333E+001, 2.50080E+001
 2.30002E+001, 2.50677E+001, 2.51217E+001, 4.03378E+001, 2.51683E+001, 2.50250E+001, 2.50343E+001, 2.50236E+001, 1.21307E-002, 2.06860E-001, 4.95811E+001, 2.20366E-001, 3.78232E+001, 2.52330E+001, 2.30000E-001, 2.54968E+001, 2.50107E+001, 2.30000E-001, 2.50368E+001, 2.50087E+001
 2.40024E+001, 2.50737E+001, 2.52770E+001, 4.20675E+001, 2.53349E+001, 2.50272E+001, 2.50376E+001, 2.50257E+001, 1.32276E-002, 2.06860E-001, 5.48171E+001, 2.18976E-001, 3.77253E+001, 2.52549E+001, 2.30000E-001, 2.57555E+001, 2.50118E+001, 2.30000E-001, 2.50405E+001, 2.50095E+001
 2.50046E+001, 2.50803E+001, 2.54428E+001, 4.58816E+001, 2.56278E+001, 2.50296E+001, 2.50411E+001, 2.50278E+001, 1.43819E-002, 2.06858E-001, 6.04579E+001, 2.17535E-001, 3.84334E+001, 2.52785E+001, 2.30000E-001, 2.59262E+001, 2.50129E+001, 2.30000E-001, 2.50444E+001, 2.50103E+001
 2.60009E+001, 2.50868E+001, 2.55435E+001, 4.74086E+001, 2.57700E+001, 2.50318E+001, 2.50446E+001, 2.50297E+001, 1.49939E-002, 2.06855E-001, 6.61356E+001, 2.15826E-001, 3.99503E+001, 2.53012E+001, 1.89907E-001, 2.60237E+001, 2.50139E+001, 2.30000E-001, 2.50484E+001, 2.50110E+001
 2.70031E+001, 2.50919E+001, 2.55838E+001, 4.73973E+001, 2.58623E+001, 2.50329E+001, 2.50470E+001, 2.50305E+001, 1.49940E-002, 2.06853E-001, 7.07024E+001, 2.14944E-001, 3.99138E+001, 2.53191E+001, 1.66036E-001, 2.62243E+001, 2.50143E+001, 2.30000E-001, 2.50513E+001, 2.50111E+001
 2.80053E+001, 2.50959E+001, 2.55882E+001, 4.74907E+001, 2.61041E+001, 2.50334E+001, 2.50487E+001, 2.50306E+001, 1.49940E-002, 2.06851E-001, 7.45784E+001, 2.14642E-001, 3.96816E+001, 2.53346E+001, 1.67507E-001, 2.63594E+001, 2.50145E+001, 2.30000E-001, 2.50537E+001, 2.50111E+001
 2.90015E+001, 2.50993E+001, 2.55651E+001, 4.76258E+001, 2.61158E+001, 2.50335E+001, 2.50500E+001, 2.50304E+001, 1.49939E-002, 2.06851E-001, 7.80168E+001, 2.14049E-001, 3.95183E+001, 2.53489E+001, 1.68339E-001, 2.64268E+001, 2.50147E+001, 2.30000E-001, 2.50556E+001, 2.50110E+001
 3.00037E+001, 2.51022E+001, 2.55072E+001, 4.77953E+001, 2.61498E+001, 2.50335E+001, 2.50509E+001, 2.50298E+001, 1.49940E-002, 2.06851E-001, 8.10877E+001, 2.13482E-001, 3.96084E+001, 2.53627E+001, 1.68902E-001, 2.65057E+001, 2.50148E+001, 2.30000E-001, 2.50570E+001, 2.50110E+001
 3.10060E+001, 2.51048E+001, 2.54236E+001, 4.78012E+001, 2.62042E+001, 2.50334E+001, 2.50514E+001, 2.50290E+001, 1.49940E-002, 2.06851E-001, 8.38801E+001, 2.14002E-001, 3.99990E+001, 2.53761E+001, 1.69796E-001, 2.66012E+001, 2.50150E+001, 2.30000E-001, 2.50579E+001, 2.50109E+001
 3.20022E+001, 2.51071E+001, 2.53486E+001, 4.78203E+001, 2.62758E+001, 2.50333E+001, 2.50518E+001, 2.50276E+001, 1.49940E-002, 2.06851E-001, 8.64395E+001, 2.14849E-001, 4.05073E+001, 2.53887E+001, 1.70609E-001, 2.66810E+001, 2.50152E+001, 2.30000E-001, 2.50570E+001, 2.50108E+001
 3.30044E+001, 2.51090E+001, 2.52944E+001, 4.77333E+001, 2.62895E+001, 2.50334E+001, 2.50520E+001, 2.50249E+001, 1.49940E-002, 2.06851E-001, 8.88236E+001, 2.15490E-001, 4.07861E+001, 2.54004E+001, 1.70894E-001, 2.67177E+001, 2.50153E+001, 2.30000E-001, 2.52905E+001, 2.50108E+001
 3.40007E+001, 2.51106E+001, 2.52597E+001, 4.76874E+001, 2.63147E+001, 2.50336E+001, 2.50520E+001, 2.50198E+001, 1.49940E-002, 2.06851E-001, 9.10755E+001, 2.16123E-001, 4.10041E+001, 2.54113E+001, 1.71091E-001, 2.67557E+001, 2.50155E+001, 2.30000E-001, 2.57021E+001, 2.50108E+001
 3.50029E+001, 2.51120E+001, 2.52412E+001, 4.77606E+001, 2.63530E+001, 2.50339E+001, 2.50497E+001, 2.50963E+001, 1.49940E-002, 2.06851E-001, 9.32040E+001, 2.16627E-001, 4.11386E+001, 2.54215E+001, 1.71100E-001, 2.67878E+001, 2.50157E+001, 2.30000E-001, 2.56947E+001, 2.50108E+001
 3.60051E+001, 2.51131E+001, 2.52361E+001, 4.76448E+001, 2.63781E+001, 2.50345E+001, 2.50510E+001, 2.53800E+001, 1.49940E-002, 2.06851E-001, 9.51815E+001, 2.16941E-001, 4.11051E+001, 2.54311E+001, 1.70759E-001, 2.68082E+001, 2.50159E+001, 2.30000E-001, 2.56679E+001, 2.50110E+001
 3.70014E+001, 2.51140E+001, 2.52424E+001, 4.75315E+001, 2.63806E+001, 2.50354E+001, 2.51225E+001, 2.54576E+001, 1.49940E-002, 2.06850E-001, 9.70341E+001, 2.17189E-001, 4.09651E+001, 2.54403E+001, 1.69994E-001, 2.68140E+001, 2.50161E+001, 2.30000E-001, 2.56452E+001, 2.50113E+001
 3.80036E+001, 2.51148E+001, 2.52576E+001, 4.75384E+001, 2.63717E+001, 2.50362E+001, 2.53495E+001, 2.54298E+001, 1.49940E-002, 2.06850E-001, 9.88281E+001, 2.17347E-001, 4.08197E+001, 2.54491E+001, 1.68939E-001, 2.68092E+001, 2.50163E+001, 2.30000E-001, 2.56199E+001, 2.50117E+001
 3.90058E+001, 2.51155E+001, 2.52778E+001, 4.74267E+001, 2.63711E+001, 2.50361E+001, 2.54857E+001, 2.53826E+001, 1.49940E-002, 2.06849E-001, 1.00598E+002, 2.17547E-001, 4.07074E+001, 2.54576E+001, 1.67870E-001, 2.68062E+001, 2.50165E+001, 2.30000E-001, 2.56042E+001, 2.50121E+001
 4.00020E+001, 2.51162E+001, 2.52995E+001, 4.72784E+001, 2.63847E+001, 2.50347E+001, 2.54779E+001, 2.53725E+001, 1.49940E-002, 2.06848E-001, 1.02340E+002, 2.17830E-001, 4.06144E+001, 2.54659E+001, 1.66925E-001, 2.68121E+001, 2.50168E+001, 2.30000E-001, 2.56185E+001, 2.50128E+001
 4.10042E+001, 2.51168E+001, 2.53210E+001, 4.70429E+001, 2.64029E+001, 2.50334E+001, 2.54129E+001, 2.53852E+001, 1.49940E-002, 2.06847E-001, 1.04056E+002, 2.18081E-001, 4.04927E+001, 2.54739E+001, 1.65933E-001, 2.68177E+001, 2.50170E+001, 2.30000E-001, 2.56656E+001, 2.50128E+001
 4.20005E+001, 2.51173E+001, 2.53425E+001, 4.67775E+001, 2.64043E+001, 2.50324E+001, 2.53502E+001, 2.53956E+001, 1.49940E-002, 2.06845E-001, 1.05742E+002, 2.18246E-001, 4.03978E+001, 2.54817E+001, 1.64666E-001, 2.68124E+001, 2.50173E+001, 2.30000E-001, 2.57285E+001, 2.50114E+001
 4.30027E+001, 2.51177E+001, 2.53642E+001, 4.65068E+001, 2.63804E+001, 2.50313E+001, 2.53117E+001, 2.54055E+001, 1.49940E-002, 2.06842E-001, 1.07393E+002, 2.18289E-001, 4.03032E+001, 2.54894E+001, 1.62912E-001, 2.67911E+001, 2.50176E+001, 2.30000E-001, 2.57848E+001, 2.50100E+001
 4.40049E+001, 2.51181E+001, 2.53861E+001, 4.63269E+001, 2.63323E+001, 2.50300E+001, 2.52864E+001, 2.54271E+001, 1.49940E-002, 2.06836E-001, 1.09014E+002, 2.18262E-001, 4.02489E+001, 2.54969E+001, 1.60476E-001, 2.67616E+001, 2.50179E+001, 2.30000E-001, 2.58132E+001, 2.50093E+001
 4.50012E+001, 2.51185E+001, 2.54078E+001, 4.61969E+001, 2.62734E+001, 2.50286E+001, 2.52396E+001, 2.54631E+001, 1.49940E-002, 2.06825E-001, 1.10598E+002, 2.18246E-001, 4.01966E+001, 2.55044E+001, 1.57079E-001, 2.67311E+001, 2.50182E+001, 2.30000E-001, 2.58074E+001, 2.50091E+001
 4.60034E+001, 2.51188E+001, 2.54293E+001, 4.61277E+001, 2.62096E+001, 2.50272E+001, 2.51728E+001, 2.55086E+001, 1.49940E-002, 2.06803E-001, 1.12157E+002, 2.18280E-001, 4.01729E+001, 2.55117E+001, 1.52200E-001, 2.66967E+001, 2.50185E+001, 2.30000E-001, 2.57777E+001, 2.50092E+001
 4.70056E+001, 2.51192E+001, 2.54515E+001, 4.60127E+001, 2.61524E+001, 2.50260E+001, 2.51233E+001, 2.55527E+001, 1.49940E-002, 2.06763E-001, 1.13693E+002, 2.18285E-001, 4.01231E+001, 2.55191E+001, 1.45726E-001, 2.66540E+001, 2.50189E+001, 2.30000E-001, 2.57369E+001, 2.50095E+001
 4.80019E+001, 2.51197E+001, 2.54767E+001, 4.59774E+001, 2.61108E+001, 2.50250E+001, 2.50983E+001, 2.55745E+001, 1.49940E-002, 2.06710E-001, 1.15187E+002, 2.18225E-001, 4.00434E+001, 2.55266E+001, 1.39259E-001, 2.66068E+001, 2.50192E+001, 2.30000E-001, 2.56983E+001, 2.50099E+001
 4.90041E+001, 2.51203E+001, 2.55092E+001, 4.59385E+001, 2.60969E+001, 2.50241E+001, 2.50878E+001, 2.55570E+001, 1.49940E-002, 2.06669E-001, 1.16625E+002, 2.18060E-001, 3.99512E+001, 2.55342E+001, 1.35649E-001, 2.65648E+001, 2.50196E+001, 2.30000E-001, 2.56706E+001, 2.50102E+001
 5.00003E+001, 2.51212E+001, 2.55536E+001, 4.60528E+001, 2.61050E+001, 2.50234E+001, 2.50859E+001, 2.55068E+001, 1.49940E-002, 2.06659E-001, 1.17989E+002, 2.17835E-001, 3.98225E+001, 2.55422E+001, 1.36045E-001, 2.65370E+001, 2.50199E+001, 2.30000E-001, 2.56543E+001, 2.50104E+001
 5.10025E+001, 2.51227E+001, 2.56139E+001, 4.63084E+001, 2.61290E+001, 2.50228E+001, 2.50909E+001, 2.54432E+001, 1.49941E-002, 2.06672E-001, 1.19261E+002, 2.17435E-001, 3.96529E+001, 2.55509E+001, 1.38973E-001, 2.65447E+001, 2.50201E+001, 2.30000E-001, 2.56474E+001, 2.50102E+001
 5.20047E+001, 2.51248E+001, 2.56928E+001, 4.67568E+001, 2.61570E+001, 2.50223E+001, 2.51051E+001, 2.53781E+001, 1.49941E-002, 2.06686E-001, 1.20435E+002, 2.16798E-001, 3.94203E+001, 2.55604E+001, 1.41041E-001, 2.65805E+001, 2.50203E+001, 2.30000E-001, 2.56523E+001, 2.50098E+001
 5.30010E+001, 2.51277E+001, 2.57786E+001, 4.73139E+001, 2.61978E+001, 2.50219E+001, 2.51334E+001, 2.53323E+001, 1.49942E-002, 2.06685E-001, 1.21512E+002, 2.16105E-001, 3.93030E+001, 2.55705E+001, 1.40731E-001, 2.66287E+001, 2.50205E+001, 2.30000E-001, 2.56761E+001, 2.50093E+001
 5.40032E+001, 2.51314E+001, 2.58380E+001, 4.78097E+001, 2.62659E+001, 2.50215E+001, 2.51772E+001, 2.53073E+001, 1.49942E-002, 2.06658E-001, 1.22519E+002, 2.15672E-001, 3.96252E+001, 2.55810E+001, 1.38979E-001, 2.66601E+001, 2.50207E+001, 2.30000E-001, 2.57158E+001, 2.50089E+001
 5.50054E+001, 2.51359E+001, 2.58457E+001, 4.77687E+001, 2.63235E+001, 2.50212E+001, 2.52349E+001, 2.52872E+001, 1.49942E-002, 2.06604E-001, 1.23467E+002, 2.15846E-001, 3.99152E+001, 2.55914E+001, 1.37482E-001, 2.66632E+001, 2.50209E+001, 2.30000E-001, 2.57522E+001, 2.50085E+001
 5.60017E+001, 2.51408E+001, 2.58108E+001, 4.78008E+001, 2.63466E+001, 2.50209E+001, 2.53209E+001, 2.52786E+001, 1.49942E-002, 2.06530E-001, 1.24365E+002, 2.16093E-001, 4.02369E+001, 2.56009E+001, 1.37291E-001, 2.66610E+001, 2.50211E+001, 2.30000E-001, 2.57694E+001, 2.50082E+001
 5.70039E+001, 2.51457E+001, 2.57744E+001, 4.76185E+001, 2.63230E+001, 2.50206E+001, 2.54415E+001, 2.53089E+001, 1.49941E-002, 2.06449E-001, 1.25212E+002, 2.16314E-001, 4.02694E+001, 2.56089E+001, 1.37538E-001, 2.66446E+001, 2.50213E+001, 2.30000E-001, 2.57644E+001, 2.50079E+001
 5.80001E+001, 2.51500E+001, 2.57728E+001, 4.74415E+001, 2.63247E+001, 2.50203E+001, 2.55247E+001, 2.53733E+001, 1.49940E-002, 2.06375E-001, 1.25983E+002, 2.16207E-001, 4.01625E+001, 2.56155E+001, 1.39727E-001, 2.66831E+001, 2.50215E+001, 2.30000E-001, 2.57397E+001, 2.50077E+001
 5.90024E+001, 2.51538E+001, 2.57987E+001, 4.74750E+001, 2.63457E+001, 2.50199E+001, 2.55268E+001, 2.54446E+001, 1.49939E-002, 2.06312E-001, 1.26661E+002, 2.15952E-001, 3.99874E+001, 2.56205E+001, 1.40767E-001, 2.66942E+001, 2.50217E+001, 2.30000E-001, 2.57082E+001, 2.50076E+001
 6.00027E+001, 2.51571E+001, 2.58203E+001, 4.76621E+001, 2.63286E+001, 2.50193E+001, 2.54631E+001, 2.54886E+001, 1.49984E-002, 2.06255E-001, 1.27253E+002, 2.15722E-001, 3.97780E+001, 2.56243E+001, 1.41437E-001, 2.67008E+001, 2.50219E+001, 2.30000E-001, 2.56888E+001, 2.50074E+001
