s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 9.90273E-027, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.99270E-002
 1.00481E+000, 1.04642E-005, 0.00000E+000,-4.74425E-006, 3.14005E-012,-4.28861E-006,-4.18697E-024, 2.78546E-007, 0.00000E+000, 1.66544E-006, 1.70991E-006, 0.00000E+000, 2.73748E-010, 0.00000E+000,-2.65412E-002
 2.00962E+000, 7.65111E-005, 0.00000E+000,-1.51177E-005, 3.23317E-013,-2.25301E-005,-2.90173E-023, 1.55103E-005, 0.00000E+000, 5.35926E-005, 5.43735E-005, 0.00000E+000, 1.89799E-009, 0.00000E+000, 7.85928E-002
 3.00314E+000, 2.09393E-004, 0.00000E+000,-4.65685E-005,-2.38850E-012,-5.89552E-005,-7.81167E-023, 4.16270E-005, 0.00000E+000, 1.44057E-004, 1.45496E-004, 0.00000E+000, 5.11318E-009, 0.00000E+000, 3.58049E-001
 4.00796E+000, 4.09449E-004, 0.00000E+000,-9.40629E-005,-4.85297E-012,-9.69258E-005,-1.51595E-022, 8.76617E-005, 0.00000E+000, 3.04145E-004, 3.06122E-004, 0.00000E+000, 9.92844E-009, 0.00000E+000, 9.54270E-001
 5.00148E+000, 6.76498E-004, 0.00000E+000,-1.58655E-004,-4.32609E-011,-1.51134E-004,-2.49245E-022, 1.47258E-004, 0.00000E+000, 5.11364E-004, 5.13967E-004, 0.00000E+000, 1.63378E-008, 0.00000E+000, 1.94523E+000
 6.00629E+000, 1.01073E-003, 0.00000E+000,-2.45685E-004,-2.49299E-009,-2.50259E-004,-3.71110E-022, 2.07311E-004, 0.00000E+000, 7.20749E-004, 7.22097E-004, 0.00000E+000, 2.43472E-008, 0.00000E+000, 3.35862E+000
 7.01110E+000, 1.41443E-003, 0.00000E+000,-3.40466E-004,-1.24816E-008,-5.19138E-004,-5.17912E-022, 2.24487E-004, 0.00000E+000, 7.78358E-004, 7.79304E-004, 0.00000E+000, 3.40109E-008, 0.00000E+000, 4.88973E+000
 8.00462E+000, 1.88312E-003, 0.00000E+000,-4.64946E-004,-2.22513E-008,-8.03604E-004,-6.87914E-022, 2.49542E-004, 0.00000E+000, 8.62678E-004, 8.64089E-004, 0.00000E+000, 4.52205E-008, 0.00000E+000, 6.57222E+000
 9.00943E+000, 2.41899E-003, 0.00000E+000,-5.92930E-004,-3.95920E-008,-1.11003E-003,-8.81865E-022, 2.91418E-004, 0.00000E+000, 1.00575E-003, 1.00740E-003, 0.00000E+000, 5.80301E-008, 0.00000E+000, 8.55931E+000
 1.00097E+001, 3.02549E-003, 0.00000E+000,-7.42378E-004,-5.71819E-008,-1.46094E-003,-1.10031E-021, 3.35291E-004, 0.00000E+000, 1.15506E-003, 1.15740E-003, 0.00000E+000, 7.24856E-008, 0.00000E+000, 1.08347E+001
 1.10047E+001, 3.69334E-003, 0.00000E+000,-8.88749E-004,-6.50621E-008,-1.85946E-003,-1.34117E-021, 3.86263E-004, 0.00000E+000, 1.32976E-003, 1.33132E-003, 0.00000E+000, 8.84572E-008, 0.00000E+000, 1.34433E+001
 1.20011E+001, 4.42949E-003, 0.00000E+000,-1.03255E-003,-7.85157E-008,-2.31865E-003,-1.60499E-021, 4.41283E-004, 0.00000E+000, 1.51748E-003, 1.51948E-003, 0.00000E+000, 1.05987E-007, 0.00000E+000, 1.64275E+001
 1.30014E+001, 5.23302E-003, 0.00000E+000,-1.19511E-003,-8.54802E-008,-2.84225E-003,-1.89288E-021, 4.90444E-004, 0.00000E+000, 1.68470E-003, 1.68602E-003, 0.00000E+000, 1.25158E-007, 0.00000E+000, 1.97582E+001
 1.40032E+001, 6.10327E-003, 0.00000E+000,-1.43043E-003,-8.81708E-008,-3.40610E-003,-2.20486E-021, 5.21340E-004, 0.00000E+000, 1.78684E-003, 1.78800E-003, 0.00000E+000, 1.45981E-007, 0.00000E+000, 2.33040E+001
 1.50040E+001, 7.04805E-003, 0.00000E+000,-1.68710E-003,-9.31633E-008,-3.98438E-003,-2.54009E-021, 5.67819E-004, 0.00000E+000, 1.94310E-003, 1.94430E-003, 0.00000E+000, 1.68411E-007, 0.00000E+000, 2.71621E+001
 1.60015E+001, 8.05135E-003, 0.00000E+000,-1.96107E-003,-1.06113E-007,-4.60626E-003,-2.89755E-021, 6.13425E-004, 0.00000E+000, 2.09607E-003, 2.09735E-003, 0.00000E+000, 1.92394E-007, 0.00000E+000, 3.13164E+001
 1.70055E+001, 9.13047E-003, 0.00000E+000,-2.25064E-003,-1.17812E-007,-5.26873E-003,-3.27855E-021, 6.67617E-004, 0.00000E+000, 2.27839E-003, 2.27861E-003, 0.00000E+000, 2.18019E-007, 0.00000E+000, 3.58672E+001
 1.80027E+001, 1.02686E-002, 0.00000E+000,-2.55501E-003,-1.16501E-007,-5.98477E-003,-3.68205E-021, 7.17238E-004, 0.00000E+000, 2.44461E-003, 2.44591E-003, 0.00000E+000, 2.45233E-007, 0.00000E+000, 4.07230E+001
 1.90064E+001, 1.14780E-002, 0.00000E+000,-2.87091E-003,-7.98948E-008,-6.73202E-003,-4.10820E-021, 7.79189E-004, 0.00000E+000, 2.65331E-003, 2.65415E-003, 0.00000E+000, 2.74055E-007, 0.00000E+000, 4.60329E+001
 2.00053E+001, 1.27599E-002, 0.00000E+000,-3.19290E-003,-6.95602E-008,-7.53747E-003,-4.55692E-021, 8.44248E-004, 0.00000E+000, 2.87284E-003, 2.87373E-003, 0.00000E+000, 3.04494E-007, 0.00000E+000, 5.17586E+001
 2.10041E+001, 1.40986E-002, 0.00000E+000,-3.53304E-003,-5.99723E-008,-8.37971E-003,-5.02682E-021, 9.10118E-004, 0.00000E+000, 3.09444E-003, 3.09593E-003, 0.00000E+000, 3.36463E-007, 0.00000E+000, 5.79307E+001
 2.20029E+001, 1.55081E-002, 0.00000E+000,-3.88849E-003,-6.41789E-008,-9.24338E-003,-5.51864E-021, 9.90339E-004, 0.00000E+000, 3.36588E-003, 3.36650E-003, 0.00000E+000, 3.70029E-007, 0.00000E+000, 6.46466E+001
 2.30040E+001, 1.69911E-002, 0.00000E+000,-4.26188E-003,-9.00276E-008,-1.01722E-002,-6.03245E-021, 1.06619E-003, 0.00000E+000, 3.62228E-003, 3.62312E-003, 0.00000E+000, 4.05221E-007, 0.00000E+000, 7.18937E+001
 2.40050E+001, 1.85331E-002, 0.00000E+000,-4.65340E-003,-8.82064E-008,-1.11919E-002,-6.56855E-021, 1.12261E-003, 0.00000E+000, 3.80934E-003, 3.81030E-003, 0.00000E+000, 4.42062E-007, 0.00000E+000, 7.95241E+001
 2.50006E+001, 2.01436E-002, 0.00000E+000,-5.06206E-003,-1.00708E-007,-1.22546E-002,-7.12449E-021, 1.18279E-003, 0.00000E+000, 4.00908E-003, 4.00961E-003, 0.00000E+000, 4.80400E-007, 0.00000E+000, 8.75205E+001
 2.60016E+001, 2.09966E-002, 0.00000E+000,-5.27368E-003,-5.55696E-008,-1.32622E-002,-7.40657E-021, 1.04350E-003, 0.00000E+000, 3.51139E-003, 3.50417E-003, 0.00000E+000, 4.99917E-007, 0.00000E+000, 9.46197E+001
 2.70026E+001, 2.09964E-002, 0.00000E+000,-5.27578E-003,-1.71819E-008,-1.37960E-002,-7.40658E-021, 8.30456E-004, 0.00000E+000, 2.75951E-003, 2.75510E-003, 0.00000E+000, 4.99917E-007, 0.00000E+000, 1.00268E+002
 2.80036E+001, 2.09965E-002, 0.00000E+000,-5.28282E-003,-1.16169E-008,-1.40591E-002,-7.40659E-021, 7.23197E-004, 0.00000E+000, 2.38143E-003, 2.37777E-003, 0.00000E+000, 4.99917E-007, 0.00000E+000, 1.05186E+002
 2.90028E+001, 2.10027E-002, 0.00000E+000,-5.28708E-003,-2.30682E-008,-1.42469E-002,-7.40654E-021, 6.49142E-004, 0.00000E+000, 2.12065E-003, 2.11780E-003, 0.00000E+000, 4.99917E-007, 0.00000E+000, 1.09592E+002
 3.00048E+001, 2.09964E-002, 0.00000E+000,-5.29215E-003,-1.16347E-008,-1.43959E-002,-7.40633E-021, 5.84884E-004, 0.00000E+000, 1.89434E-003, 1.89322E-003, 0.00000E+000, 4.99917E-007, 0.00000E+000, 1.13573E+002
