s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-2.50161E-005, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001
 1.00481E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 8.96841E-006, 2.06860E-001,-9.74817E-003, 2.30000E-001, 2.03597E+001, 2.50001E+001, 2.30000E-001, 1.25611E+001, 2.50000E+001, 2.30000E-001, 2.07756E+001, 2.50000E+001
 2.00962E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 6.55741E-005, 2.06860E-001, 4.02148E-002, 2.30000E-001, 2.50000E+001, 2.50064E+001, 2.30000E-001, 1.74778E+001, 2.50000E+001, 2.30000E-001, 2.43173E+001, 2.50000E+001
 3.00315E+000, 2.50002E+001, 2.50002E+001, 2.50001E+001, 2.50001E+001, 2.50002E+001, 2.50002E+001, 2.50001E+001, 1.79462E-004, 2.06860E-001, 2.06149E-001, 2.30000E-001, 2.50002E+001, 2.50227E+001, 2.30000E-001, 2.50002E+001, 2.50001E+001, 2.30000E-001, 2.50002E+001, 2.50001E+001
 4.00796E+000, 2.50015E+001, 2.50005E+001, 2.50003E+001, 2.50003E+001, 2.50005E+001, 2.50005E+001, 2.50004E+001, 3.50924E-004, 2.06860E-001, 5.96648E-001, 2.30000E-001, 2.50005E+001, 2.50234E+001, 2.30000E-001, 2.50005E+001, 2.50002E+001, 2.30000E-001, 2.50005E+001, 2.50002E+001
 5.00148E+000, 2.50183E+001, 2.50011E+001, 2.50007E+001, 2.50005E+001, 2.50010E+001, 2.50011E+001, 2.50010E+001, 5.79797E-004, 2.06860E-001, 1.31632E+000, 2.30000E-001, 2.50007E+001, 2.50241E+001, 2.30000E-001, 2.50011E+001, 2.50005E+001, 2.30000E-001, 2.50011E+001, 2.50005E+001
 6.00629E+000, 2.50244E+001, 2.50156E+001, 2.52732E+001, 2.50009E+001, 2.50019E+001, 2.50020E+001, 2.50018E+001, 8.66266E-004, 2.06860E-001, 2.45052E+000, 2.30000E-001, 2.51544E+001, 2.50299E+001, 2.30000E-001, 2.50020E+001, 2.50009E+001, 2.30000E-001, 2.50020E+001, 2.50009E+001
 7.01110E+000, 2.50243E+001, 2.50461E+001, 2.66018E+001, 2.50012E+001, 2.50029E+001, 2.50031E+001, 2.50026E+001, 1.21227E-003, 2.06860E-001, 3.82553E+000, 2.30000E-001, 2.55524E+001, 2.50358E+001, 2.30000E-001, 2.50031E+001, 2.50012E+001, 2.30000E-001, 2.50031E+001, 2.50012E+001
 8.00462E+000, 2.50245E+001, 2.50559E+001, 2.73393E+001, 2.50016E+001, 2.50039E+001, 2.50043E+001, 2.50035E+001, 1.61390E-003, 2.06860E-001, 5.31127E+000, 2.28612E-001, 2.58692E+001, 2.50352E+001, 2.30000E-001, 2.50043E+001, 2.50016E+001, 2.30000E-001, 2.50043E+001, 2.50015E+001
 9.00944E+000, 2.50251E+001, 2.50582E+001, 2.80931E+001, 2.50020E+001, 2.50049E+001, 2.50056E+001, 2.50045E+001, 2.07321E-003, 2.06860E-001, 7.00526E+000, 2.08110E-001, 2.62913E+001, 2.50389E+001, 2.30000E-001, 2.50056E+001, 2.50020E+001, 2.30000E-001, 2.50056E+001, 2.50019E+001
 1.00030E+001, 2.50260E+001, 2.50587E+001, 2.88179E+001, 2.50024E+001, 2.50061E+001, 2.50070E+001, 2.50056E+001, 2.58986E-003, 2.06860E-001, 8.94191E+000, 2.11887E-001, 2.68149E+001, 2.50475E+001, 2.30000E-001, 2.50072E+001, 2.50024E+001, 2.30000E-001, 2.50071E+001, 2.50023E+001
 1.10047E+001, 2.50275E+001, 2.50588E+001, 2.95854E+001, 2.50029E+001, 2.50073E+001, 2.50087E+001, 2.50068E+001, 3.16493E-003, 2.06860E-001, 1.11589E+001, 2.14604E-001, 2.74493E+001, 2.50565E+001, 2.30000E-001, 2.50089E+001, 2.50029E+001, 2.30000E-001, 2.50088E+001, 2.50027E+001
 1.20071E+001, 2.50294E+001, 2.50584E+001, 3.03917E+001, 2.50034E+001, 2.50088E+001, 2.50105E+001, 2.50081E+001, 3.79855E-003, 2.06860E-001, 1.36679E+001, 2.16688E-001, 2.81658E+001, 2.50662E+001, 2.30000E-001, 2.50109E+001, 2.50034E+001, 2.30000E-001, 2.50107E+001, 2.50032E+001
 1.30019E+001, 2.50316E+001, 2.50575E+001, 3.12026E+001, 2.50039E+001, 2.50103E+001, 2.50125E+001, 2.50095E+001, 4.48504E-003, 2.06860E-001, 1.64440E+001, 2.18370E-001, 2.89808E+001, 2.50769E+001, 2.30000E-001, 2.50131E+001, 2.50040E+001, 2.30000E-001, 2.50128E+001, 2.50037E+001
 1.40063E+001, 2.50342E+001, 2.50561E+001, 3.20677E+001, 2.50045E+001, 2.50119E+001, 2.50147E+001, 2.50110E+001, 5.23451E-003, 2.06860E-001, 1.95202E+001, 2.19806E-001, 2.99853E+001, 2.50889E+001, 2.30000E-001, 2.50155E+001, 2.50046E+001, 2.30000E-001, 2.50151E+001, 2.50043E+001
 1.50078E+001, 2.50371E+001, 2.50544E+001, 3.29648E+001, 2.50052E+001, 2.50136E+001, 2.50171E+001, 2.50127E+001, 6.03975E-003, 2.06860E-001, 2.29095E+001, 2.21018E-001, 3.10493E+001, 2.51017E+001, 2.30000E-001, 2.50182E+001, 2.50053E+001, 2.30000E-001, 2.50177E+001, 2.50049E+001
 1.60019E+001, 2.50404E+001, 2.50527E+001, 3.38261E+001, 2.50058E+001, 2.50154E+001, 2.50196E+001, 2.50145E+001, 6.90445E-003, 2.06860E-001, 2.65990E+001, 2.21973E-001, 3.21251E+001, 2.51153E+001, 2.30000E-001, 2.50210E+001, 2.50061E+001, 2.30000E-001, 2.50204E+001, 2.50055E+001
 1.70066E+001, 2.50440E+001, 2.50514E+001, 3.47742E+001, 2.50064E+001, 2.50174E+001, 2.50224E+001, 2.50163E+001, 7.82205E-003, 2.06860E-001, 3.06015E+001, 2.22704E-001, 3.33669E+001, 2.51296E+001, 2.30000E-001, 2.50240E+001, 2.50069E+001, 2.30000E-001, 2.50234E+001, 2.50062E+001
 1.80059E+001, 2.50481E+001, 2.50506E+001, 3.58682E+001, 2.50077E+001, 2.50194E+001, 2.50253E+001, 2.50183E+001, 8.80606E-003, 2.06860E-001, 3.49551E+001, 2.23114E-001, 3.46522E+001, 2.51441E+001, 2.30000E-001, 2.50295E+001, 2.50078E+001, 2.30000E-001, 2.50265E+001, 2.50069E+001
 1.90029E+001, 2.50526E+001, 2.50510E+001, 3.69141E+001, 2.50233E+001, 2.50216E+001, 2.50284E+001, 2.50203E+001, 9.83658E-003, 2.06860E-001, 3.96144E+001, 2.23042E-001, 3.55222E+001, 2.51596E+001, 2.30000E-001, 2.51142E+001, 2.50087E+001, 2.30000E-001, 2.50299E+001, 2.50076E+001
 2.00044E+001, 2.50576E+001, 2.50541E+001, 3.88010E+001, 2.50651E+001, 2.50238E+001, 2.50317E+001, 2.50224E+001, 1.09331E-002, 2.06860E-001, 4.46375E+001, 2.22059E-001, 3.70402E+001, 2.51773E+001, 2.30000E-001, 2.53316E+001, 2.50098E+001, 2.30000E-001, 2.50336E+001, 2.50084E+001
 2.10014E+001, 2.50632E+001, 2.50682E+001, 4.06133E+001, 2.51253E+001, 2.50263E+001, 2.50353E+001, 2.50247E+001, 1.20794E-002, 2.06860E-001, 5.00549E+001, 2.20401E-001, 3.78591E+001, 2.51954E+001, 2.30000E-001, 2.54640E+001, 2.50109E+001, 2.30000E-001, 2.50375E+001, 2.50092E+001
 2.20043E+001, 2.50693E+001, 2.51541E+001, 4.37713E+001, 2.52594E+001, 2.50288E+001, 2.50391E+001, 2.50271E+001, 1.32888E-002, 2.06860E-001, 5.58797E+001, 2.18220E-001, 3.85452E+001, 2.52144E+001, 2.30000E-001, 2.56937E+001, 2.50120E+001, 2.30000E-001, 2.50416E+001, 2.50101E+001
 2.30013E+001, 2.50760E+001, 2.53585E+001, 4.74080E+001, 2.56214E+001, 2.50316E+001, 2.50431E+001, 2.50296E+001, 1.45558E-002, 2.06860E-001, 6.21872E+001, 2.16545E-001, 3.91119E+001, 2.52349E+001, 2.04176E-001, 2.59863E+001, 2.50133E+001, 2.30000E-001, 2.50461E+001, 2.50110E+001
 2.40050E+001, 2.50833E+001, 2.55402E+001, 4.84871E+001, 2.59263E+001, 2.50345E+001, 2.50475E+001, 2.50322E+001, 1.58856E-002, 2.06858E-001, 6.90048E+001, 2.15051E-001, 4.02826E+001, 2.52566E+001, 1.64948E-001, 2.61145E+001, 2.50146E+001, 2.30000E-001, 2.50510E+001, 2.50121E+001
 2.50013E+001, 2.50909E+001, 2.56309E+001, 5.02054E+001, 2.60010E+001, 2.50375E+001, 2.50520E+001, 2.50347E+001, 1.72628E-002, 2.06856E-001, 7.61576E+001, 2.14281E-001, 4.12084E+001, 2.52797E+001, 1.67147E-001, 2.63140E+001, 2.50159E+001, 2.30000E-001, 2.50560E+001, 2.50131E+001
 2.60030E+001, 2.50984E+001, 2.56561E+001, 5.18740E+001, 2.62116E+001, 2.50403E+001, 2.50564E+001, 2.50368E+001, 1.79951E-002, 2.06854E-001, 8.32476E+001, 2.13684E-001, 4.19033E+001, 2.53019E+001, 1.68686E-001, 2.65287E+001, 2.50170E+001, 2.30000E-001, 2.50609E+001, 2.50138E+001
 2.70047E+001, 2.51042E+001, 2.56361E+001, 5.23997E+001, 2.64151E+001, 2.50417E+001, 2.50593E+001, 2.50374E+001, 1.79952E-002, 2.06853E-001, 8.89621E+001, 2.12703E-001, 4.17603E+001, 2.53190E+001, 1.69820E-001, 2.66809E+001, 2.50174E+001, 2.30000E-001, 2.50646E+001, 2.50139E+001
 2.80010E+001, 2.51088E+001, 2.55667E+001, 5.24863E+001, 2.66037E+001, 2.50422E+001, 2.50613E+001, 2.50370E+001, 1.79952E-002, 2.06853E-001, 9.37276E+001, 2.11803E-001, 4.18527E+001, 2.53343E+001, 1.71033E-001, 2.68215E+001, 2.50176E+001, 2.30000E-001, 2.50673E+001, 2.50139E+001
 2.90027E+001, 2.51127E+001, 2.54674E+001, 5.24411E+001, 2.67040E+001, 2.50424E+001, 2.50627E+001, 2.50360E+001, 1.79953E-002, 2.06852E-001, 9.79094E+001, 2.12046E-001, 4.22260E+001, 2.53489E+001, 1.72116E-001, 2.69570E+001, 2.50177E+001, 2.30000E-001, 2.50691E+001, 2.50138E+001
 3.00044E+001, 2.51161E+001, 2.53758E+001, 5.23556E+001, 2.67585E+001, 2.50426E+001, 2.50637E+001, 2.50342E+001, 1.79953E-002, 2.06852E-001, 1.01674E+002, 2.12562E-001, 4.26273E+001, 2.53629E+001, 1.72812E-001, 2.70684E+001, 2.50179E+001, 2.30000E-001, 2.50691E+001, 2.50138E+001
 3.10007E+001, 2.51189E+001, 2.53084E+001, 5.22374E+001, 2.68278E+001, 2.50427E+001, 2.50643E+001, 2.50308E+001, 1.79953E-002, 2.06852E-001, 1.05117E+002, 2.13334E-001, 4.31677E+001, 2.53760E+001, 1.73292E-001, 2.71848E+001, 2.50181E+001, 2.30000E-001, 2.53846E+001, 2.50137E+001
 3.20024E+001, 2.51214E+001, 2.52658E+001, 5.21640E+001, 2.68929E+001, 2.50431E+001, 2.50645E+001, 2.50245E+001, 1.79953E-002, 2.06852E-001, 1.08326E+002, 2.14023E-001, 4.36458E+001, 2.53880E+001, 1.73430E-001, 2.72831E+001, 2.50183E+001, 2.30000E-001, 2.57785E+001, 2.50137E+001
 3.30041E+001, 2.51235E+001, 2.52438E+001, 5.21181E+001, 2.69431E+001, 2.50435E+001, 2.50609E+001, 2.51765E+001, 1.79953E-002, 2.06852E-001, 1.11325E+002, 2.14441E-001, 4.39250E+001, 2.53992E+001, 1.73211E-001, 2.73391E+001, 2.50185E+001, 2.30000E-001, 2.57566E+001, 2.50137E+001
 3.40004E+001, 2.51252E+001, 2.52377E+001, 5.19999E+001, 2.69561E+001, 2.50442E+001, 2.50694E+001, 2.54181E+001, 1.79952E-002, 2.06852E-001, 1.14074E+002, 2.14571E-001, 4.38026E+001, 2.54095E+001, 1.72689E-001, 2.73493E+001, 2.50187E+001, 2.30000E-001, 2.57386E+001, 2.50138E+001
 3.50021E+001, 2.51266E+001, 2.52433E+001, 5.19240E+001, 2.69351E+001, 2.50450E+001, 2.52033E+001, 2.53477E+001, 1.79952E-002, 2.06852E-001, 1.16665E+002, 2.14711E-001, 4.35706E+001, 2.54193E+001, 1.71969E-001, 2.73369E+001, 2.50189E+001, 2.30000E-001, 2.57380E+001, 2.50141E+001
 3.60038E+001, 2.51279E+001, 2.52568E+001, 5.18865E+001, 2.69026E+001, 2.50456E+001, 2.55602E+001, 2.53262E+001, 1.79952E-002, 2.06852E-001, 1.19185E+002, 2.14894E-001, 4.34590E+001, 2.54285E+001, 1.71115E-001, 2.73201E+001, 2.50192E+001, 2.30000E-001, 2.57511E+001, 2.50143E+001
 3.70001E+001, 2.51290E+001, 2.52743E+001, 5.17937E+001, 2.68824E+001, 2.50453E+001, 2.57809E+001, 2.53872E+001, 1.79952E-002, 2.06851E-001, 1.21652E+002, 2.15092E-001, 4.33847E+001, 2.54374E+001, 1.70182E-001, 2.73192E+001, 2.50195E+001, 2.30000E-001, 2.58001E+001, 2.50144E+001
 3.80018E+001, 2.51301E+001, 2.52943E+001, 5.16221E+001, 2.68769E+001, 2.50443E+001, 2.58098E+001, 2.54372E+001, 1.79952E-002, 2.06850E-001, 1.24075E+002, 2.15325E-001, 4.32448E+001, 2.54461E+001, 1.69088E-001, 2.73259E+001, 2.50198E+001, 2.30000E-001, 2.59110E+001, 2.50147E+001
 3.90035E+001, 2.51310E+001, 2.53163E+001, 5.14129E+001, 2.68634E+001, 2.50434E+001, 2.58020E+001, 2.54671E+001, 1.79952E-002, 2.06849E-001, 1.26451E+002, 2.15441E-001, 4.30355E+001, 2.54546E+001, 1.67658E-001, 2.73186E+001, 2.50201E+001, 1.04231E-001, 2.60392E+001, 2.50140E+001
 4.00052E+001, 2.51318E+001, 2.53385E+001, 5.13123E+001, 2.68288E+001, 2.50421E+001, 2.57289E+001, 2.54996E+001, 1.79953E-002, 2.06846E-001, 1.28761E+002, 2.15548E-001, 4.28601E+001, 2.54630E+001, 1.65732E-001, 2.72878E+001, 2.50204E+001, 6.59493E-002, 2.61065E+001, 2.50126E+001
 4.10015E+001, 2.51325E+001, 2.53592E+001, 5.12540E+001, 2.67809E+001, 2.50397E+001, 2.55074E+001, 2.55627E+001, 1.79953E-002, 2.06841E-001, 1.30993E+002, 2.15699E-001, 4.27855E+001, 2.54711E+001, 1.63187E-001, 2.72457E+001, 2.50208E+001, 7.33294E-002, 2.61140E+001, 2.50115E+001
 4.20032E+001, 2.51331E+001, 2.53791E+001, 5.12197E+001, 2.67443E+001, 2.50369E+001, 2.52645E+001, 2.56561E+001, 1.79953E-002, 2.06831E-001, 1.33146E+002, 2.15877E-001, 4.27756E+001, 2.54791E+001, 1.59703E-001, 2.72145E+001, 2.50211E+001, 8.29707E-002, 2.60871E+001, 2.50110E+001
 4.30049E+001, 2.51336E+001, 2.54000E+001, 5.12918E+001, 2.67285E+001, 2.50345E+001, 2.51613E+001, 2.57280E+001, 1.79953E-002, 2.06808E-001, 1.35230E+002, 2.16029E-001, 4.27803E+001, 2.54871E+001, 1.54499E-001, 2.71822E+001, 2.50215E+001, 9.28338E-002, 2.60408E+001, 2.50111E+001
 4.40012E+001, 2.51342E+001, 2.54242E+001, 5.12479E+001, 2.67161E+001, 2.50328E+001, 2.51252E+001, 2.57335E+001, 1.79953E-002, 2.06763E-001, 1.37238E+002, 2.16117E-001, 4.27490E+001, 2.54953E+001, 1.47547E-001, 2.71302E+001, 2.50219E+001, 2.20733E-001, 2.59911E+001, 2.50119E+001
 4.50029E+001, 2.51348E+001, 2.54564E+001, 5.12403E+001, 2.67099E+001, 2.50316E+001, 2.51134E+001, 2.56725E+001, 1.79954E-002, 2.06706E-001, 1.39174E+002, 2.16071E-001, 4.26414E+001, 2.55037E+001, 1.41448E-001, 2.70608E+001, 2.50223E+001, 2.30000E-001, 2.59517E+001, 2.50130E+001
 4.60045E+001, 2.51358E+001, 2.55033E+001, 5.11407E+001, 2.67092E+001, 2.50307E+001, 2.51150E+001, 2.55759E+001, 1.79954E-002, 2.06668E-001, 1.41033E+002, 2.15839E-001, 4.25284E+001, 2.55127E+001, 1.39404E-001, 2.69971E+001, 2.50227E+001, 2.30000E-001, 2.59235E+001, 2.50136E+001
 4.70009E+001, 2.51373E+001, 2.55762E+001, 5.11980E+001, 2.67063E+001, 2.50300E+001, 2.51283E+001, 2.54740E+001, 1.79954E-002, 2.06665E-001, 1.42788E+002, 2.15395E-001, 4.23922E+001, 2.55225E+001, 1.41165E-001, 2.69778E+001, 2.50230E+001, 2.30000E-001, 2.58978E+001, 2.50134E+001
 4.80026E+001, 2.51395E+001, 2.56912E+001, 5.15382E+001, 2.67014E+001, 2.50294E+001, 2.51602E+001, 2.54031E+001, 1.79954E-002, 2.06677E-001, 1.44420E+002, 2.14695E-001, 4.21245E+001, 2.55334E+001, 1.43484E-001, 2.70210E+001, 2.50232E+001, 2.30000E-001, 2.58727E+001, 2.50125E+001
 4.90042E+001, 2.51426E+001, 2.58398E+001, 5.20386E+001, 2.67228E+001, 2.50287E+001, 2.52209E+001, 2.53742E+001, 1.79954E-002, 2.06683E-001, 1.45929E+002, 2.13876E-001, 4.17901E+001, 2.55449E+001, 1.44059E-001, 2.71109E+001, 2.50235E+001, 2.30000E-001, 2.58626E+001, 2.50117E+001
 5.00006E+001, 2.51466E+001, 2.59551E+001, 5.25528E+001, 2.68006E+001, 2.50281E+001, 2.53206E+001, 2.53272E+001, 1.79953E-002, 2.06676E-001, 1.47335E+002, 2.13635E-001, 4.20136E+001, 2.55566E+001, 1.42851E-001, 2.71735E+001, 2.50237E+001, 2.30000E-001, 2.58990E+001, 2.50111E+001
 5.10023E+001, 2.51511E+001, 2.59727E+001, 5.33073E+001, 2.68962E+001, 2.50275E+001, 2.55070E+001, 2.53127E+001, 1.79954E-002, 2.06647E-001, 1.48626E+002, 2.14015E-001, 4.24851E+001, 2.55671E+001, 1.41877E-001, 2.71928E+001, 2.50239E+001, 2.30000E-001, 2.59614E+001, 2.50105E+001
 5.20039E+001, 2.51558E+001, 2.59195E+001, 5.38965E+001, 2.69595E+001, 2.50269E+001, 2.57020E+001, 2.53391E+001, 1.79954E-002, 2.06590E-001, 1.49860E+002, 2.14601E-001, 4.28451E+001, 2.55763E+001, 1.41707E-001, 2.71821E+001, 2.50241E+001, 2.30000E-001, 2.60029E+001, 2.50100E+001
 5.30003E+001, 2.51601E+001, 2.58863E+001, 5.41735E+001, 2.70766E+001, 2.50265E+001, 2.58064E+001, 2.53865E+001, 1.79953E-002, 2.06510E-001, 1.50980E+002, 2.14489E-001, 4.28760E+001, 2.55837E+001, 1.43094E-001, 2.72125E+001, 2.50243E+001, 2.30000E-001, 2.59954E+001, 2.50096E+001
 5.40020E+001, 2.51637E+001, 2.59089E+001, 5.45120E+001, 2.71494E+001, 2.50261E+001, 2.57944E+001, 2.54322E+001, 1.79952E-002, 2.06419E-001, 1.51997E+002, 2.13708E-001, 4.26796E+001, 2.55897E+001, 1.44160E-001, 2.72256E+001, 2.50245E+001, 2.30000E-001, 2.59402E+001, 2.50092E+001
 5.50036E+001, 2.51668E+001, 2.59470E+001, 5.43714E+001, 2.72427E+001, 2.50255E+001, 2.56616E+001, 2.54531E+001, 1.79952E-002, 2.06326E-001, 1.52904E+002, 2.13064E-001, 4.19432E+001, 2.55946E+001, 1.45309E-001, 2.72590E+001, 2.50247E+001, 2.30000E-001, 2.58795E+001, 2.50090E+001
 5.60053E+001, 2.51693E+001, 2.59561E+001, 5.42101E+001, 2.73916E+001, 2.50247E+001, 2.55224E+001, 2.54588E+001, 1.79952E-002, 2.06235E-001, 1.53739E+002, 2.12818E-001, 4.16442E+001, 2.55988E+001, 1.46057E-001, 2.72959E+001, 2.50249E+001, 2.30000E-001, 2.58555E+001, 2.50088E+001
 5.70017E+001, 2.51715E+001, 2.59352E+001, 5.38121E+001, 2.73545E+001, 2.50236E+001, 2.53710E+001, 2.54881E+001, 1.79953E-002, 2.06154E-001, 1.54522E+002, 2.13246E-001, 4.14346E+001, 2.56021E+001, 1.45912E-001, 2.73065E+001, 2.50252E+001, 2.30000E-001, 2.58758E+001, 2.50088E+001
 5.80033E+001, 2.51734E+001, 2.59082E+001, 5.34355E+001, 2.72798E+001, 2.50225E+001, 2.52488E+001, 2.55709E+001, 1.79952E-002, 2.06092E-001, 1.55332E+002, 2.13565E-001, 4.15795E+001, 2.56043E+001, 1.45050E-001, 2.73108E+001, 2.50255E+001, 2.30000E-001, 2.59365E+001, 2.50088E+001
 5.90050E+001, 2.51753E+001, 2.58901E+001, 5.26092E+001, 2.72043E+001, 2.50217E+001, 2.51842E+001, 2.56422E+001, 1.79951E-002, 2.06049E-001, 1.56143E+002, 2.13508E-001, 4.16939E+001, 2.56055E+001, 1.44261E-001, 2.73184E+001, 2.50258E+001, 1.36176E-001, 2.60374E+001, 2.50088E+001
 6.00014E+001, 2.51773E+001, 2.58840E+001, 5.16914E+001, 2.71249E+001, 2.50212E+001, 2.51396E+001, 2.56020E+001, 1.79950E-002, 2.06019E-001, 1.56938E+002, 2.13125E-001, 4.15469E+001, 2.56059E+001, 1.43197E-001, 2.72963E+001, 2.50262E+001, 1.06496E-001, 2.61366E+001, 2.50089E+001
