s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 9.90273E-027, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.99270E-002
 1.00481E+000, 8.96841E-006, 0.00000E+000,-4.53339E-006, 3.18472E-012,-3.93472E-006,-3.58853E-024,-9.45989E-008, 0.00000E+000, 3.61904E-007, 4.05695E-007, 0.00000E+000, 2.34618E-010, 0.00000E+000,-2.90928E-002
 2.00962E+000, 6.55741E-005, 0.00000E+000,-9.62076E-006, 3.78815E-013,-2.07579E-005,-2.48713E-023, 1.40408E-005, 0.00000E+000, 4.85672E-005, 4.92363E-005, 0.00000E+000, 1.62669E-009, 0.00000E+000, 6.61277E-002
 3.00314E+000, 1.79462E-004, 0.00000E+000,-3.12111E-005,-2.05926E-012,-5.42772E-005,-6.69601E-023, 3.76394E-005, 0.00000E+000, 1.30357E-004, 1.31613E-004, 0.00000E+000, 4.38230E-009, 0.00000E+000, 3.18864E-001
 4.00796E+000, 3.50924E-004, 0.00000E+000,-6.28999E-005,-2.80061E-012,-8.81193E-005,-1.29953E-022, 8.01327E-005, 0.00000E+000, 2.78137E-004, 2.80038E-004, 0.00000E+000, 8.50927E-009, 0.00000E+000, 8.63763E-001
 5.00148E+000, 5.79797E-004, 0.00000E+000,-1.08058E-004,-2.62208E-011,-1.36360E-004,-2.13688E-022, 1.34564E-004, 0.00000E+000, 4.67571E-004, 4.69943E-004, 0.00000E+000, 1.40024E-008, 0.00000E+000, 1.76930E+000
 6.00629E+000, 8.66266E-004, 0.00000E+000,-1.65289E-004,-1.97474E-009,-2.17384E-004,-3.18193E-022, 1.94483E-004, 0.00000E+000, 6.76740E-004, 6.78075E-004, 0.00000E+000, 2.08670E-008, 0.00000E+000, 3.09520E+000
 7.01110E+000, 1.21227E-003, 0.00000E+000,-2.37030E-004,-8.69150E-009,-4.66958E-004,-4.44118E-022, 2.05409E-004, 0.00000E+000, 7.12814E-004, 7.13685E-004, 0.00000E+000, 2.91494E-008, 0.00000E+000, 4.49617E+000
 8.00462E+000, 1.61390E-003, 0.00000E+000,-3.14527E-004,-2.06608E-008,-7.18904E-004,-5.89962E-022, 2.35226E-004, 0.00000E+000, 8.14398E-004, 8.15671E-004, 0.00000E+000, 3.87567E-008, 0.00000E+000, 6.08215E+000
 9.00943E+000, 2.07321E-003, 0.00000E+000,-4.11531E-004,-3.15470E-008,-1.00906E-003,-7.56360E-022, 2.65219E-004, 0.00000E+000, 9.16295E-004, 9.17809E-004, 0.00000E+000, 4.97353E-008, 0.00000E+000, 7.89061E+000
 1.00030E+001, 2.58986E-003, 0.00000E+000,-5.11445E-004,-4.92800E-008,-1.32613E-003,-9.43176E-022, 3.06313E-004, 0.00000E+000, 1.05671E-003, 1.05855E-003, 0.00000E+000, 6.20801E-008, 0.00000E+000, 9.95567E+000
 1.10047E+001, 3.16493E-003, 0.00000E+000,-6.26082E-004,-5.81160E-008,-1.68542E-003,-1.14994E-021, 3.48275E-004, 0.00000E+000, 1.20006E-003, 1.20165E-003, 0.00000E+000, 7.57686E-008, 0.00000E+000, 1.23235E+001
 1.20071E+001, 3.79855E-003, 0.00000E+000,-7.53264E-004,-6.90631E-008,-2.09290E-003,-1.37791E-021, 3.89500E-004, 0.00000E+000, 1.34036E-003, 1.34182E-003, 0.00000E+000, 9.08899E-008, 0.00000E+000, 1.49737E+001
 1.30019E+001, 4.48504E-003, 0.00000E+000,-8.92809E-004,-7.39134E-008,-2.54285E-003,-1.62522E-021, 4.30096E-004, 0.00000E+000, 1.47794E-003, 1.47941E-003, 0.00000E+000, 1.07326E-007, 0.00000E+000, 1.78780E+001
 1.40063E+001, 5.23451E-003, 0.00000E+000,-1.04217E-003,-8.30928E-008,-3.03291E-003,-1.89284E-021, 4.76121E-004, 0.00000E+000, 1.63417E-003, 1.63546E-003, 0.00000E+000, 1.25150E-007, 0.00000E+000, 2.11244E+001
 1.50078E+001, 6.03975E-003, 0.00000E+000,-1.20737E-003,-9.30438E-008,-3.56767E-003,-2.18147E-021, 5.20403E-004, 0.00000E+000, 1.78384E-003, 1.78502E-003, 0.00000E+000, 1.44413E-007, 0.00000E+000, 2.46627E+001
 1.60019E+001, 6.90445E-003, 0.00000E+000,-1.38267E-003,-9.63551E-008,-4.14606E-003,-2.48832E-021, 5.67129E-004, 0.00000E+000, 1.94183E-003, 1.94274E-003, 0.00000E+000, 1.64939E-007, 0.00000E+000, 2.84902E+001
 1.70066E+001, 7.82205E-003, 0.00000E+000,-1.56944E-003,-1.09797E-007,-4.76499E-003,-2.81554E-021, 6.14206E-004, 0.00000E+000, 2.10043E-003, 2.10171E-003, 0.00000E+000, 1.86873E-007, 0.00000E+000, 3.26798E+001
 1.80059E+001, 8.80606E-003, 0.00000E+000,-1.76675E-003,-1.17681E-007,-5.43224E-003,-3.16318E-021, 6.65009E-004, 0.00000E+000, 2.27177E-003, 2.27196E-003, 0.00000E+000, 2.10236E-007, 0.00000E+000, 3.71919E+001
 1.90029E+001, 9.83658E-003, 0.00000E+000,-1.97841E-003,-1.05137E-007,-6.14171E-003,-3.52890E-021, 7.11053E-004, 0.00000E+000, 2.42606E-003, 2.42742E-003, 0.00000E+000, 2.34877E-007, 0.00000E+000, 4.20051E+001
 2.00044E+001, 1.09331E-002, 0.00000E+000,-2.20018E-003,-6.43168E-008,-6.87482E-003,-3.91442E-021, 7.71295E-004, 0.00000E+000, 2.62984E-003, 2.62936E-003, 0.00000E+000, 2.60918E-007, 0.00000E+000, 4.72496E+001
 2.10014E+001, 1.20794E-002, 0.00000E+000,-2.43343E-003,-5.60344E-008,-7.65854E-003,-4.31897E-021, 8.25336E-004, 0.00000E+000, 2.81142E-003, 2.81271E-003, 0.00000E+000, 2.88318E-007, 0.00000E+000, 5.28365E+001
 2.20043E+001, 1.32888E-002, 0.00000E+000,-2.67981E-003,-6.30434E-008,-8.46330E-003,-4.74309E-021, 8.91828E-004, 0.00000E+000, 3.03600E-003, 3.03749E-003, 0.00000E+000, 3.17117E-007, 0.00000E+000, 5.89094E+001
 2.30013E+001, 1.45558E-002, 0.00000E+000,-2.93673E-003,-6.86355E-008,-9.29289E-003,-5.18609E-021, 9.67494E-004, 0.00000E+000, 3.29262E-003, 3.29358E-003, 0.00000E+000, 3.47287E-007, 0.00000E+000, 6.54583E+001
 2.40050E+001, 1.58856E-002, 0.00000E+000,-3.20798E-003,-8.55760E-008,-1.01975E-002,-5.64774E-021, 1.03234E-003, 0.00000E+000, 3.51160E-003, 3.51235E-003, 0.00000E+000, 3.78831E-007, 0.00000E+000, 7.24942E+001
 2.50013E+001, 1.72628E-002, 0.00000E+000,-3.49297E-003,-9.22171E-008,-1.11840E-002,-6.12800E-021, 1.07840E-003, 0.00000E+000, 3.66332E-003, 3.66413E-003, 0.00000E+000, 4.11743E-007, 0.00000E+000, 7.97900E+001
 2.60030E+001, 1.79951E-002, 0.00000E+000,-3.63852E-003,-4.29999E-008,-1.20991E-002,-6.37118E-021, 9.52824E-004, 0.00000E+000, 3.21521E-003, 3.21023E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 8.62768E+001
 2.70047E+001, 1.79952E-002, 0.00000E+000,-3.64277E-003,-1.41801E-008,-1.25905E-002,-6.37118E-021, 7.55948E-004, 0.00000E+000, 2.52043E-003, 2.51782E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.14217E+001
 2.80010E+001, 1.79952E-002, 0.00000E+000,-3.64784E-003,-1.41513E-008,-1.28388E-002,-6.37118E-021, 6.55235E-004, 0.00000E+000, 2.16561E-003, 2.16381E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.58567E+001
 2.90027E+001, 1.79953E-002, 0.00000E+000,-3.65286E-003,-1.55359E-008,-1.30195E-002,-6.37116E-021, 5.81459E-004, 0.00000E+000, 1.90582E-003, 1.90435E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.98132E+001
 3.00044E+001, 1.79953E-002, 0.00000E+000,-3.65711E-003,-1.43960E-008,-1.31498E-002,-6.37111E-021, 5.28036E-004, 0.00000E+000, 1.71771E-003, 1.71646E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 1.03406E+002
