s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-2.50161E-005, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001
 1.00481E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 8.96841E-006, 2.06860E-001,-9.74829E-003, 2.30000E-001, 2.05485E+001, 2.50001E+001, 2.30000E-001, 1.26083E+001, 2.50000E+001, 2.30000E-001, 2.13052E+001, 2.50000E+001
 2.00962E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 6.55739E-005, 2.06860E-001, 3.75134E-002, 2.30000E-001, 2.50000E+001, 2.50063E+001, 2.30000E-001, 1.66853E+001, 2.50000E+001, 2.30000E-001, 2.44076E+001, 2.50000E+001
 3.00315E+000, 2.50002E+001, 2.50002E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 1.79462E-004, 2.06860E-001, 1.94078E-001, 2.30000E-001, 2.50002E+001, 2.50225E+001, 2.30000E-001, 2.50002E+001, 2.50001E+001, 2.30000E-001, 2.50002E+001, 2.50001E+001
 4.00796E+000, 2.50012E+001, 2.50005E+001, 2.50003E+001, 2.50002E+001, 2.50004E+001, 2.50005E+001, 2.50004E+001, 3.50923E-004, 2.06860E-001, 5.57690E-001, 2.30000E-001, 2.50005E+001, 2.50242E+001, 2.30000E-001, 2.50005E+001, 2.50002E+001, 2.30000E-001, 2.50005E+001, 2.50002E+001
 5.00148E+000, 2.50173E+001, 2.50011E+001, 2.50007E+001, 2.50005E+001, 2.50010E+001, 2.50010E+001, 2.50009E+001, 5.79796E-004, 2.06860E-001, 1.22531E+000, 2.30000E-001, 2.50010E+001, 2.50250E+001, 2.30000E-001, 2.50010E+001, 2.50005E+001, 2.30000E-001, 2.50010E+001, 2.50005E+001
 6.00629E+000, 2.50244E+001, 2.50130E+001, 2.51647E+001, 2.50008E+001, 2.50018E+001, 2.50019E+001, 2.50016E+001, 8.66270E-004, 2.06860E-001, 2.27983E+000, 2.30000E-001, 2.51170E+001, 2.50314E+001, 2.30000E-001, 2.50019E+001, 2.50008E+001, 2.30000E-001, 2.50018E+001, 2.50008E+001
 7.01110E+000, 2.50245E+001, 2.50443E+001, 2.64613E+001, 2.50012E+001, 2.50027E+001, 2.50029E+001, 2.50025E+001, 1.21224E-003, 2.06860E-001, 3.59756E+000, 2.30000E-001, 2.54765E+001, 2.50317E+001, 2.30000E-001, 2.50029E+001, 2.50012E+001, 2.30000E-001, 2.50029E+001, 2.50011E+001
 8.00462E+000, 2.50246E+001, 2.50553E+001, 2.72127E+001, 2.50015E+001, 2.50037E+001, 2.50040E+001, 2.50033E+001, 1.61392E-003, 2.06860E-001, 5.02363E+000, 2.30000E-001, 2.57932E+001, 2.50325E+001, 2.30000E-001, 2.50041E+001, 2.50015E+001, 2.30000E-001, 2.50040E+001, 2.50015E+001
 9.00944E+000, 2.50253E+001, 2.50578E+001, 2.79019E+001, 2.50019E+001, 2.50046E+001, 2.50053E+001, 2.50042E+001, 2.07321E-003, 2.06860E-001, 6.61920E+000, 2.10755E-001, 2.62052E+001, 2.50404E+001, 2.30000E-001, 2.50054E+001, 2.50019E+001, 2.30000E-001, 2.50053E+001, 2.50018E+001
 1.00030E+001, 2.50265E+001, 2.50587E+001, 2.85942E+001, 2.50023E+001, 2.50057E+001, 2.50067E+001, 2.50053E+001, 2.58985E-003, 2.06860E-001, 8.46080E+000, 2.11840E-001, 2.67165E+001, 2.50503E+001, 2.30000E-001, 2.50068E+001, 2.50023E+001, 2.30000E-001, 2.50067E+001, 2.50022E+001
 1.10097E+001, 2.50281E+001, 2.50589E+001, 2.93319E+001, 2.50028E+001, 2.50070E+001, 2.50082E+001, 2.50064E+001, 3.16670E-003, 2.06860E-001, 1.05664E+001, 2.14806E-001, 2.73507E+001, 2.50608E+001, 2.30000E-001, 2.50085E+001, 2.50028E+001, 2.30000E-001, 2.50083E+001, 2.50026E+001
 1.20045E+001, 2.50302E+001, 2.50587E+001, 3.01080E+001, 2.50033E+001, 2.50083E+001, 2.50100E+001, 2.50077E+001, 3.79720E-003, 2.06860E-001, 1.29688E+001, 2.17064E-001, 2.80792E+001, 2.50722E+001, 2.30000E-001, 2.50104E+001, 2.50033E+001, 2.30000E-001, 2.50102E+001, 2.50031E+001
 1.30049E+001, 2.50326E+001, 2.50581E+001, 3.09230E+001, 2.50039E+001, 2.50098E+001, 2.50120E+001, 2.50091E+001, 4.48759E-003, 2.06860E-001, 1.56849E+001, 2.18846E-001, 2.89434E+001, 2.50847E+001, 2.30000E-001, 2.50126E+001, 2.50039E+001, 2.30000E-001, 2.50122E+001, 2.50036E+001
 1.40048E+001, 2.50354E+001, 2.50569E+001, 3.17984E+001, 2.50045E+001, 2.50114E+001, 2.50141E+001, 2.50107E+001, 5.23530E-003, 2.06860E-001, 1.87255E+001, 2.20304E-001, 2.99749E+001, 2.50977E+001, 2.30000E-001, 2.50150E+001, 2.50045E+001, 2.30000E-001, 2.50145E+001, 2.50042E+001
 1.50073E+001, 2.50385E+001, 2.50553E+001, 3.26265E+001, 2.50051E+001, 2.50131E+001, 2.50164E+001, 2.50123E+001, 6.03866E-003, 2.06860E-001, 2.20037E+001, 2.21511E-001, 3.09779E+001, 2.51119E+001, 2.30000E-001, 2.50176E+001, 2.50052E+001, 2.30000E-001, 2.50170E+001, 2.50047E+001
 1.60073E+001, 2.50420E+001, 2.50538E+001, 3.35680E+001, 2.50057E+001, 2.50148E+001, 2.50189E+001, 2.50139E+001, 6.90682E-003, 2.06860E-001, 2.55080E+001, 2.22519E-001, 3.22671E+001, 2.51269E+001, 2.30000E-001, 2.50203E+001, 2.50059E+001, 2.30000E-001, 2.50196E+001, 2.50053E+001
 1.70055E+001, 2.50459E+001, 2.50523E+001, 3.43275E+001, 2.50062E+001, 2.50166E+001, 2.50214E+001, 2.50156E+001, 7.82385E-003, 2.06860E-001, 2.92783E+001, 2.23343E-001, 3.34488E+001, 2.51430E+001, 2.30000E-001, 2.50232E+001, 2.50067E+001, 2.30000E-001, 2.50224E+001, 2.50059E+001
 1.80037E+001, 2.50501E+001, 2.50514E+001, 3.55437E+001, 2.50070E+001, 2.50185E+001, 2.50241E+001, 2.50174E+001, 8.80080E-003, 2.06860E-001, 3.33408E+001, 2.23915E-001, 3.51597E+001, 2.51623E+001, 2.30000E-001, 2.50267E+001, 2.50075E+001, 2.30000E-001, 2.50253E+001, 2.50065E+001
 1.90062E+001, 2.50548E+001, 2.50514E+001, 3.62453E+001, 2.50163E+001, 2.50205E+001, 2.50271E+001, 2.50193E+001, 9.84072E-003, 2.06860E-001, 3.77383E+001, 2.24165E-001, 3.61091E+001, 2.51823E+001, 2.30000E-001, 2.50726E+001, 2.50085E+001, 2.30000E-001, 2.50285E+001, 2.50072E+001
 2.00034E+001, 2.50601E+001, 2.50535E+001, 3.75675E+001, 2.50517E+001, 2.50226E+001, 2.50301E+001, 2.50213E+001, 1.09303E-002, 2.06860E-001, 4.24258E+001, 2.23555E-001, 3.68716E+001, 2.52031E+001, 2.30000E-001, 2.52736E+001, 2.50094E+001, 2.30000E-001, 2.50319E+001, 2.50079E+001
 2.10047E+001, 2.50659E+001, 2.50626E+001, 3.96626E+001, 2.51026E+001, 2.50249E+001, 2.50335E+001, 2.50234E+001, 1.20849E-002, 2.06860E-001, 4.75106E+001, 2.21911E-001, 3.80462E+001, 2.52249E+001, 2.30000E-001, 2.54190E+001, 2.50105E+001, 2.30000E-001, 2.50356E+001, 2.50087E+001
 2.20027E+001, 2.50723E+001, 2.51184E+001, 4.09407E+001, 2.51851E+001, 2.50272E+001, 2.50370E+001, 2.50257E+001, 1.32894E-002, 2.06860E-001, 5.29824E+001, 2.20448E-001, 3.84291E+001, 2.52479E+001, 2.30000E-001, 2.55505E+001, 2.50116E+001, 2.30000E-001, 2.50395E+001, 2.50096E+001
 2.30006E+001, 2.50791E+001, 2.52936E+001, 4.38392E+001, 2.54312E+001, 2.50298E+001, 2.50408E+001, 2.50280E+001, 1.45539E-002, 2.06860E-001, 5.88722E+001, 2.18905E-001, 3.85845E+001, 2.52724E+001, 2.30000E-001, 2.58817E+001, 2.50129E+001, 2.30000E-001, 2.50437E+001, 2.50105E+001
 2.40011E+001, 2.50865E+001, 2.54864E+001, 4.82287E+001, 2.57458E+001, 2.50326E+001, 2.50449E+001, 2.50305E+001, 1.58829E-002, 2.06858E-001, 6.52648E+001, 2.16916E-001, 4.00082E+001, 2.52979E+001, 2.00707E-001, 2.60041E+001, 2.50142E+001, 2.30000E-001, 2.50482E+001, 2.50114E+001
 2.50003E+001, 2.50943E+001, 2.55986E+001, 4.89733E+001, 2.58724E+001, 2.50354E+001, 2.50492E+001, 2.50330E+001, 1.72588E-002, 2.06856E-001, 7.20436E+001, 2.15541E-001, 4.11647E+001, 2.53246E+001, 1.64517E-001, 2.61452E+001, 2.50155E+001, 2.30000E-001, 2.50530E+001, 2.50124E+001
 2.60048E+001, 2.51020E+001, 2.56376E+001, 5.03851E+001, 2.61135E+001, 2.50381E+001, 2.50533E+001, 2.50350E+001, 1.79951E-002, 2.06853E-001, 7.87559E+001, 2.15110E-001, 4.19890E+001, 2.53510E+001, 1.67821E-001, 2.64269E+001, 2.50166E+001, 2.30000E-001, 2.50577E+001, 2.50131E+001
 2.70039E+001, 2.51079E+001, 2.56329E+001, 5.07167E+001, 2.62707E+001, 2.50394E+001, 2.50562E+001, 2.50357E+001, 1.79951E-002, 2.06852E-001, 8.41991E+001, 2.14494E-001, 4.19000E+001, 2.53717E+001, 1.68375E-001, 2.65236E+001, 2.50170E+001, 2.30000E-001, 2.50612E+001, 2.50133E+001
 2.80031E+001, 2.51125E+001, 2.55904E+001, 5.09445E+001, 2.64368E+001, 2.50400E+001, 2.50581E+001, 2.50356E+001, 1.79952E-002, 2.06852E-001, 8.87655E+001, 2.13705E-001, 4.17051E+001, 2.53897E+001, 1.69695E-001, 2.66605E+001, 2.50172E+001, 2.30000E-001, 2.50639E+001, 2.50132E+001
 2.90022E+001, 2.51165E+001, 2.55076E+001, 5.10731E+001, 2.65088E+001, 2.50402E+001, 2.50596E+001, 2.50348E+001, 1.79952E-002, 2.06851E-001, 9.28010E+001, 2.13503E-001, 4.19367E+001, 2.54068E+001, 1.70604E-001, 2.67768E+001, 2.50175E+001, 2.30000E-001, 2.50659E+001, 2.50132E+001
 3.00013E+001, 2.51199E+001, 2.54141E+001, 5.11211E+001, 2.65904E+001, 2.50403E+001, 2.50605E+001, 2.50336E+001, 1.79952E-002, 2.06851E-001, 9.64261E+001, 2.13986E-001, 4.24028E+001, 2.54233E+001, 1.71507E-001, 2.69011E+001, 2.50177E+001, 2.30000E-001, 2.50668E+001, 2.50131E+001
 3.10005E+001, 2.51229E+001, 2.53392E+001, 5.11337E+001, 2.66486E+001, 2.50404E+001, 2.50613E+001, 2.50315E+001, 1.79952E-002, 2.06851E-001, 9.97354E+001, 2.14646E-001, 4.28847E+001, 2.54387E+001, 1.72005E-001, 2.69936E+001, 2.50179E+001, 2.30000E-001, 2.51046E+001, 2.50131E+001
 3.20050E+001, 2.51254E+001, 2.52884E+001, 5.11602E+001, 2.67122E+001, 2.50407E+001, 2.50617E+001, 2.50266E+001, 1.79953E-002, 2.06851E-001, 1.02818E+002, 2.15436E-001, 4.32992E+001, 2.54530E+001, 1.72225E-001, 2.70725E+001, 2.50181E+001, 2.30000E-001, 2.56824E+001, 2.50131E+001
 3.30041E+001, 2.51276E+001, 2.52585E+001, 5.11041E+001, 2.67679E+001, 2.50411E+001, 2.50612E+001, 2.50434E+001, 1.79952E-002, 2.06851E-001, 1.05717E+002, 2.16210E-001, 4.34797E+001, 2.54663E+001, 1.72081E-001, 2.71230E+001, 2.50183E+001, 2.30000E-001, 2.57830E+001, 2.50131E+001
 3.40033E+001, 2.51294E+001, 2.52459E+001, 5.10604E+001, 2.67988E+001, 2.50417E+001, 2.50546E+001, 2.53523E+001, 1.79952E-002, 2.06851E-001, 1.08397E+002, 2.16716E-001, 4.34985E+001, 2.54786E+001, 1.71685E-001, 2.71470E+001, 2.50186E+001, 2.30000E-001, 2.57473E+001, 2.50132E+001
 3.50024E+001, 2.51309E+001, 2.52465E+001, 5.09880E+001, 2.67932E+001, 2.50426E+001, 2.50909E+001, 2.55176E+001, 1.79952E-002, 2.06851E-001, 1.10879E+002, 2.17047E-001, 4.33648E+001, 2.54901E+001, 1.71052E-001, 2.71515E+001, 2.50188E+001, 2.30000E-001, 2.57209E+001, 2.50135E+001
 3.60016E+001, 2.51321E+001, 2.52572E+001, 5.08761E+001, 2.67735E+001, 2.50437E+001, 2.52933E+001, 2.54613E+001, 1.79952E-002, 2.06851E-001, 1.13251E+002, 2.17396E-001, 4.32343E+001, 2.55011E+001, 1.70181E-001, 2.71434E+001, 2.50190E+001, 2.30000E-001, 2.57115E+001, 2.50138E+001
 3.70007E+001, 2.51333E+001, 2.52748E+001, 5.07537E+001, 2.67633E+001, 2.50440E+001, 2.55187E+001, 2.53953E+001, 1.79952E-002, 2.06850E-001, 1.15562E+002, 2.17728E-001, 4.31729E+001, 2.55117E+001, 1.69264E-001, 2.71394E+001, 2.50193E+001, 2.30000E-001, 2.57218E+001, 2.50142E+001
 3.80052E+001, 2.51343E+001, 2.52970E+001, 5.06572E+001, 2.67842E+001, 2.50428E+001, 2.55667E+001, 2.54182E+001, 1.79952E-002, 2.06849E-001, 1.17835E+002, 2.17997E-001, 4.31184E+001, 2.55219E+001, 1.68433E-001, 2.71538E+001, 2.50196E+001, 2.30000E-001, 2.57722E+001, 2.50147E+001
 3.90043E+001, 2.51352E+001, 2.53219E+001, 5.05273E+001, 2.68165E+001, 2.50411E+001, 2.55269E+001, 2.54418E+001, 1.79952E-002, 2.06848E-001, 1.20068E+002, 2.18150E-001, 4.29871E+001, 2.55318E+001, 1.67535E-001, 2.71732E+001, 2.50199E+001, 2.30000E-001, 2.58590E+001, 2.50149E+001
 4.00035E+001, 2.51360E+001, 2.53475E+001, 5.02977E+001, 2.68296E+001, 2.50399E+001, 2.54690E+001, 2.54667E+001, 1.79953E-002, 2.06846E-001, 1.22253E+002, 2.18270E-001, 4.28303E+001, 2.55413E+001, 1.66273E-001, 2.71749E+001, 2.50203E+001, 2.30000E-001, 2.59403E+001, 2.50136E+001
 4.10026E+001, 2.51367E+001, 2.53722E+001, 4.99676E+001, 2.68175E+001, 2.50383E+001, 2.53960E+001, 2.55092E+001, 1.79952E-002, 2.06842E-001, 1.24392E+002, 2.18352E-001, 4.26557E+001, 2.55506E+001, 1.64441E-001, 2.71540E+001, 2.50206E+001, 2.30000E-001, 2.59761E+001, 2.50120E+001
 4.20018E+001, 2.51374E+001, 2.53971E+001, 4.96736E+001, 2.67685E+001, 2.50363E+001, 2.52908E+001, 2.55769E+001, 1.79953E-002, 2.06836E-001, 1.26474E+002, 2.18324E-001, 4.25940E+001, 2.55597E+001, 1.61784E-001, 2.71183E+001, 2.50210E+001, 2.30000E-001, 2.59648E+001, 2.50111E+001
 4.30009E+001, 2.51380E+001, 2.54236E+001, 4.94305E+001, 2.66952E+001, 2.50342E+001, 2.51894E+001, 2.56535E+001, 1.79953E-002, 2.06822E-001, 1.28506E+002, 2.18172E-001, 4.25479E+001, 2.55687E+001, 1.57852E-001, 2.70817E+001, 2.50213E+001, 2.30000E-001, 2.59236E+001, 2.50108E+001
 4.40000E+001, 2.51386E+001, 2.54506E+001, 4.93343E+001, 2.66027E+001, 2.50324E+001, 2.51331E+001, 2.57047E+001, 1.79953E-002, 2.06792E-001, 1.30506E+002, 2.18114E-001, 4.25353E+001, 2.55777E+001, 1.51962E-001, 2.70331E+001, 2.50218E+001, 2.30000E-001, 2.58694E+001, 2.50110E+001
 4.50045E+001, 2.51392E+001, 2.54792E+001, 4.92775E+001, 2.65130E+001, 2.50310E+001, 2.51089E+001, 2.57047E+001, 1.79953E-002, 2.06738E-001, 1.32478E+002, 2.18118E-001, 4.25214E+001, 2.55868E+001, 1.44540E-001, 2.69704E+001, 2.50223E+001, 2.30000E-001, 2.58176E+001, 2.50117E+001
 4.60037E+001, 2.51400E+001, 2.55138E+001, 4.92483E+001, 2.64538E+001, 2.50299E+001, 2.51004E+001, 2.56552E+001, 1.79953E-002, 2.06677E-001, 1.34394E+002, 2.17989E-001, 4.24647E+001, 2.55961E+001, 1.38514E-001, 2.69015E+001, 2.50227E+001, 2.30000E-001, 2.57791E+001, 2.50123E+001
 4.70028E+001, 2.51411E+001, 2.55621E+001, 4.93030E+001, 2.64360E+001, 2.50291E+001, 2.51029E+001, 2.55782E+001, 1.79953E-002, 2.06645E-001, 1.36217E+002, 2.17678E-001, 4.23200E+001, 2.56058E+001, 1.36920E-001, 2.68468E+001, 2.50231E+001, 2.30000E-001, 2.57572E+001, 2.50127E+001
 4.80020E+001, 2.51426E+001, 2.56334E+001, 4.95358E+001, 2.64526E+001, 2.50285E+001, 2.51171E+001, 2.54923E+001, 1.79954E-002, 2.06649E-001, 1.37920E+002, 2.17286E-001, 4.20977E+001, 2.56164E+001, 1.39163E-001, 2.68341E+001, 2.50234E+001, 2.30000E-001, 2.57484E+001, 2.50125E+001
 4.90011E+001, 2.51450E+001, 2.57372E+001, 5.00369E+001, 2.64998E+001, 2.50279E+001, 2.51481E+001, 2.54191E+001, 1.79955E-002, 2.06665E-001, 1.39479E+002, 2.16766E-001, 4.17356E+001, 2.56282E+001, 1.41795E-001, 2.68748E+001, 2.50237E+001, 2.30000E-001, 2.57572E+001, 2.50119E+001
 5.00003E+001, 2.51483E+001, 2.58622E+001, 5.07666E+001, 2.65794E+001, 2.50274E+001, 2.52050E+001, 2.53792E+001, 1.79956E-002, 2.06673E-001, 1.40897E+002, 2.16013E-001, 4.14521E+001, 2.56412E+001, 1.42301E-001, 2.69459E+001, 2.50239E+001, 2.30000E-001, 2.57965E+001, 2.50112E+001
 5.10047E+001, 2.51527E+001, 2.59537E+001, 5.11881E+001, 2.67128E+001, 2.50269E+001, 2.52852E+001, 2.53421E+001, 1.79955E-002, 2.06662E-001, 1.42215E+002, 2.15654E-001, 4.17067E+001, 2.56550E+001, 1.40917E-001, 2.69992E+001, 2.50241E+001, 2.30000E-001, 2.58561E+001, 2.50105E+001
 5.20039E+001, 2.51581E+001, 2.59729E+001, 5.08439E+001, 2.67770E+001, 2.50265E+001, 2.53792E+001, 2.53061E+001, 1.79955E-002, 2.06625E-001, 1.43449E+002, 2.15871E-001, 4.20876E+001, 2.56687E+001, 1.39345E-001, 2.70016E+001, 2.50243E+001, 2.30000E-001, 2.58963E+001, 2.50101E+001
 5.30030E+001, 2.51638E+001, 2.59309E+001, 5.06971E+001, 2.67093E+001, 2.50260E+001, 2.55382E+001, 2.53056E+001, 1.79954E-002, 2.06567E-001, 1.44617E+002, 2.16185E-001, 4.23291E+001, 2.56807E+001, 1.38535E-001, 2.69678E+001, 2.50246E+001, 2.30000E-001, 2.59083E+001, 2.50097E+001
 5.40022E+001, 2.51694E+001, 2.58911E+001, 5.07527E+001, 2.66296E+001, 2.50257E+001, 2.57072E+001, 2.53395E+001, 1.79953E-002, 2.06480E-001, 1.45701E+002, 2.16160E-001, 4.24286E+001, 2.56906E+001, 1.39599E-001, 2.69782E+001, 2.50248E+001, 2.30000E-001, 2.58983E+001, 2.50094E+001
 5.50013E+001, 2.51744E+001, 2.58993E+001, 5.07728E+001, 2.66948E+001, 2.50253E+001, 2.57519E+001, 2.53738E+001, 1.79953E-002, 2.06371E-001, 1.46673E+002, 2.15888E-001, 4.22028E+001, 2.56983E+001, 1.41603E-001, 2.70367E+001, 2.50250E+001, 2.30000E-001, 2.58613E+001, 2.50091E+001
 5.60005E+001, 2.51786E+001, 2.59322E+001, 5.07546E+001, 2.67545E+001, 2.50247E+001, 2.56697E+001, 2.54188E+001, 1.79952E-002, 2.06273E-001, 1.47537E+002, 2.15522E-001, 4.19876E+001, 2.57040E+001, 1.42518E-001, 2.70420E+001, 2.50252E+001, 2.30000E-001, 2.58166E+001, 2.50089E+001
 5.70049E+001, 2.51820E+001, 2.59497E+001, 5.06230E+001, 2.67889E+001, 2.50239E+001, 2.55127E+001, 2.54735E+001, 1.79951E-002, 2.06193E-001, 1.48309E+002, 2.15293E-001, 4.17447E+001, 2.57081E+001, 1.43492E-001, 2.70721E+001, 2.50254E+001, 2.30000E-001, 2.57963E+001, 2.50087E+001
 5.80041E+001, 2.51850E+001, 2.59411E+001, 5.10354E+001, 2.67875E+001, 2.50228E+001, 2.53529E+001, 2.55143E+001, 1.79950E-002, 2.06124E-001, 1.49014E+002, 2.15202E-001, 4.15210E+001, 2.57104E+001, 1.43663E-001, 2.70874E+001, 2.50256E+001, 2.30000E-001, 2.58190E+001, 2.50086E+001
 5.90032E+001, 2.51877E+001, 2.59169E+001, 5.17445E+001, 2.67396E+001, 2.50217E+001, 2.52418E+001, 2.55312E+001, 1.79950E-002, 2.06067E-001, 1.49656E+002, 2.15318E-001, 4.12952E+001, 2.57112E+001, 1.42823E-001, 2.70734E+001, 2.50259E+001, 2.30000E-001, 2.58743E+001, 2.50086E+001
 6.00024E+001, 2.51905E+001, 2.58905E+001, 5.23970E+001, 2.67417E+001, 2.50208E+001, 2.51960E+001, 2.55463E+001, 1.79950E-002, 2.06023E-001, 1.50300E+002, 2.15790E-001, 4.12432E+001, 2.57111E+001, 1.41850E-001, 2.70672E+001, 2.50262E+001, 2.30000E-001, 2.59394E+001, 2.50087E+001
