s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 9.90273E-027, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.99270E-002
 1.00481E+000, 8.96841E-006, 0.00000E+000,-4.54970E-006, 3.18733E-012,-3.93465E-006,-3.58853E-024,-9.86017E-008, 0.00000E+000, 3.56377E-007, 3.85462E-007, 0.00000E+000, 2.34618E-010, 0.00000E+000,-2.91035E-002
 2.00962E+000, 6.55739E-005, 0.00000E+000,-1.27537E-005, 4.04327E-013,-1.96231E-005,-2.48713E-023, 1.32545E-005, 0.00000E+000, 4.58153E-005, 4.64516E-005, 0.00000E+000, 1.62669E-009, 0.00000E+000, 6.07773E-002
 3.00314E+000, 1.79462E-004, 0.00000E+000,-3.97199E-005,-2.07660E-012,-5.22529E-005,-6.69589E-023, 3.50714E-005, 0.00000E+000, 1.21361E-004, 1.22561E-004, 0.00000E+000, 4.38230E-009, 0.00000E+000, 2.96256E-001
 4.00796E+000, 3.50923E-004, 0.00000E+000,-7.91639E-005,-2.83656E-012,-8.56618E-005,-1.29950E-022, 7.46796E-005, 0.00000E+000, 2.59059E-004, 2.60776E-004, 0.00000E+000, 8.50927E-009, 0.00000E+000, 8.04140E-001
 5.00148E+000, 5.79796E-004, 0.00000E+000,-1.35653E-004,-2.81358E-011,-1.33639E-004,-2.13679E-022, 1.24703E-004, 0.00000E+000, 4.32966E-004, 4.35208E-004, 0.00000E+000, 1.40024E-008, 0.00000E+000, 1.64329E+000
 6.00629E+000, 8.66270E-004, 0.00000E+000,-2.08828E-004,-1.85251E-009,-2.03254E-004,-3.18178E-022, 1.82807E-004, 0.00000E+000, 6.35656E-004, 6.36993E-004, 0.00000E+000, 2.08670E-008, 0.00000E+000, 2.88949E+000
 7.01110E+000, 1.21224E-003, 0.00000E+000,-2.94110E-004,-7.72562E-009,-4.24181E-004,-4.44093E-022, 1.99709E-004, 0.00000E+000, 6.92698E-004, 6.93649E-004, 0.00000E+000, 2.91494E-008, 0.00000E+000, 4.25145E+000
 8.00462E+000, 1.61392E-003, 0.00000E+000,-3.94148E-004,-1.71991E-008,-6.74460E-004,-5.89914E-022, 2.21296E-004, 0.00000E+000, 7.65521E-004, 7.66594E-004, 0.00000E+000, 3.87567E-008, 0.00000E+000, 5.74369E+000
 9.00943E+000, 2.07321E-003, 0.00000E+000,-5.10315E-004,-2.79312E-008,-9.44125E-004,-7.56314E-022, 2.51769E-004, 0.00000E+000, 8.68930E-004, 8.70514E-004, 0.00000E+000, 4.97353E-008, 0.00000E+000, 7.46027E+000
 1.00030E+001, 2.58985E-003, 0.00000E+000,-6.36012E-004,-4.46038E-008,-1.24107E-003,-9.43109E-022, 2.90672E-004, 0.00000E+000, 1.00183E-003, 1.00340E-003, 0.00000E+000, 6.20801E-008, 0.00000E+000, 9.42008E+000
 1.10097E+001, 3.16670E-003, 0.00000E+000,-7.77595E-004,-5.64834E-008,-1.58007E-003,-1.15045E-021, 3.30622E-004, 0.00000E+000, 1.13784E-003, 1.13960E-003, 0.00000E+000, 7.58083E-008, 0.00000E+000, 1.16790E+001
 1.20045E+001, 3.79720E-003, 0.00000E+000,-9.10855E-004,-6.85435E-008,-1.96552E-003,-1.37813E-021, 3.76941E-004, 0.00000E+000, 1.29609E-003, 1.29769E-003, 0.00000E+000, 9.09106E-008, 0.00000E+000, 1.42240E+001
 1.30049E+001, 4.48759E-003, 0.00000E+000,-1.04482E-003,-7.42600E-008,-2.40484E-003,-1.62520E-021, 4.25502E-004, 0.00000E+000, 1.46161E-003, 1.46336E-003, 0.00000E+000, 1.07331E-007, 0.00000E+000, 1.71133E+001
 1.40048E+001, 5.23530E-003, 0.00000E+000,-1.19947E-003,-8.49440E-008,-2.89628E-003,-1.89300E-021, 4.68243E-004, 0.00000E+000, 1.60648E-003, 1.60772E-003, 0.00000E+000, 1.25166E-007, 0.00000E+000, 2.02916E+001
 1.50073E+001, 6.03866E-003, 0.00000E+000,-1.41612E-003,-8.26462E-008,-3.42079E-003,-2.18108E-021, 4.95431E-004, 0.00000E+000, 1.69632E-003, 1.69709E-003, 0.00000E+000, 1.44393E-007, 0.00000E+000, 2.36640E+001
 1.60073E+001, 6.90682E-003, 0.00000E+000,-1.65136E-003,-9.43394E-008,-3.95653E-003,-2.48908E-021, 5.36740E-004, 0.00000E+000, 1.83476E-003, 1.83557E-003, 0.00000E+000, 1.64995E-007, 0.00000E+000, 2.73078E+001
 1.70055E+001, 7.82385E-003, 0.00000E+000,-1.90146E-003,-9.63685E-008,-4.53035E-003,-2.81605E-021, 5.76263E-004, 0.00000E+000, 1.96697E-003, 1.96821E-003, 0.00000E+000, 1.86921E-007, 0.00000E+000, 3.12133E+001
 1.80037E+001, 8.80080E-003, 0.00000E+000,-2.16089E-003,-1.12197E-007,-5.14108E-003,-3.16241E-021, 6.22482E-004, 0.00000E+000, 2.12203E-003, 2.12120E-003, 0.00000E+000, 2.10200E-007, 0.00000E+000, 3.54318E+001
 1.90062E+001, 9.84072E-003, 0.00000E+000,-2.43687E-003,-1.11785E-007,-5.79288E-003,-3.52883E-021, 6.69631E-004, 0.00000E+000, 2.28035E-003, 2.28049E-003, 0.00000E+000, 2.34892E-007, 0.00000E+000, 3.99899E+001
 2.00034E+001, 1.09303E-002, 0.00000E+000,-2.73369E-003,-8.41912E-008,-6.47303E-003,-3.91453E-021, 7.17173E-004, 0.00000E+000, 2.43910E-003, 2.44066E-003, 0.00000E+000, 2.60947E-007, 0.00000E+000, 4.48451E+001
 2.10047E+001, 1.20849E-002, 0.00000E+000,-3.02453E-003,-6.54067E-008,-7.18915E-003,-4.31918E-021, 7.79582E-004, 0.00000E+000, 2.65029E-003, 2.65075E-003, 0.00000E+000, 2.88356E-007, 0.00000E+000, 5.01456E+001
 2.20027E+001, 1.32894E-002, 0.00000E+000,-3.32887E-003,-5.62561E-008,-7.95969E-003,-4.74300E-021, 8.34319E-004, 0.00000E+000, 2.83361E-003, 2.83509E-003, 0.00000E+000, 3.17142E-007, 0.00000E+000, 5.57986E+001
 2.30006E+001, 1.45539E-002, 0.00000E+000,-3.64975E-003,-5.75673E-008,-8.73284E-003,-5.18506E-021, 9.05853E-004, 0.00000E+000, 3.07561E-003, 3.07716E-003, 0.00000E+000, 3.47251E-007, 0.00000E+000, 6.19361E+001
 2.40011E+001, 1.58829E-002, 0.00000E+000,-3.98322E-003,-8.42646E-008,-9.56234E-003,-5.64633E-021, 9.75846E-004, 0.00000E+000, 3.31243E-003, 3.31307E-003, 0.00000E+000, 3.78764E-007, 0.00000E+000, 6.85660E+001
 2.50003E+001, 1.72588E-002, 0.00000E+000,-4.33216E-003,-7.67959E-008,-1.04913E-002,-6.12629E-021, 1.01875E-003, 0.00000E+000, 3.45322E-003, 3.45403E-003, 0.00000E+000, 4.11662E-007, 0.00000E+000, 7.54778E+001
 2.60048E+001, 1.79951E-002, 0.00000E+000,-4.51653E-003,-3.93632E-008,-1.13472E-002,-6.37065E-021, 9.02618E-004, 0.00000E+000, 3.03832E-003, 3.03398E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 8.16398E+001
 2.70039E+001, 1.79951E-002, 0.00000E+000,-4.51934E-003,-1.07922E-008,-1.17977E-002,-6.37066E-021, 7.22573E-004, 0.00000E+000, 2.40293E-003, 2.40070E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 8.65449E+001
 2.80031E+001, 1.79952E-002, 0.00000E+000,-4.52436E-003,-1.03025E-008,-1.20257E-002,-6.37067E-021, 6.29918E-004, 0.00000E+000, 2.07650E-003, 2.07504E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.08205E+001
 2.90022E+001, 1.79952E-002, 0.00000E+000,-4.52890E-003,-1.24601E-008,-1.21920E-002,-6.37068E-021, 5.62053E-004, 0.00000E+000, 1.83758E-003, 1.83634E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.46354E+001
 3.00013E+001, 1.79952E-002, 0.00000E+000,-4.53261E-003,-9.63179E-009,-1.23224E-002,-6.37066E-021, 5.08770E-004, 0.00000E+000, 1.64994E-003, 1.64895E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.80884E+001
