s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-2.50161E-005, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001
 1.00481E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 8.96841E-006, 2.06860E-001, 3.82661E-003, 2.30000E-001, 2.41347E+001, 2.50002E+001, 2.30000E-001, 2.48797E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001
 2.00962E+000, 2.50001E+001, 2.50001E+001, 2.50006E+001, 2.50001E+001, 2.50000E+001, 2.50001E+001, 2.50000E+001, 6.55738E-005, 2.06860E-001, 5.92368E-002, 2.30000E-001, 2.50002E+001, 2.50134E+001, 2.30000E-001, 2.37015E+001, 2.50001E+001, 2.30000E-001, 2.48726E+001, 2.50000E+001
 3.00315E+000, 2.50003E+001, 2.50002E+001, 2.50039E+001, 2.50007E+001, 2.50002E+001, 2.50002E+001, 2.50002E+001, 1.79462E-004, 2.06860E-001, 2.53246E-001, 2.30000E-001, 2.50014E+001, 2.50576E+001, 2.30000E-001, 2.50002E+001, 2.50007E+001, 2.30000E-001, 2.50002E+001, 2.50003E+001
 4.00796E+000, 2.50014E+001, 2.50007E+001, 2.50112E+001, 2.50024E+001, 2.50006E+001, 2.50006E+001, 2.50006E+001, 3.50922E-004, 2.06860E-001, 7.15546E-001, 2.30000E-001, 2.50070E+001, 2.51003E+001, 2.30000E-001, 2.50007E+001, 2.50025E+001, 2.30000E-001, 2.50006E+001, 2.50010E+001
 5.00148E+000, 2.50177E+001, 2.50015E+001, 2.50238E+001, 2.50057E+001, 2.50014E+001, 2.50013E+001, 2.50015E+001, 5.79795E-004, 2.06860E-001, 1.57233E+000, 2.30000E-001, 2.50234E+001, 2.51614E+001, 2.30000E-001, 2.50015E+001, 2.50058E+001, 2.30000E-001, 2.50014E+001, 2.50024E+001
 6.00629E+000, 2.50251E+001, 2.50138E+001, 2.52295E+001, 2.50111E+001, 2.50026E+001, 2.50025E+001, 2.50029E+001, 8.66267E-004, 2.06860E-001, 2.94664E+000, 2.30000E-001, 2.51276E+001, 2.52568E+001, 2.30000E-001, 2.50030E+001, 2.50113E+001, 2.30000E-001, 2.50026E+001, 2.50048E+001
 7.01110E+000, 2.50257E+001, 2.50461E+001, 2.67530E+001, 2.50202E+001, 2.50045E+001, 2.50042E+001, 2.50051E+001, 1.21223E-003, 2.06860E-001, 4.96413E+000, 2.30000E-001, 2.52786E+001, 2.54068E+001, 2.30000E-001, 2.50051E+001, 2.50208E+001, 2.30000E-001, 2.50044E+001, 2.50086E+001
 8.00462E+000, 2.50271E+001, 2.50587E+001, 2.76126E+001, 2.50367E+001, 2.50072E+001, 2.50067E+001, 2.50084E+001, 1.61392E-003, 2.06860E-001, 7.74991E+000, 2.30000E-001, 2.53348E+001, 2.55920E+001, 2.30000E-001, 2.50084E+001, 2.50407E+001, 2.30000E-001, 2.50070E+001, 2.50147E+001
 9.00944E+000, 2.50296E+001, 2.50638E+001, 2.83760E+001, 2.50623E+001, 2.50111E+001, 2.50100E+001, 2.50132E+001, 2.07320E-003, 2.06860E-001, 1.14442E+001, 2.30000E-001, 2.53569E+001, 2.58193E+001, 2.30000E-001, 2.50132E+001, 2.50732E+001, 2.30000E-001, 2.50106E+001, 2.50242E+001
 1.00030E+001, 2.50331E+001, 2.50675E+001, 2.91269E+001, 2.50974E+001, 2.50163E+001, 2.50144E+001, 2.50199E+001, 2.58984E-003, 2.06860E-001, 1.61897E+001, 2.30000E-001, 2.53720E+001, 2.60836E+001, 2.30000E-001, 2.50197E+001, 2.51181E+001, 2.30000E-001, 2.50153E+001, 2.50377E+001
 1.10031E+001, 2.50379E+001, 2.50710E+001, 2.98647E+001, 2.51428E+001, 2.50233E+001, 2.50201E+001, 2.50288E+001, 3.16476E-003, 2.06860E-001, 2.21032E+001, 2.30000E-001, 2.53802E+001, 2.63852E+001, 2.30000E-001, 2.50283E+001, 2.51750E+001, 2.30000E-001, 2.50214E+001, 2.50557E+001
 1.20083E+001, 2.50443E+001, 2.50749E+001, 3.05471E+001, 2.52010E+001, 2.50324E+001, 2.50274E+001, 2.50404E+001, 3.79636E-003, 2.06860E-001, 2.93906E+001, 2.30000E-001, 2.53832E+001, 2.67226E+001, 2.30000E-001, 2.50394E+001, 2.52465E+001, 2.30000E-001, 2.50291E+001, 2.50793E+001
 1.30019E+001, 2.50527E+001, 2.50807E+001, 3.11939E+001, 2.52736E+001, 2.50441E+001, 2.50365E+001, 2.50550E+001, 4.48792E-003, 2.06860E-001, 3.81524E+001, 2.30000E-001, 2.53933E+001, 2.70599E+001, 2.30000E-001, 2.50534E+001, 2.53334E+001, 2.30000E-001, 2.50387E+001, 2.51092E+001
 1.40048E+001, 2.50636E+001, 2.50900E+001, 3.20383E+001, 2.53634E+001, 2.50586E+001, 2.50477E+001, 2.50729E+001, 5.23448E-003, 2.06860E-001, 4.85360E+001, 2.30000E-001, 2.54335E+001, 2.74182E+001, 2.30000E-001, 2.50713E+001, 2.54361E+001, 2.30000E-001, 2.50504E+001, 2.51459E+001
 1.50074E+001, 2.50772E+001, 2.51086E+001, 3.29045E+001, 2.54791E+001, 2.50763E+001, 2.50613E+001, 2.50941E+001, 6.03915E-003, 2.06860E-001, 6.07401E+001, 2.30000E-001, 2.55131E+001, 2.78254E+001, 2.30000E-001, 2.50965E+001, 2.55572E+001, 2.30000E-001, 2.50647E+001, 2.51903E+001
 1.60018E+001, 2.50934E+001, 2.52165E+001, 3.39766E+001, 2.56782E+001, 2.50975E+001, 2.50774E+001, 2.51185E+001, 6.90162E-003, 2.06860E-001, 7.47857E+001, 2.30000E-001, 2.56884E+001, 2.82774E+001, 2.30000E-001, 2.51806E+001, 2.56962E+001, 2.30000E-001, 2.50819E+001, 2.52426E+001
 1.70052E+001, 2.51120E+001, 2.56808E+001, 3.55018E+001, 2.60810E+001, 2.51224E+001, 2.50960E+001, 2.51458E+001, 7.82490E-003, 2.06860E-001, 9.08558E+001, 2.30000E-001, 2.60373E+001, 2.87217E+001, 2.30000E-001, 2.55200E+001, 2.58521E+001, 2.30000E-001, 2.51025E+001, 2.53033E+001
 1.80030E+001, 2.51333E+001, 2.62045E+001, 3.66410E+001, 2.65941E+001, 2.51512E+001, 2.51173E+001, 2.51756E+001, 8.80046E-003, 2.06860E-001, 1.09119E+002, 2.30000E-001, 2.65778E+001, 2.91514E+001, 2.30000E-001, 2.63320E+001, 2.60284E+001, 2.30000E-001, 2.51275E+001, 2.53737E+001
 1.90007E+001, 2.51572E+001, 2.65068E+001, 3.70248E+001, 2.73555E+001, 2.51841E+001, 2.51411E+001, 2.52068E+001, 9.83400E-003, 2.06860E-001, 1.29628E+002, 2.30000E-001, 2.69552E+001, 2.95046E+001, 1.90262E-001, 2.75936E+001, 2.62260E+001, 2.30000E-001, 2.51581E+001, 2.54545E+001
 2.00013E+001, 2.51882E+001, 2.66647E+001, 3.77706E+001, 2.80848E+001, 2.52214E+001, 2.51672E+001, 2.52397E+001, 1.09311E-002, 2.06860E-001, 1.52616E+002, 2.30000E-001, 2.71752E+001, 2.97331E+001, 1.96813E-001, 2.84155E+001, 2.64453E+001, 2.30000E-001, 2.51962E+001, 2.55462E+001
 2.10054E+001, 2.52422E+001, 2.69042E+001, 3.87285E+001, 2.87234E+001, 2.52626E+001, 2.51955E+001, 2.52760E+001, 1.20811E-002, 2.06856E-001, 1.78281E+002, 2.30000E-001, 2.74994E+001, 2.97800E+001, 1.95370E-001, 2.88320E+001, 2.66863E+001, 2.30000E-001, 2.52457E+001, 2.56503E+001
 2.20028E+001, 2.52938E+001, 2.71380E+001, 4.02589E+001, 2.91695E+001, 2.53055E+001, 2.52257E+001, 2.53223E+001, 1.32897E-002, 2.06851E-001, 2.06651E+002, 2.30000E-001, 2.80475E+001, 2.96413E+001, 1.90892E-001, 2.91850E+001, 2.69464E+001, 2.30000E-001, 2.53139E+001, 2.57671E+001
 2.30003E+001, 2.53224E+001, 2.73908E+001, 4.29080E+001, 2.96581E+001, 2.53455E+001, 2.52574E+001, 2.54147E+001, 1.45533E-002, 2.06846E-001, 2.37810E+002, 2.30000E-001, 2.90660E+001, 2.95121E+001, 1.89480E-001, 2.97548E+001, 2.72203E+001, 2.30000E-001, 2.54169E+001, 2.58944E+001
 2.40049E+001, 2.53454E+001, 2.77916E+001, 4.52850E+001, 3.02333E+001, 2.53761E+001, 2.52906E+001, 2.57067E+001, 1.58857E-002, 2.06838E-001, 2.72114E+002, 2.10232E-001, 3.02459E+001, 2.94764E+001, 1.91534E-001, 3.05634E+001, 2.75072E+001, 2.30000E-001, 2.56206E+001, 2.60294E+001
 2.50029E+001, 2.53764E+001, 2.81065E+001, 4.41531E+001, 3.09718E+001, 2.53979E+001, 2.53499E+001, 2.63120E+001, 1.72724E-002, 2.06826E-001, 3.09662E+002, 1.85780E-001, 3.13786E+001, 2.94420E+001, 1.97379E-001, 3.16693E+001, 2.78046E+001, 2.30000E-001, 2.64677E+001, 2.61679E+001
 2.60020E+001, 2.54094E+001, 2.85635E+001, 4.22847E+001, 3.20909E+001, 2.54235E+001, 2.59361E+001, 2.69296E+001, 1.79944E-002, 2.06807E-001, 3.49996E+002, 1.88915E-001, 3.36431E+001, 2.94709E+001, 2.03922E-001, 3.28501E+001, 2.80951E+001, 1.88354E-001, 2.78197E+001, 2.63080E+001
 2.70050E+001, 2.54495E+001, 2.87627E+001, 4.10972E+001, 3.24296E+001, 2.54496E+001, 2.70408E+001, 2.76284E+001, 1.79925E-002, 2.06786E-001, 3.91033E+002, 1.92451E-001, 3.36997E+001, 2.95093E+001, 2.09235E-001, 3.33172E+001, 2.83122E+001, 1.48303E-001, 2.86998E+001, 2.64847E+001
 2.80033E+001, 2.55066E+001, 2.92185E+001, 3.90702E+001, 3.26143E+001, 2.54738E+001, 2.72766E+001, 2.82689E+001, 1.80000E-002, 2.06773E-001, 4.32282E+002, 2.07260E-001, 3.61133E+001, 2.96582E+001, 2.16448E-001, 3.32467E+001, 2.84619E+001, 1.44091E-001, 2.91735E+001, 2.67212E+001
 2.90039E+001, 2.55914E+001, 3.13442E+001, 3.80097E+001, 3.23424E+001, 2.55099E+001, 2.70633E+001, 2.91731E+001, 1.79839E-002, 2.06770E-001, 4.73452E+002, 2.20964E-001, 3.75099E+001, 3.01334E+001, 2.23863E-001, 3.25215E+001, 2.86003E+001, 1.29652E-001, 2.93169E+001, 2.67299E+001
 3.00030E+001, 2.57127E+001, 3.02353E+001, 3.51144E+001, 3.24591E+001, 2.55488E+001, 2.64959E+001, 2.97359E+001, 1.79994E-002, 2.06769E-001, 5.14582E+002, 2.02733E-001, 3.30756E+001, 3.08056E+001, 2.26110E-001, 3.23459E+001, 2.86481E+001, 1.09758E-001, 2.93951E+001, 2.66582E+001
 3.10004E+001, 2.58586E+001, 2.88666E+001, 3.65397E+001, 3.22546E+001, 2.55900E+001, 2.59207E+001, 2.96073E+001, 1.79986E-002, 2.06765E-001, 5.55581E+002, 2.14430E-001, 3.13930E+001, 3.14989E+001, 2.29504E-001, 3.16979E+001, 2.85340E+001, 9.83032E-002, 3.03200E+001, 2.65786E+001
 3.20010E+001, 2.60315E+001, 3.01448E+001, 3.64907E+001, 3.19737E+001, 2.56302E+001, 2.63006E+001, 3.00024E+001, 1.79936E-002, 2.06755E-001, 5.96585E+002, 2.27207E-001, 3.13147E+001, 3.32121E+001, 2.27494E-001, 3.19706E+001, 2.84540E+001, 1.12733E-001, 3.11924E+001, 2.67384E+001
 3.30023E+001, 2.63603E+001, 3.17745E+001, 4.00974E+001, 3.19130E+001, 2.56703E+001, 2.69694E+001, 3.13040E+001, 1.79903E-002, 2.06735E-001, 6.37675E+002, 2.03029E-001, 3.65099E+001, 3.28876E+001, 2.19879E-001, 3.20927E+001, 2.85241E+001, 1.25018E-001, 3.14941E+001, 2.69253E+001
 3.40027E+001, 2.68259E+001, 3.13282E+001, 4.76311E+001, 3.17579E+001, 2.57135E+001, 2.71696E+001, 3.17644E+001, 1.79960E-002, 2.06716E-001, 6.78459E+002, 2.03107E-001, 3.87559E+001, 3.19324E+001, 2.05888E-001, 3.29450E+001, 2.87453E+001, 1.16326E-001, 3.15683E+001, 2.70027E+001
 3.50019E+001, 2.74796E+001, 3.19530E+001, 4.67374E+001, 3.30937E+001, 2.57567E+001, 2.72505E+001, 3.19337E+001, 1.80039E-002, 2.06693E-001, 7.19288E+002, 2.13707E-001, 4.25405E+001, 3.14241E+001, 2.10022E-001, 3.41937E+001, 2.90897E+001, 1.05391E-001, 3.17220E+001, 2.70349E+001
 3.60031E+001, 2.79864E+001, 3.15917E+001, 5.03178E+001, 3.48297E+001, 2.57976E+001, 2.76367E+001, 3.21221E+001, 1.79939E-002, 2.06666E-001, 7.60044E+002, 2.16821E-001, 4.55101E+001, 3.21675E+001, 2.18202E-001, 3.51455E+001, 2.95097E+001, 9.93544E-002, 3.18152E+001, 2.71184E+001
 3.70036E+001, 2.79014E+001, 3.22315E+001, 4.76542E+001, 3.37358E+001, 2.58377E+001, 2.80339E+001, 3.22492E+001, 1.79976E-002, 2.06598E-001, 8.00735E+002, 2.04185E-001, 4.01348E+001, 3.29578E+001, 2.21516E-001, 3.41812E+001, 2.98654E+001, 9.31005E-002, 3.20870E+001, 2.71778E+001
 3.80041E+001, 2.78483E+001, 3.21148E+001, 5.22912E+001, 3.48790E+001, 2.58803E+001, 2.79946E+001, 3.24029E+001, 1.79953E-002, 2.06543E-001, 8.41445E+002, 1.82734E-001, 3.75243E+001, 3.37879E+001, 2.09886E-001, 3.58883E+001, 2.99184E+001, 9.38836E-002, 3.22791E+001, 2.72476E+001
 3.90046E+001, 2.78070E+001, 3.24483E+001, 5.25931E+001, 3.54518E+001, 2.59249E+001, 2.80420E+001, 3.26516E+001, 1.79963E-002, 2.06546E-001, 8.82245E+002, 2.04386E-001, 3.58752E+001, 3.48417E+001, 1.94177E-001, 3.60174E+001, 2.96117E+001, 9.64755E-002, 3.21668E+001, 2.73359E+001
 4.00014E+001, 2.90015E+001, 3.45663E+001, 5.58234E+001, 3.56003E+001, 2.59718E+001, 2.84015E+001, 3.26223E+001, 1.79884E-002, 2.06561E-001, 9.22984E+002, 2.03162E-001, 4.63135E+001, 3.57009E+001, 1.82510E-001, 3.67799E+001, 2.97513E+001, 9.28029E-002, 3.21982E+001, 2.74182E+001
 4.10005E+001, 2.89497E+001, 3.45846E+001, 5.77062E+001, 3.69095E+001, 2.60196E+001, 2.89394E+001, 3.26856E+001, 1.80040E-002, 2.06562E-001, 9.63571E+002, 1.90931E-001, 4.92239E+001, 3.30201E+001, 2.02362E-001, 3.79196E+001, 3.05402E+001, 8.62920E-002, 3.24851E+001, 2.75082E+001
 4.20028E+001, 2.92482E+001, 3.31853E+001, 5.56848E+001, 3.80282E+001, 2.60688E+001, 2.93103E+001, 3.28079E+001, 1.79874E-002, 2.06465E-001, 1.00424E+003, 2.22942E-001, 5.65041E+001, 3.33655E+001, 2.22676E-001, 3.87234E+001, 3.13137E+001, 8.32275E-002, 3.27609E+001, 2.75977E+001
 4.30037E+001, 2.93684E+001, 3.29922E+001, 5.15712E+001, 3.88120E+001, 2.61182E+001, 2.92670E+001, 3.29989E+001, 1.80009E-002, 2.06423E-001, 1.04507E+003, 2.14045E-001, 4.66792E+001, 3.38882E+001, 2.26088E-001, 3.89204E+001, 3.16370E+001, 8.45660E-002, 3.28199E+001, 2.76800E+001
 4.40009E+001, 2.94057E+001, 3.33950E+001, 5.24801E+001, 3.89198E+001, 2.61671E+001, 2.92491E+001, 3.30900E+001, 1.79955E-002, 2.06408E-001, 1.08573E+003, 2.15515E-001, 4.62414E+001, 3.36864E+001, 2.13988E-001, 3.96769E+001, 3.13511E+001, 8.81203E-002, 3.29337E+001, 2.77705E+001
 4.50022E+001, 2.97242E+001, 3.41319E+001, 5.36550E+001, 3.78711E+001, 2.62169E+001, 2.91489E+001, 3.34195E+001, 1.79897E-002, 2.06376E-001, 1.12632E+003, 2.03252E-001, 4.30003E+001, 3.54414E+001, 1.79137E-001, 3.85361E+001, 3.07314E+001, 9.26309E-002, 3.33250E+001, 2.78868E+001
 4.60010E+001, 3.08709E+001, 3.47403E+001, 5.12160E+001, 3.83053E+001, 2.62640E+001, 2.93308E+001, 3.38078E+001, 1.80020E-002, 2.06342E-001, 1.16698E+003, 2.30000E-001, 3.59507E+001, 3.87943E+001, 1.71794E-001, 3.86721E+001, 3.10052E+001, 9.50107E-002, 3.40368E+001, 2.80084E+001
 4.70003E+001, 3.09411E+001, 3.49563E+001, 5.25493E+001, 3.98359E+001, 2.63091E+001, 2.94977E+001, 3.45520E+001, 1.79959E-002, 2.06321E-001, 1.20752E+003, 2.30000E-001, 3.63782E+001, 3.84365E+001, 2.15151E-001, 4.01887E+001, 3.27596E+001, 9.63467E-002, 3.44880E+001, 2.81251E+001
 4.80044E+001, 3.08568E+001, 3.44093E+001, 5.55411E+001, 3.91924E+001, 2.63574E+001, 2.92444E+001, 3.50236E+001, 1.79903E-002, 2.06301E-001, 1.24817E+003, 2.30000E-001, 3.63356E+001, 3.85201E+001, 2.13518E-001, 3.97680E+001, 3.24499E+001, 9.78931E-002, 3.49164E+001, 2.82337E+001
 4.90028E+001, 3.10143E+001, 3.46480E+001, 5.61807E+001, 3.92818E+001, 2.64046E+001, 2.90645E+001, 3.55044E+001, 1.80007E-002, 2.06276E-001, 1.28875E+003, 1.87005E-001, 3.86970E+001, 3.76730E+001, 1.75550E-001, 3.94954E+001, 3.16633E+001, 9.67989E-002, 3.54775E+001, 2.83045E+001
 5.00011E+001, 3.09010E+001, 3.50917E+001, 5.37026E+001, 4.01192E+001, 2.64450E+001, 2.92202E+001, 3.59964E+001, 1.79875E-002, 2.06247E-001, 1.32914E+003, 2.20336E-001, 4.35703E+001, 3.71294E+001, 1.93369E-001, 4.15417E+001, 3.24518E+001, 9.44895E-002, 3.57879E+001, 2.83547E+001
 5.10000E+001, 3.13708E+001, 3.46648E+001, 5.08666E+001, 4.02966E+001, 2.64762E+001, 2.95595E+001, 3.64290E+001, 1.79968E-002, 2.06221E-001, 1.36965E+003, 2.26678E-001, 5.14387E+001, 3.47303E+001, 2.02105E-001, 4.18175E+001, 3.28491E+001, 9.12595E-002, 3.59826E+001, 2.84218E+001
 5.20055E+001, 3.15907E+001, 3.53694E+001, 4.76695E+001, 3.99370E+001, 2.64921E+001, 2.97509E+001, 3.66438E+001, 1.79968E-002, 2.06188E-001, 1.41035E+003, 2.21469E-001, 4.66933E+001, 3.50917E+001, 2.22749E-001, 4.03973E+001, 3.39184E+001, 8.95781E-002, 3.61887E+001, 2.84819E+001
 5.30015E+001, 3.18225E+001, 3.65014E+001, 4.82297E+001, 3.95326E+001, 2.64903E+001, 2.99199E+001, 3.69584E+001, 1.79967E-002, 2.06154E-001, 1.45100E+003, 2.12241E-001, 4.49087E+001, 3.59148E+001, 2.20355E-001, 4.02691E+001, 3.39209E+001, 8.78659E-002, 3.64145E+001, 2.84929E+001
 5.40043E+001, 3.22679E+001, 3.70804E+001, 5.05809E+001, 3.94733E+001, 2.64932E+001, 3.03450E+001, 3.71199E+001, 1.79933E-002, 2.06134E-001, 1.49148E+003, 1.93612E-001, 4.05904E+001, 3.83466E+001, 2.05355E-001, 4.16356E+001, 3.38395E+001, 8.39015E-002, 3.63355E+001, 2.84807E+001
 5.50008E+001, 3.26465E+001, 3.67254E+001, 5.20647E+001, 3.96913E+001, 2.65346E+001, 3.06936E+001, 3.73667E+001, 1.79961E-002, 2.06114E-001, 1.53201E+003, 2.11147E-001, 4.89012E+001, 3.67903E+001, 2.10785E-001, 4.12850E+001, 3.43067E+001, 7.97610E-002, 3.61910E+001, 2.85214E+001
 5.60020E+001, 3.28194E+001, 3.62079E+001, 5.36973E+001, 3.95430E+001, 2.65887E+001, 3.08121E+001, 3.75941E+001, 1.79967E-002, 2.06092E-001, 1.57223E+003, 2.28830E-001, 5.58176E+001, 3.59250E+001, 1.93476E-001, 4.15009E+001, 3.39963E+001, 7.76741E-002, 3.67445E+001, 2.85943E+001
 5.70043E+001, 3.33781E+001, 3.67422E+001, 5.56523E+001, 3.98573E+001, 2.66216E+001, 3.07882E+001, 3.77417E+001, 1.79959E-002, 2.06071E-001, 1.61250E+003, 2.21228E-001, 5.22948E+001, 3.69028E+001, 1.97763E-001, 4.18597E+001, 3.42578E+001, 7.45656E-002, 3.71228E+001, 2.85990E+001
 5.80002E+001, 3.34421E+001, 3.78995E+001, 5.35366E+001, 4.05981E+001, 2.66906E+001, 3.11521E+001, 3.81049E+001, 1.79931E-002, 2.06049E-001, 1.65261E+003, 2.18590E-001, 5.08319E+001, 3.77831E+001, 1.93896E-001, 4.25896E+001, 3.43313E+001, 7.29127E-002, 3.71625E+001, 2.86740E+001
 5.90038E+001, 3.35838E+001, 3.81923E+001, 5.04827E+001, 4.16285E+001, 2.68142E+001, 3.17168E+001, 3.82142E+001, 1.79960E-002, 2.06024E-001, 1.69286E+003, 2.21919E-001, 5.02309E+001, 3.75639E+001, 1.85865E-001, 4.27131E+001, 3.43274E+001, 7.08453E-002, 3.71394E+001, 2.87850E+001
 6.00042E+001, 3.38187E+001, 3.84560E+001, 5.33208E+001, 4.11576E+001, 2.68303E+001, 3.19507E+001, 3.84653E+001, 1.79916E-002, 2.05998E-001, 1.73296E+003, 2.07457E-001, 4.52651E+001, 3.90992E+001, 1.84838E-001, 4.24145E+001, 3.44880E+001, 6.62226E-002, 3.72745E+001, 2.86725E+001
