s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.27537E-007, 6.83513E-010,-3.62537E-006, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-3.75223E-006, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.99270E-002
 1.00481E+000, 8.96841E-006, 0.00000E+000,-3.64379E-008, 1.97708E-013,-2.48615E-006,-3.58853E-024, 2.53004E-006, 0.00000E+000, 8.71214E-006, 8.97586E-006, 0.00000E+000, 2.34618E-010, 0.00000E+000,-1.28887E-002
 2.00962E+000, 6.55738E-005, 0.00000E+000,-1.26638E-005,-2.91098E-012,-1.34394E-005,-2.48713E-023, 1.57430E-005, 0.00000E+000, 5.44625E-005, 5.52136E-005, 0.00000E+000, 1.62669E-009, 0.00000E+000, 9.37725E-002
 3.00314E+000, 1.79462E-004, 0.00000E+000,-3.93198E-005,-6.88364E-011,-2.91409E-005,-6.69588E-023, 4.44076E-005, 0.00000E+000, 1.54006E-004, 1.55409E-004, 0.00000E+000, 4.38230E-009, 0.00000E+000, 3.91888E-001
 4.00796E+000, 3.50922E-004, 0.00000E+000,-7.83206E-005,-2.71837E-010,-3.56378E-005,-1.29950E-022, 9.48856E-005, 0.00000E+000, 3.29866E-004, 3.31849E-004, 0.00000E+000, 8.50927E-009, 0.00000E+000, 1.03718E+000
 5.00148E+000, 5.79795E-004, 0.00000E+000,-1.33385E-004,-2.35728E-009,-4.40271E-005,-2.13680E-022, 1.61193E-004, 0.00000E+000, 5.60914E-004, 5.63574E-004, 0.00000E+000, 1.40024E-008, 0.00000E+000, 2.12183E+000
 6.00629E+000, 8.66267E-004, 0.00000E+000,-2.05052E-004,-2.05878E-007,-4.80084E-005,-3.18179E-022, 2.45759E-004, 0.00000E+000, 8.55547E-004, 8.58760E-004, 0.00000E+000, 2.08670E-008, 0.00000E+000, 3.79537E+000
 7.01110E+000, 1.21223E-003, 0.00000E+000,-2.85702E-004,-3.88069E-007,-5.30945E-005,-4.44095E-022, 3.50052E-004, 0.00000E+000, 1.21896E-003, 1.22310E-003, 0.00000E+000, 2.91494E-008, 0.00000E+000, 6.17964E+000
 8.00462E+000, 1.61392E-003, 0.00000E+000,-3.78899E-004,-6.51330E-007,-5.32046E-005,-5.89915E-022, 4.73735E-004, 0.00000E+000, 1.65007E-003, 1.65490E-003, 0.00000E+000, 3.87567E-008, 0.00000E+000, 9.37085E+000
 9.00943E+000, 2.07320E-003, 0.00000E+000,-4.85925E-004,-9.34018E-007,-4.34863E-005,-7.56310E-022, 6.18807E-004, 0.00000E+000, 2.15607E-003, 2.16166E-003, 0.00000E+000, 4.97353E-008, 0.00000E+000, 1.35877E+001
 1.00030E+001, 2.58984E-003, 0.00000E+000,-6.02032E-004,-1.34497E-006,-3.34958E-005,-9.43091E-022, 7.83391E-004, 0.00000E+000, 2.72989E-003, 2.73636E-003, 0.00000E+000, 6.20801E-008, 0.00000E+000, 1.88666E+001
 1.10031E+001, 3.16476E-003, 0.00000E+000,-7.33462E-004,-1.63429E-006,-1.76467E-005,-1.14970E-021, 9.67507E-004, 0.00000E+000, 3.37219E-003, 3.37952E-003, 0.00000E+000, 7.57612E-008, 0.00000E+000, 2.54308E+001
 1.20083E+001, 3.79636E-003, 0.00000E+000,-8.67411E-004,-1.84443E-006, 8.06700E-006,-1.37775E-021, 1.17734E-003, 0.00000E+000, 4.10523E-003, 4.11251E-003, 0.00000E+000, 9.08902E-008, 0.00000E+000, 3.34606E+001
 1.30019E+001, 4.48792E-003, 0.00000E+000,-9.99874E-004,-1.90970E-006, 2.78529E-005,-1.62520E-021, 1.40936E-003, 0.00000E+000, 4.91575E-003, 4.92335E-003, 0.00000E+000, 1.07338E-007, 0.00000E+000, 4.29628E+001
 1.40048E+001, 5.23448E-003, 0.00000E+000,-1.15329E-003,-2.27684E-006, 5.59160E-005,-1.89253E-021, 1.65838E-003, 0.00000E+000, 5.78510E-003, 5.79320E-003, 0.00000E+000, 1.25141E-007, 0.00000E+000, 5.42491E+001
 1.50074E+001, 6.03915E-003, 0.00000E+000,-1.34145E-003,-2.18291E-006, 1.14925E-004,-2.18103E-021, 1.92925E-003, 0.00000E+000, 6.73190E-003, 6.73969E-003, 0.00000E+000, 1.44393E-007, 0.00000E+000, 6.73781E+001
 1.60018E+001, 6.90162E-003, 0.00000E+000,-1.54900E-003,-2.71654E-006, 1.79779E-004,-2.48822E-021, 2.21761E-003, 0.00000E+000, 7.73825E-003, 7.74729E-003, 0.00000E+000, 1.64941E-007, 0.00000E+000, 8.23463E+001
 1.70052E+001, 7.82490E-003, 0.00000E+000,-1.77110E-003,-3.21292E-006, 2.42886E-004,-2.81521E-021, 2.52394E-003, 0.00000E+000, 8.80748E-003, 8.81742E-003, 0.00000E+000, 1.86866E-007, 0.00000E+000, 9.95365E+001
 1.80030E+001, 8.80046E-003, 0.00000E+000,-1.99537E-003,-3.35436E-006, 3.18666E-004,-3.16217E-021, 2.85538E-003, 0.00000E+000, 9.96594E-003, 9.97579E-003, 0.00000E+000, 2.10189E-007, 0.00000E+000, 1.18876E+002
 1.90007E+001, 9.83400E-003, 0.00000E+000,-2.25180E-003,-3.93565E-006, 4.10094E-004,-3.52785E-021, 3.20344E-003, 0.00000E+000, 1.11812E-002, 1.11918E-002, 0.00000E+000, 2.34821E-007, 0.00000E+000, 1.40572E+002
 2.00013E+001, 1.09311E-002, 0.00000E+000,-2.50012E-003,-4.18269E-006, 4.93418E-004,-3.91327E-021, 3.57696E-003, 0.00000E+000, 1.24868E-002, 1.24972E-002, 0.00000E+000, 2.60852E-007, 0.00000E+000, 1.64869E+002
 2.10054E+001, 1.20811E-002, 0.00000E+000,-2.76424E-003,-4.04148E-006, 5.83907E-004,-4.31945E-021, 3.96819E-003, 0.00000E+000, 1.38535E-002, 1.38649E-002, 0.00000E+000, 2.88340E-007, 0.00000E+000, 1.91919E+002
