s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg,kg/kg
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door,tr_fire_z03,tr_fire_z08,tr_fire_z13,tr_fire_z18,tr_fire_z22,tr_mid_z03,tr_mid_z08,tr_mid_z13,tr_mid_z18,tr_mid_z22,tr_door_z03,tr_door_z08,tr_door_z13,tr_door_z18,tr_door_z22,tr_roommean,tr_uppermean,tr_lowermean,tr_plenummean
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-2.50161E-005, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000
 1.00481E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 8.96841E-006, 2.06860E-001,-9.74748E-003, 2.30000E-001, 1.49310E+001, 2.50001E+001, 2.30000E-001, 8.96754E+000, 2.50000E+001, 2.30000E-001, 2.25785E+001, 2.50000E+001, 3.56908E-014, 6.43239E-025, 1.06560E-037, 4.72637E-052, 2.05064E-064, 2.83548E-072, 3.14513E-082, 3.96942E-095, 6.08218E-110, 9.51518E-123, 9.78233E-193, 3.62261E-204, 5.69413E-220, 2.38774E-238, 6.18094E-255, 1.70842E-011, 2.33259E-045, 3.93002E-011, 0.00000E+000
 2.00962E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 6.55739E-005, 2.06860E-001, 3.75252E-002, 2.30000E-001, 2.50000E+001, 2.50063E+001, 2.30000E-001, 1.84777E+001, 2.50000E+001, 2.30000E-001, 2.41171E+001, 2.50000E+001, 2.32842E-011, 1.42432E-019, 1.17844E-029, 3.75620E-041, 4.21588E-051, 3.43079E-057, 4.27707E-064, 1.14712E-073, 6.86122E-085, 1.01405E-094, 3.10651E-153, 4.52966E-160, 4.65301E-170, 9.59257E-182, 3.72060E-192, 2.53327E-010, 1.72456E-036, 5.82749E-010, 1.37630E-237
 3.00315E+000, 2.50002E+001, 2.50002E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 1.79462E-004, 2.06860E-001, 1.94128E-001, 2.30000E-001, 2.50002E+001, 2.50225E+001, 2.30000E-001, 2.50002E+001, 2.50001E+001, 2.30000E-001, 2.50002E+001, 2.50001E+001, 6.09512E-010, 1.05935E-016, 2.94615E-025, 3.89238E-035, 9.19712E-044, 6.12139E-049, 2.27045E-054, 2.68896E-062, 8.81653E-072, 3.42768E-080, 1.54275E-133, 1.02286E-138, 1.06121E-146, 2.89170E-156, 6.49466E-165, 1.08749E-009, 1.59639E-031, 2.50164E-009, 3.24791E-206
 4.00796E+000, 2.50012E+001, 2.50005E+001, 2.50003E+001, 2.50002E+001, 2.50004E+001, 2.50005E+001, 2.50004E+001, 3.50923E-004, 2.06860E-001, 5.57825E-001, 2.30000E-001, 2.50005E+001, 2.50242E+001, 2.30000E-001, 2.50005E+001, 2.50002E+001, 2.30000E-001, 2.50005E+001, 2.50002E+001, 3.16030E-009, 1.11175E-014, 3.62100E-022, 5.77464E-031, 1.08463E-038, 2.79362E-043, 9.34668E-048, 1.46431E-054, 7.37341E-063, 2.64869E-070, 5.11891E-120, 3.32619E-124, 5.98797E-131, 3.43962E-139, 9.67841E-147, 2.92979E-009, 5.13311E-028, 6.73963E-009, 1.93789E-185
 5.00148E+000, 2.50173E+001, 2.50011E+001, 2.50007E+001, 2.50005E+001, 2.50010E+001, 2.50010E+001, 2.50009E+001, 5.79796E-004, 2.06860E-001, 1.22559E+000, 2.30000E-001, 2.50010E+001, 2.50250E+001, 2.30000E-001, 2.50010E+001, 2.50005E+001, 2.30000E-001, 2.50010E+001, 2.50005E+001, 5.33544E-009, 1.62143E-009, 4.29032E-011, 2.91506E-021, 2.18223E-033, 3.84830E-039, 6.05660E-043, 6.57163E-049, 2.62686E-056, 5.02535E-063, 6.35456E-110, 1.88577E-113, 2.54219E-119, 1.27723E-126, 2.21282E-133, 6.18105E-009, 3.79422E-011, 1.33358E-008, 3.51138E-170
 6.00629E+000, 2.50244E+001, 2.50130E+001, 2.51647E+001, 2.50008E+001, 2.50018E+001, 2.50019E+001, 2.50016E+001, 8.66270E-004, 2.06860E-001, 2.28034E+000, 2.30000E-001, 2.51170E+001, 2.50314E+001, 2.30000E-001, 2.50019E+001, 2.50008E+001, 2.30000E-001, 2.50018E+001, 2.50008E+001, 7.64718E-009, 7.16902E-009, 6.56022E-009, 2.85587E-009, 6.34359E-008, 6.96069E-036, 3.41178E-039, 1.76211E-044, 4.03833E-051, 3.13918E-057, 8.83098E-102, 8.04144E-105, 5.12318E-110, 1.42063E-116, 1.03746E-122, 1.12556E-008, 3.62114E-009, 2.02987E-008, 5.83927E-158
 7.01110E+000, 2.50245E+001, 2.50443E+001, 2.64613E+001, 2.50012E+001, 2.50027E+001, 2.50029E+001, 2.50025E+001, 1.21224E-003, 2.06860E-001, 3.59840E+000, 2.30000E-001, 2.54765E+001, 2.50317E+001, 2.30000E-001, 2.50029E+001, 2.50012E+001, 2.30000E-001, 2.50029E+001, 2.50011E+001, 9.88768E-009, 9.99034E-009, 1.47670E-008, 1.54026E-008, 3.44564E-007, 2.95765E-033, 3.49795E-036, 6.17392E-041, 6.14893E-047, 1.65234E-052, 4.57981E-095, 9.62080E-098, 2.22381E-102, 2.43173E-108, 5.83583E-114, 1.85968E-008, 1.31122E-008, 2.80770E-008, 6.58591E-148
 8.00462E+000, 2.50246E+001, 2.50553E+001, 2.72127E+001, 2.50015E+001, 2.50037E+001, 2.50040E+001, 2.50033E+001, 1.61392E-003, 2.06860E-001, 5.02491E+000, 2.30000E-001, 2.57932E+001, 2.50325E+001, 2.30000E-001, 2.50041E+001, 2.50015E+001, 2.30000E-001, 2.50040E+001, 2.50015E+001, 1.08529E-008, 1.19774E-008, 1.82157E-008, 2.17925E-008, 4.92957E-007, 4.09486E-031, 9.69568E-034, 4.66320E-038, 1.64746E-043, 6.26058E-043, 2.05438E-089, 8.43557E-092, 5.18369E-096, 1.80814E-101, 1.15556E-106, 2.85212E-008, 2.97444E-008, 3.60723E-008, 1.60984E-139
