s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,MLR_TRACER,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 9.90273E-027, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.99270E-002
 1.00481E+000, 8.96841E-006, 0.00000E+000,-4.54970E-006, 3.18727E-012,-3.93466E-006,-3.60149E-024,-9.81327E-008, 0.00000E+000, 3.56826E-007, 3.85918E-007, 0.00000E+000, 2.34618E-010, 0.00000E+000, 3.83311E-012,-2.91003E-002
 2.00962E+000, 6.55739E-005, 0.00000E+000,-1.27537E-005, 4.04228E-013,-1.96232E-005,-2.49612E-023, 1.32577E-005, 0.00000E+000, 4.58183E-005, 4.64547E-005, 0.00000E+000, 1.62669E-009, 0.00000E+000, 2.65763E-011, 6.08023E-002
 3.00314E+000, 1.79462E-004, 0.00000E+000,-3.97199E-005,-2.07667E-012,-5.22534E-005,-6.72009E-023, 3.50801E-005, 0.00000E+000, 1.21370E-004, 1.22569E-004, 0.00000E+000, 4.38230E-009, 0.00000E+000, 7.15964E-011, 2.96339E-001
 4.00796E+000, 3.50923E-004, 0.00000E+000,-7.91639E-005,-2.83677E-012,-8.56630E-005,-1.30420E-022, 7.46963E-005, 0.00000E+000, 2.59075E-004, 2.60792E-004, 0.00000E+000, 8.50927E-009, 0.00000E+000, 1.39021E-010, 8.04336E-001
 5.00148E+000, 5.79796E-004, 0.00000E+000,-1.35653E-004,-2.81363E-011,-1.33641E-004,-2.14452E-022, 1.24730E-004, 0.00000E+000, 4.32990E-004, 4.35232E-004, 0.00000E+000, 1.40024E-008, 0.00000E+000, 2.28767E-010, 1.64367E+000
 6.00629E+000, 8.66270E-004, 0.00000E+000,-2.08828E-004,-1.85255E-009,-2.03258E-004,-3.19330E-022, 1.82847E-004, 0.00000E+000, 6.35692E-004, 6.37029E-004, 0.00000E+000, 2.08670E-008, 0.00000E+000, 3.40917E-010, 2.89015E+000
 7.01110E+000, 1.21224E-003, 0.00000E+000,-2.94110E-004,-7.72561E-009,-4.24188E-004,-4.45702E-022, 1.99765E-004, 0.00000E+000, 6.92747E-004, 6.93698E-004, 0.00000E+000, 2.91494E-008, 0.00000E+000, 4.76233E-010, 4.25249E+000
 8.00462E+000, 1.61392E-003, 0.00000E+000,-3.94149E-004,-1.71992E-008,-6.74470E-004,-5.92053E-022, 2.21370E-004, 0.00000E+000, 7.65585E-004, 7.66658E-004, 0.00000E+000, 3.87567E-008, 0.00000E+000, 6.33192E-010, 5.74522E+000
 9.00943E+000, 2.07321E-003, 0.00000E+000,-5.10316E-004,-2.79314E-008,-9.44139E-004,-7.59058E-022, 2.51864E-004, 0.00000E+000, 8.69011E-004, 8.70595E-004, 0.00000E+000, 4.97353E-008, 0.00000E+000, 8.12557E-010, 7.46245E+000
 1.00030E+001, 2.58985E-003, 0.00000E+000,-6.36013E-004,-4.46039E-008,-1.24109E-003,-9.46532E-022, 2.90790E-004, 0.00000E+000, 1.00193E-003, 1.00350E-003, 0.00000E+000, 6.20801E-008, 0.00000E+000, 1.01424E-009, 9.42306E+000
 1.10088E+001, 3.16640E-003, 0.00000E+000,-7.77572E-004,-5.63645E-008,-1.57994E-003,-1.15453E-021, 3.30720E-004, 0.00000E+000, 1.13780E-003, 1.13956E-003, 0.00000E+000, 7.58017E-008, 0.00000E+000, 1.23842E-009, 1.16806E+001
