s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-2.50161E-005, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001
 1.00481E+000, 2.50000E+001, 2.50000E+001, 2.49999E+001, 2.49999E+001, 2.50000E+001, 2.49999E+001, 2.50000E+001, 8.96841E-006, 2.06860E-001,-2.75892E-002, 2.30000E-001, 2.41193E+001, 2.50001E+001, 2.30000E-001, 2.46839E+001, 2.49999E+001, 2.30000E-001, 2.45823E+001, 2.49999E+001
 2.00962E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 6.55739E-005, 2.06860E-001, 1.59325E-002, 2.30000E-001, 2.50000E+001, 2.50063E+001, 2.30000E-001, 2.36571E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001
 3.00315E+000, 2.50002E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 1.79462E-004, 2.06860E-001, 1.73242E-001, 2.30000E-001, 2.50001E+001, 2.50225E+001, 2.30000E-001, 2.50001E+001, 2.50001E+001, 2.30000E-001, 2.50001E+001, 2.50000E+001
 4.00796E+000, 2.50012E+001, 2.50005E+001, 2.50003E+001, 2.50002E+001, 2.50004E+001, 2.50004E+001, 2.50004E+001, 3.50923E-004, 2.06860E-001, 5.37564E-001, 2.30000E-001, 2.50004E+001, 2.50241E+001, 2.30000E-001, 2.50004E+001, 2.50002E+001, 2.30000E-001, 2.50004E+001, 2.50002E+001
 5.00148E+000, 2.50173E+001, 2.50011E+001, 2.50007E+001, 2.50005E+001, 2.50009E+001, 2.50010E+001, 2.50009E+001, 5.79796E-004, 2.06860E-001, 1.20593E+000, 2.30000E-001, 2.50007E+001, 2.50248E+001, 2.30000E-001, 2.50010E+001, 2.50005E+001, 2.30000E-001, 2.50010E+001, 2.50004E+001
 6.00629E+000, 2.50244E+001, 2.50130E+001, 2.51647E+001, 2.50008E+001, 2.50017E+001, 2.50018E+001, 2.50016E+001, 8.66270E-004, 2.06860E-001, 2.26127E+000, 2.30000E-001, 2.51169E+001, 2.50311E+001, 2.30000E-001, 2.50018E+001, 2.50008E+001, 2.30000E-001, 2.50018E+001, 2.50008E+001
 7.01110E+000, 2.50245E+001, 2.50443E+001, 2.64613E+001, 2.50012E+001, 2.50027E+001, 2.50029E+001, 2.50025E+001, 1.21224E-003, 2.06860E-001, 3.57998E+000, 2.30000E-001, 2.54745E+001, 2.50313E+001, 2.30000E-001, 2.50029E+001, 2.50012E+001, 2.30000E-001, 2.50029E+001, 2.50011E+001
 8.00462E+000, 2.50247E+001, 2.50553E+001, 2.72120E+001, 2.50015E+001, 2.50036E+001, 2.50040E+001, 2.50033E+001, 1.61392E-003, 2.06860E-001, 5.00716E+000, 2.30000E-001, 2.57885E+001, 2.50320E+001, 2.30000E-001, 2.50041E+001, 2.50015E+001, 2.30000E-001, 2.50040E+001, 2.50014E+001
 9.00944E+000, 2.50253E+001, 2.50579E+001, 2.79026E+001, 2.50019E+001, 2.50046E+001, 2.50052E+001, 2.50042E+001, 2.07321E-003, 2.06860E-001, 6.60415E+000, 2.10858E-001, 2.61968E+001, 2.50395E+001, 2.30000E-001, 2.50053E+001, 2.50019E+001, 2.30000E-001, 2.50053E+001, 2.50018E+001
 1.00030E+001, 2.50266E+001, 2.50587E+001, 2.85968E+001, 2.50023E+001, 2.50057E+001, 2.50066E+001, 2.50052E+001, 2.58985E-003, 2.06860E-001, 8.44713E+000, 2.11641E-001, 2.67020E+001, 2.50492E+001, 2.30000E-001, 2.50068E+001, 2.50023E+001, 2.30000E-001, 2.50067E+001, 2.50022E+001
 1.10098E+001, 2.50283E+001, 2.50590E+001, 2.93357E+001, 2.50028E+001, 2.50069E+001, 2.50082E+001, 2.50064E+001, 3.16672E-003, 2.06860E-001, 1.05549E+001, 2.14601E-001, 2.73266E+001, 2.50594E+001, 2.30000E-001, 2.50085E+001, 2.50028E+001, 2.30000E-001, 2.50083E+001, 2.50026E+001
 1.20048E+001, 2.50304E+001, 2.50588E+001, 3.01063E+001, 2.50033E+001, 2.50083E+001, 2.50100E+001, 2.50077E+001, 3.79734E-003, 2.06860E-001, 1.29602E+001, 2.16837E-001, 2.80349E+001, 2.50705E+001, 2.30000E-001, 2.50104E+001, 2.50034E+001, 2.30000E-001, 2.50102E+001, 2.50031E+001
 1.30066E+001, 2.50328E+001, 2.50583E+001, 3.09184E+001, 2.50039E+001, 2.50098E+001, 2.50119E+001, 2.50091E+001, 4.48830E-003, 2.06860E-001, 1.56808E+001, 2.18632E-001, 2.88830E+001, 2.50825E+001, 2.30000E-001, 2.50126E+001, 2.50040E+001, 2.30000E-001, 2.50122E+001, 2.50036E+001
 1.40018E+001, 2.50356E+001, 2.50571E+001, 3.17894E+001, 2.50046E+001, 2.50114E+001, 2.50141E+001, 2.50107E+001, 5.23474E-003, 2.06860E-001, 1.87210E+001, 2.20094E-001, 2.99091E+001, 2.50952E+001, 2.30000E-001, 2.50150E+001, 2.50047E+001, 2.30000E-001, 2.50145E+001, 2.50042E+001
 1.50040E+001, 2.50388E+001, 2.50555E+001, 3.26343E+001, 2.50052E+001, 2.50131E+001, 2.50164E+001, 2.50123E+001, 6.03604E-003, 2.06860E-001, 2.19926E+001, 2.21309E-001, 3.08996E+001, 2.51089E+001, 2.30000E-001, 2.50176E+001, 2.50053E+001, 2.30000E-001, 2.50170E+001, 2.50047E+001
 1.60025E+001, 2.50423E+001, 2.50540E+001, 3.35409E+001, 2.50058E+001, 2.50148E+001, 2.50188E+001, 2.50139E+001, 6.90325E-003, 2.06860E-001, 2.54959E+001, 2.22307E-001, 3.21086E+001, 2.51233E+001, 2.30000E-001, 2.50204E+001, 2.50061E+001, 2.30000E-001, 2.50196E+001, 2.50053E+001
 1.70071E+001, 2.50463E+001, 2.50527E+001, 3.42936E+001, 2.50065E+001, 2.50166E+001, 2.50214E+001, 2.50156E+001, 7.82242E-003, 2.06860E-001, 2.92777E+001, 2.23119E-001, 3.32343E+001, 2.51388E+001, 2.30000E-001, 2.50233E+001, 2.50069E+001, 2.30000E-001, 2.50224E+001, 2.50059E+001
 1.80043E+001, 2.50507E+001, 2.50519E+001, 3.54202E+001, 2.50073E+001, 2.50185E+001, 2.50242E+001, 2.50175E+001, 8.80195E-003, 2.06860E-001, 3.33539E+001, 2.23724E-001, 3.48754E+001, 2.51576E+001, 2.30000E-001, 2.50269E+001, 2.50078E+001, 2.30000E-001, 2.50254E+001, 2.50066E+001
 1.90053E+001, 2.50554E+001, 2.50519E+001, 3.62506E+001, 2.50166E+001, 2.50206E+001, 2.50271E+001, 2.50194E+001, 9.84053E-003, 2.06860E-001, 3.77513E+001, 2.23943E-001, 3.58160E+001, 2.51768E+001, 2.30000E-001, 2.50733E+001, 2.50087E+001, 2.30000E-001, 2.50286E+001, 2.50073E+001
 2.00018E+001, 2.50608E+001, 2.50540E+001, 3.76119E+001, 2.50522E+001, 2.50226E+001, 2.50302E+001, 2.50214E+001, 1.09289E-002, 2.06860E-001, 4.24382E+001, 2.23304E-001, 3.66563E+001, 2.51969E+001, 2.30000E-001, 2.52748E+001, 2.50097E+001, 2.30000E-001, 2.50320E+001, 2.50080E+001
 2.10033E+001, 2.50668E+001, 2.50632E+001, 3.95387E+001, 2.51033E+001, 2.50249E+001, 2.50335E+001, 2.50235E+001, 1.20833E-002, 2.06860E-001, 4.75240E+001, 2.21804E-001, 3.77643E+001, 2.52179E+001, 2.30000E-001, 2.54199E+001, 2.50108E+001, 2.30000E-001, 2.50356E+001, 2.50088E+001
 2.20035E+001, 2.50732E+001, 2.51187E+001, 4.09747E+001, 2.51861E+001, 2.50273E+001, 2.50371E+001, 2.50258E+001, 1.32890E-002, 2.06860E-001, 5.30133E+001, 2.20208E-001, 3.82084E+001, 2.52400E+001, 2.30000E-001, 2.55528E+001, 2.50120E+001, 2.30000E-001, 2.50396E+001, 2.50097E+001
 2.30038E+001, 2.50802E+001, 2.52937E+001, 4.36485E+001, 2.54241E+001, 2.50299E+001, 2.50409E+001, 2.50281E+001, 1.45566E-002, 2.06860E-001, 5.89203E+001, 2.18566E-001, 3.83653E+001, 2.52637E+001, 2.30000E-001, 2.58641E+001, 2.50133E+001, 2.30000E-001, 2.50438E+001, 2.50106E+001
 2.40037E+001, 2.50878E+001, 2.54867E+001, 4.82477E+001, 2.57387E+001, 2.50326E+001, 2.50450E+001, 2.50307E+001, 1.58869E-002, 2.06858E-001, 6.53189E+001, 2.16718E-001, 3.98252E+001, 2.52884E+001, 1.98261E-001, 2.60108E+001, 2.50147E+001, 2.30000E-001, 2.50484E+001, 2.50116E+001
 2.50034E+001, 2.50957E+001, 2.55990E+001, 4.89979E+001, 2.58692E+001, 2.50355E+001, 2.50493E+001, 2.50332E+001, 1.72628E-002, 2.06856E-001, 7.21139E+001, 2.15264E-001, 4.10470E+001, 2.53141E+001, 1.64464E-001, 2.61428E+001, 2.50161E+001, 2.30000E-001, 2.50532E+001, 2.50126E+001
 2.60031E+001, 2.51034E+001, 2.56380E+001, 5.04186E+001, 2.61070E+001, 2.50382E+001, 2.50534E+001, 2.50353E+001, 1.79952E-002, 2.06853E-001, 7.88206E+001, 2.14818E-001, 4.17950E+001, 2.53395E+001, 1.67802E-001, 2.64257E+001, 2.50172E+001, 2.30000E-001, 2.50579E+001, 2.50133E+001
 2.70028E+001, 2.51094E+001, 2.56332E+001, 5.07258E+001, 2.62724E+001, 2.50395E+001, 2.50563E+001, 2.50360E+001, 1.79951E-002, 2.06852E-001, 8.42605E+001, 2.14169E-001, 4.16320E+001, 2.53592E+001, 1.68370E-001, 2.65239E+001, 2.50176E+001, 2.30000E-001, 2.50614E+001, 2.50134E+001
 2.80025E+001, 2.51142E+001, 2.55909E+001, 5.09281E+001, 2.64360E+001, 2.50401E+001, 2.50583E+001, 2.50359E+001, 1.79952E-002, 2.06852E-001, 8.88414E+001, 2.13407E-001, 4.14583E+001, 2.53764E+001, 1.69727E-001, 2.66628E+001, 2.50179E+001, 2.30000E-001, 2.50641E+001, 2.50134E+001
 2.90022E+001, 2.51182E+001, 2.55085E+001, 5.10517E+001, 2.65038E+001, 2.50403E+001, 2.50597E+001, 2.50352E+001, 1.79952E-002, 2.06851E-001, 9.28894E+001, 2.13154E-001, 4.16829E+001, 2.53928E+001, 1.70591E-001, 2.67759E+001, 2.50182E+001, 2.30000E-001, 2.50662E+001, 2.50134E+001
 3.00020E+001, 2.51217E+001, 2.54151E+001, 5.11188E+001, 2.65905E+001, 2.50404E+001, 2.50608E+001, 2.50340E+001, 1.79953E-002, 2.06851E-001, 9.65255E+001, 2.13655E-001, 4.21447E+001, 2.54085E+001, 1.71511E-001, 2.69018E+001, 2.50184E+001, 2.30000E-001, 2.50671E+001, 2.50134E+001
 3.10017E+001, 2.51247E+001, 2.53406E+001, 5.11403E+001, 2.66499E+001, 2.50406E+001, 2.50615E+001, 2.50319E+001, 1.79952E-002, 2.06851E-001, 9.98435E+001, 2.14297E-001, 4.25908E+001, 2.54232E+001, 1.72011E-001, 2.69939E+001, 2.50186E+001, 2.30000E-001, 2.50972E+001, 2.50133E+001
 3.20014E+001, 2.51273E+001, 2.52902E+001, 5.11295E+001, 2.67089E+001, 2.50408E+001, 2.50620E+001, 2.50271E+001, 1.79953E-002, 2.06851E-001, 1.02927E+002, 2.15065E-001, 4.30806E+001, 2.54368E+001, 1.72216E-001, 2.70718E+001, 2.50189E+001, 2.30000E-001, 2.56635E+001, 2.50133E+001
 3.30011E+001, 2.51295E+001, 2.52605E+001, 5.11146E+001, 2.67636E+001, 2.50412E+001, 2.50616E+001, 2.50410E+001, 1.79952E-002, 2.06851E-001, 1.05827E+002, 2.15852E-001, 4.32867E+001, 2.54495E+001, 1.72068E-001, 2.71228E+001, 2.50192E+001, 2.30000E-001, 2.57791E+001, 2.50133E+001
 3.40008E+001, 2.51313E+001, 2.52477E+001, 5.10455E+001, 2.67968E+001, 2.50418E+001, 2.50549E+001, 2.53357E+001, 1.79952E-002, 2.06851E-001, 1.08516E+002, 2.16360E-001, 4.32795E+001, 2.54612E+001, 1.71675E-001, 2.71479E+001, 2.50194E+001, 2.30000E-001, 2.57432E+001, 2.50135E+001
 3.50005E+001, 2.51328E+001, 2.52483E+001, 5.09767E+001, 2.67956E+001, 2.50428E+001, 2.50929E+001, 2.54938E+001, 1.79952E-002, 2.06851E-001, 1.11004E+002, 2.16707E-001, 4.31290E+001, 2.54721E+001, 1.71050E-001, 2.71532E+001, 2.50197E+001, 2.30000E-001, 2.57167E+001, 2.50138E+001
 3.60002E+001, 2.51341E+001, 2.52592E+001, 5.08736E+001, 2.67772E+001, 2.50440E+001, 2.53118E+001, 2.54358E+001, 1.79952E-002, 2.06851E-001, 1.13378E+002, 2.16993E-001, 4.29716E+001, 2.54824E+001, 1.70194E-001, 2.71472E+001, 2.50199E+001, 2.30000E-001, 2.57073E+001, 2.50141E+001
 3.70052E+001, 2.51353E+001, 2.52772E+001, 5.07335E+001, 2.67770E+001, 2.50444E+001, 2.55467E+001, 2.53906E+001, 1.79952E-002, 2.06850E-001, 1.15698E+002, 2.17262E-001, 4.28745E+001, 2.54924E+001, 1.69286E-001, 2.71447E+001, 2.50202E+001, 2.30000E-001, 2.57194E+001, 2.50145E+001
 3.80049E+001, 2.51363E+001, 2.52996E+001, 5.05838E+001, 2.67992E+001, 2.50431E+001, 2.56017E+001, 2.54203E+001, 1.79952E-002, 2.06849E-001, 1.17977E+002, 2.17506E-001, 4.27779E+001, 2.55020E+001, 1.68452E-001, 2.71581E+001, 2.50205E+001, 2.30000E-001, 2.57733E+001, 2.50152E+001
 3.90047E+001, 2.51372E+001, 2.53246E+001, 5.04210E+001, 2.68270E+001, 2.50416E+001, 2.55692E+001, 2.54479E+001, 1.79952E-002, 2.06848E-001, 1.20211E+002, 2.17679E-001, 4.25980E+001, 2.55113E+001, 1.67542E-001, 2.71763E+001, 2.50209E+001, 2.30000E-001, 2.58607E+001, 2.50154E+001
 4.00044E+001, 2.51381E+001, 2.53503E+001, 5.01786E+001, 2.68414E+001, 2.50403E+001, 2.55143E+001, 2.54705E+001, 1.79953E-002, 2.06846E-001, 1.22407E+002, 2.17822E-001, 4.24092E+001, 2.55204E+001, 1.66253E-001, 2.71757E+001, 2.50212E+001, 2.30000E-001, 2.59410E+001, 2.50139E+001
 4.10041E+001, 2.51388E+001, 2.53756E+001, 4.97900E+001, 2.68140E+001, 2.50386E+001, 2.54344E+001, 2.55084E+001, 1.79953E-002, 2.06842E-001, 1.24554E+002, 2.17828E-001, 4.22709E+001, 2.55292E+001, 1.64353E-001, 2.71492E+001, 2.50216E+001, 2.30000E-001, 2.59767E+001, 2.50123E+001
 4.20038E+001, 2.51395E+001, 2.54013E+001, 4.94941E+001, 2.67492E+001, 2.50365E+001, 2.53101E+001, 2.55750E+001, 1.79953E-002, 2.06835E-001, 1.26644E+002, 2.17693E-001, 4.21797E+001, 2.55378E+001, 1.61671E-001, 2.71139E+001, 2.50219E+001, 2.30000E-001, 2.59653E+001, 2.50114E+001
 4.30035E+001, 2.51401E+001, 2.54278E+001, 4.93413E+001, 2.66637E+001, 2.50344E+001, 2.51946E+001, 2.56543E+001, 1.79953E-002, 2.06821E-001, 1.28693E+002, 2.17567E-001, 4.21728E+001, 2.55464E+001, 1.57702E-001, 2.70752E+001, 2.50223E+001, 2.30000E-001, 2.59238E+001, 2.50111E+001
 4.40032E+001, 2.51407E+001, 2.54546E+001, 4.92398E+001, 2.65689E+001, 2.50325E+001, 2.51346E+001, 2.57075E+001, 1.79953E-002, 2.06791E-001, 1.30717E+002, 2.17558E-001, 4.21668E+001, 2.55550E+001, 1.51792E-001, 2.70259E+001, 2.50228E+001, 2.30000E-001, 2.58694E+001, 2.50113E+001
 4.50029E+001, 2.51414E+001, 2.54834E+001, 4.91909E+001, 2.64813E+001, 2.50311E+001, 2.51096E+001, 2.57070E+001, 1.79953E-002, 2.06737E-001, 1.32704E+002, 2.17545E-001, 4.21193E+001, 2.55636E+001, 1.44358E-001, 2.69635E+001, 2.50233E+001, 2.30000E-001, 2.58179E+001, 2.50120E+001
 4.60026E+001, 2.51422E+001, 2.55185E+001, 4.91259E+001, 2.64311E+001, 2.50300E+001, 2.51009E+001, 2.56566E+001, 1.79953E-002, 2.06676E-001, 1.34630E+002, 2.17370E-001, 4.20405E+001, 2.55724E+001, 1.38342E-001, 2.68969E+001, 2.50237E+001, 2.30000E-001, 2.57798E+001, 2.50127E+001
 4.70023E+001, 2.51433E+001, 2.55668E+001, 4.91633E+001, 2.64221E+001, 2.50292E+001, 2.51030E+001, 2.55790E+001, 1.79954E-002, 2.06644E-001, 1.36464E+002, 2.17074E-001, 4.18970E+001, 2.55817E+001, 1.36726E-001, 2.68428E+001, 2.50241E+001, 2.30000E-001, 2.57580E+001, 2.50131E+001
 4.80020E+001, 2.51449E+001, 2.56374E+001, 4.93921E+001, 2.64482E+001, 2.50286E+001, 2.51164E+001, 2.54926E+001, 1.79954E-002, 2.06649E-001, 1.38176E+002, 2.16705E-001, 4.16647E+001, 2.55919E+001, 1.38980E-001, 2.68303E+001, 2.50245E+001, 2.30000E-001, 2.57494E+001, 2.50129E+001
 4.90017E+001, 2.51473E+001, 2.57386E+001, 4.99094E+001, 2.64903E+001, 2.50280E+001, 2.51470E+001, 2.54205E+001, 1.79954E-002, 2.06665E-001, 1.39743E+002, 2.16141E-001, 4.13024E+001, 2.56033E+001, 1.41630E-001, 2.68718E+001, 2.50247E+001, 2.30000E-001, 2.57584E+001, 2.50122E+001
 5.00014E+001, 2.51507E+001, 2.58620E+001, 5.06971E+001, 2.65641E+001, 2.50275E+001, 2.52063E+001, 2.53816E+001, 1.79956E-002, 2.06672E-001, 1.41164E+002, 2.15362E-001, 4.10477E+001, 2.56158E+001, 1.42109E-001, 2.69432E+001, 2.50249E+001, 2.30000E-001, 2.57965E+001, 2.50115E+001
 5.10012E+001, 2.51552E+001, 2.59555E+001, 5.12070E+001, 2.66948E+001, 2.50271E+001, 2.52906E+001, 2.53446E+001, 1.79955E-002, 2.06660E-001, 1.42483E+002, 2.14911E-001, 4.13138E+001, 2.56291E+001, 1.40659E-001, 2.69954E+001, 2.50251E+001, 2.30000E-001, 2.58536E+001, 2.50109E+001
 5.20009E+001, 2.51607E+001, 2.59765E+001, 5.09191E+001, 2.67700E+001, 2.50266E+001, 2.53818E+001, 2.53066E+001, 1.79955E-002, 2.06622E-001, 1.43717E+002, 2.15102E-001, 4.16799E+001, 2.56422E+001, 1.39105E-001, 2.70001E+001, 2.50254E+001, 2.30000E-001, 2.58953E+001, 2.50104E+001
 5.30006E+001, 2.51666E+001, 2.59348E+001, 5.07823E+001, 2.67255E+001, 2.50262E+001, 2.55383E+001, 2.52991E+001, 1.79954E-002, 2.06562E-001, 1.44888E+002, 2.15420E-001, 4.19332E+001, 2.56539E+001, 1.38549E-001, 2.69757E+001, 2.50256E+001, 2.30000E-001, 2.59118E+001, 2.50100E+001
 5.40003E+001, 2.51723E+001, 2.58943E+001, 5.07956E+001, 2.66602E+001, 2.50258E+001, 2.57091E+001, 2.53200E+001, 1.79953E-002, 2.06475E-001, 1.45975E+002, 2.15465E-001, 4.20546E+001, 2.56634E+001, 1.39564E-001, 2.69811E+001, 2.50259E+001, 2.30000E-001, 2.59011E+001, 2.50097E+001
 5.50053E+001, 2.51774E+001, 2.59021E+001, 5.08129E+001, 2.67173E+001, 2.50254E+001, 2.57539E+001, 2.53649E+001, 1.79953E-002, 2.06367E-001, 1.46944E+002, 2.15214E-001, 4.18346E+001, 2.56708E+001, 1.41627E-001, 2.70374E+001, 2.50261E+001, 2.30000E-001, 2.58630E+001, 2.50094E+001
 5.60050E+001, 2.51817E+001, 2.59346E+001, 5.07756E+001, 2.67669E+001, 2.50248E+001, 2.56730E+001, 2.54449E+001, 1.79952E-002, 2.06268E-001, 1.47807E+002, 2.14834E-001, 4.15883E+001, 2.56762E+001, 1.42545E-001, 2.70432E+001, 2.50263E+001, 2.30000E-001, 2.58187E+001, 2.50092E+001
 5.70047E+001, 2.51852E+001, 2.59513E+001, 5.06266E+001, 2.67930E+001, 2.50240E+001, 2.55209E+001, 2.55168E+001, 1.79951E-002, 2.06188E-001, 1.48571E+002, 2.14580E-001, 4.12983E+001, 2.56800E+001, 1.43481E-001, 2.70734E+001, 2.50265E+001, 2.30000E-001, 2.57998E+001, 2.50090E+001
 5.80044E+001, 2.51882E+001, 2.59419E+001, 5.10459E+001, 2.67906E+001, 2.50229E+001, 2.53678E+001, 2.55348E+001, 1.79950E-002, 2.06120E-001, 1.49268E+002, 2.14472E-001, 4.10497E+001, 2.56821E+001, 1.43592E-001, 2.70884E+001, 2.50267E+001, 2.30000E-001, 2.58246E+001, 2.50089E+001
 5.90041E+001, 2.51909E+001, 2.59174E+001, 5.17562E+001, 2.67420E+001, 2.50218E+001, 2.52579E+001, 2.55266E+001, 1.79950E-002, 2.06063E-001, 1.49905E+002, 2.14581E-001, 4.08323E+001, 2.56828E+001, 1.42692E-001, 2.70740E+001, 2.50270E+001, 2.30000E-001, 2.58781E+001, 2.50089E+001
 6.00038E+001, 2.51938E+001, 2.58917E+001, 5.23942E+001, 2.67464E+001, 2.50209E+001, 2.51996E+001, 2.55361E+001, 1.79950E-002, 2.06019E-001, 1.50546E+002, 2.15029E-001, 4.07917E+001, 2.56827E+001, 1.41705E-001, 2.70684E+001, 2.50273E+001, 2.30000E-001, 2.59392E+001, 2.50090E+001
