s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.04856E-004, 9.90273E-027, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.04856E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.99270E-002
 1.00481E+000, 8.96841E-006, 0.00000E+000,-1.07206E-005, 5.68813E-012,-5.83616E-006,-3.58853E-024,-3.50357E-006, 0.00000E+000,-1.09249E-005,-1.10919E-005, 0.00000E+000, 2.34618E-010, 0.00000E+000,-5.09954E-002
 2.00962E+000, 6.55739E-005, 0.00000E+000,-1.27773E-005, 8.22754E-013,-1.93426E-005,-2.48713E-023, 1.33560E-005, 0.00000E+000, 4.61704E-005, 4.68100E-005, 0.00000E+000, 1.62669E-009, 0.00000E+000, 3.95745E-002
 3.00314E+000, 1.79462E-004, 0.00000E+000,-3.96938E-005,-3.72478E-012,-5.20122E-005,-6.69589E-023, 3.51775E-005, 0.00000E+000, 1.21735E-004, 1.22934E-004, 0.00000E+000, 4.38230E-009, 0.00000E+000, 2.75769E-001
 4.00796E+000, 3.50923E-004, 0.00000E+000,-7.90948E-005,-3.05999E-012,-8.54659E-005,-1.29950E-022, 7.47849E-005, 0.00000E+000, 2.59429E-004, 2.61147E-004, 0.00000E+000, 8.50927E-009, 0.00000E+000, 7.84371E-001
 5.00148E+000, 5.79796E-004, 0.00000E+000,-1.35526E-004,-3.23510E-011,-1.33476E-004,-2.13679E-022, 1.24818E-004, 0.00000E+000, 4.33369E-004, 4.35612E-004, 0.00000E+000, 1.40024E-008, 0.00000E+000, 1.62430E+000
 6.00629E+000, 8.66270E-004, 0.00000E+000,-2.08627E-004,-1.87729E-009,-2.03125E-004,-3.18178E-022, 1.82938E-004, 0.00000E+000, 6.36116E-004, 6.37453E-004, 0.00000E+000, 2.08670E-008, 0.00000E+000, 2.87139E+000
 7.01110E+000, 1.21224E-003, 0.00000E+000,-2.93810E-004,-7.75534E-009,-4.24089E-004,-4.44093E-022, 1.99864E-004, 0.00000E+000, 6.93244E-004, 6.94196E-004, 0.00000E+000, 2.91494E-008, 0.00000E+000, 4.23441E+000
 8.00462E+000, 1.61392E-003, 0.00000E+000,-3.93706E-004,-1.72358E-008,-6.74415E-004,-5.89914E-022, 2.21491E-004, 0.00000E+000, 7.66211E-004, 7.67278E-004, 0.00000E+000, 3.87567E-008, 0.00000E+000, 5.72797E+000
 9.00943E+000, 2.07321E-003, 0.00000E+000,-5.09827E-004,-2.80330E-008,-9.44062E-004,-7.56314E-022, 2.51987E-004, 0.00000E+000, 8.69692E-004, 8.71282E-004, 0.00000E+000, 4.97353E-008, 0.00000E+000, 7.44603E+000
 1.00030E+001, 2.58985E-003, 0.00000E+000,-6.35630E-004,-4.46373E-008,-1.24118E-003,-9.43109E-022, 2.90775E-004, 0.00000E+000, 1.00217E-003, 1.00378E-003, 0.00000E+000, 6.20801E-008, 0.00000E+000, 9.40649E+000
 1.10098E+001, 3.16672E-003, 0.00000E+000,-7.76549E-004,-5.66897E-008,-1.58007E-003,-1.15046E-021, 3.31073E-004, 0.00000E+000, 1.13950E-003, 1.14111E-003, 0.00000E+000, 7.58088E-008, 0.00000E+000, 1.16688E+001
 1.20048E+001, 3.79734E-003, 0.00000E+000,-9.09733E-004,-6.86391E-008,-1.96586E-003,-1.37818E-021, 3.77274E-004, 0.00000E+000, 1.29715E-003, 1.29895E-003, 0.00000E+000, 9.09140E-008, 0.00000E+000, 1.42165E+001
 1.30066E+001, 4.48830E-003, 0.00000E+000,-1.04346E-003,-7.46646E-008,-2.40560E-003,-1.62546E-021, 4.26007E-004, 0.00000E+000, 1.46332E-003, 1.46518E-003, 0.00000E+000, 1.07348E-007, 0.00000E+000, 1.71128E+001
 1.40018E+001, 5.23474E-003, 0.00000E+000,-1.19735E-003,-8.45174E-008,-2.89673E-003,-1.89280E-021, 4.68728E-004, 0.00000E+000, 1.60832E-003, 1.60930E-003, 0.00000E+000, 1.25153E-007, 0.00000E+000, 2.02800E+001
 1.50040E+001, 6.03604E-003, 0.00000E+000,-1.41286E-003,-8.20564E-008,-3.42004E-003,-2.18015E-021, 4.95973E-004, 0.00000E+000, 1.69825E-003, 1.69904E-003, 0.00000E+000, 1.44331E-007, 0.00000E+000, 2.36551E+001
 1.60025E+001, 6.90325E-003, 0.00000E+000,-1.64929E-003,-9.49732E-008,-3.95505E-003,-2.48780E-021, 5.36702E-004, 0.00000E+000, 1.83466E-003, 1.83551E-003, 0.00000E+000, 1.64909E-007, 0.00000E+000, 2.72934E+001
 1.70071E+001, 7.82242E-003, 0.00000E+000,-1.89882E-003,-9.55261E-008,-4.53005E-003,-2.81554E-021, 5.76857E-004, 0.00000E+000, 1.96904E-003, 1.97031E-003, 0.00000E+000, 1.86887E-007, 0.00000E+000, 3.12278E+001
 1.80043E+001, 8.80195E-003, 0.00000E+000,-2.15919E-003,-1.12047E-007,-5.14210E-003,-3.16282E-021, 6.22766E-004, 0.00000E+000, 2.12301E-003, 2.12332E-003, 0.00000E+000, 2.10227E-007, 0.00000E+000, 3.54440E+001
 1.90053E+001, 9.84053E-003, 0.00000E+000,-2.43265E-003,-1.10860E-007,-5.79423E-003,-3.52878E-021, 6.70650E-004, 0.00000E+000, 2.28395E-003, 2.28419E-003, 0.00000E+000, 2.34888E-007, 0.00000E+000, 4.00022E+001
 2.00018E+001, 1.09289E-002, 0.00000E+000,-2.73063E-003,-7.61705E-008,-6.47284E-003,-3.91405E-021, 7.17919E-004, 0.00000E+000, 2.44177E-003, 2.44329E-003, 0.00000E+000, 2.60915E-007, 0.00000E+000, 4.48592E+001
 2.10033E+001, 1.20833E-002, 0.00000E+000,-3.02078E-003,-6.81158E-008,-7.19048E-003,-4.31859E-021, 7.80336E-004, 0.00000E+000, 2.65294E-003, 2.65235E-003, 0.00000E+000, 2.88315E-007, 0.00000E+000, 5.01653E+001
 2.20035E+001, 1.32890E-002, 0.00000E+000,-3.32484E-003,-5.44741E-008,-7.96048E-003,-4.74287E-021, 8.35493E-004, 0.00000E+000, 2.83786E-003, 2.83912E-003, 0.00000E+000, 3.17133E-007, 0.00000E+000, 5.58397E+001
