s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 9.90273E-027, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.99270E-002
 1.00481E+000, 8.96841E-006, 0.00000E+000,-4.54997E-006, 4.11075E-012,-3.93768E-006,-3.58853E-024,-9.99032E-008, 0.00000E+000, 3.51836E-007, 3.80861E-007, 0.00000E+000, 2.34618E-010, 0.00000E+000,-2.91123E-002
 2.00962E+000, 6.55739E-005, 0.00000E+000,-1.27537E-005, 4.10699E-013,-1.96244E-005,-2.48713E-023, 1.32540E-005, 0.00000E+000, 4.58133E-005, 4.64498E-005, 0.00000E+000, 1.62669E-009, 0.00000E+000, 6.07647E-002
 3.00314E+000, 1.79462E-004, 0.00000E+000,-3.97198E-005,-2.07806E-012,-5.22473E-005,-6.69589E-023, 3.50736E-005, 0.00000E+000, 1.21369E-004, 1.22569E-004, 0.00000E+000, 4.38230E-009, 0.00000E+000, 2.96259E-001
 4.00796E+000, 3.50923E-004, 0.00000E+000,-7.91637E-005,-2.88636E-012,-8.56580E-005,-1.29950E-022, 7.46812E-005, 0.00000E+000, 2.59065E-004, 2.60782E-004, 0.00000E+000, 8.50927E-009, 0.00000E+000, 8.04153E-001
 5.00148E+000, 5.79796E-004, 0.00000E+000,-1.35652E-004,-2.86176E-011,-1.33635E-004,-2.13679E-022, 1.24704E-004, 0.00000E+000, 4.32971E-004, 4.35213E-004, 0.00000E+000, 1.40024E-008, 0.00000E+000, 1.64332E+000
 6.00629E+000, 8.66270E-004, 0.00000E+000,-2.08828E-004,-2.26954E-009,-2.03231E-004,-3.18178E-022, 1.82816E-004, 0.00000E+000, 6.35687E-004, 6.37025E-004, 0.00000E+000, 2.08670E-008, 0.00000E+000, 2.88958E+000
 7.01110E+000, 1.21224E-003, 0.00000E+000,-2.94108E-004,-8.02000E-009,-4.24096E-004,-4.44093E-022, 1.99743E-004, 0.00000E+000, 6.92818E-004, 6.93770E-004, 0.00000E+000, 2.91494E-008, 0.00000E+000, 4.25177E+000
 8.00462E+000, 1.61392E-003, 0.00000E+000,-3.94146E-004,-1.75720E-008,-6.74353E-004,-5.89914E-022, 2.21339E-004, 0.00000E+000, 7.65674E-004, 7.66747E-004, 0.00000E+000, 3.87567E-008, 0.00000E+000, 5.74430E+000
 9.00943E+000, 2.07321E-003, 0.00000E+000,-5.10312E-004,-2.83852E-008,-9.43999E-004,-7.56314E-022, 2.51821E-004, 0.00000E+000, 8.69110E-004, 8.70694E-004, 0.00000E+000, 4.97353E-008, 0.00000E+000, 7.46123E+000
 1.00030E+001, 2.58985E-003, 0.00000E+000,-6.36009E-004,-4.51879E-008,-1.24093E-003,-9.43109E-022, 2.90731E-004, 0.00000E+000, 1.00203E-003, 1.00360E-003, 0.00000E+000, 6.20801E-008, 0.00000E+000, 9.42144E+000
 1.10097E+001, 3.16669E-003, 0.00000E+000,-7.77590E-004,-5.71064E-008,-1.57991E-003,-1.15045E-021, 3.30688E-004, 0.00000E+000, 1.13807E-003, 1.13983E-003, 0.00000E+000, 7.58082E-008, 0.00000E+000, 1.16808E+001
 1.20045E+001, 3.79719E-003, 0.00000E+000,-9.10848E-004,-6.92153E-008,-1.96534E-003,-1.37812E-021, 3.77013E-004, 0.00000E+000, 1.29634E-003, 1.29795E-003, 0.00000E+000, 9.09104E-008, 0.00000E+000, 1.42262E+001
 1.30049E+001, 4.48758E-003, 0.00000E+000,-1.04482E-003,-7.49393E-008,-2.40464E-003,-1.62520E-021, 4.25582E-004, 0.00000E+000, 1.46189E-003, 1.46364E-003, 0.00000E+000, 1.07331E-007, 0.00000E+000, 1.71162E+001
 1.40055E+001, 5.23560E-003, 0.00000E+000,-1.19983E-003,-8.55300E-008,-2.89618E-003,-1.89310E-021, 4.68293E-004, 0.00000E+000, 1.60670E-003, 1.60780E-003, 0.00000E+000, 1.25173E-007, 0.00000E+000, 2.02971E+001
 1.50076E+001, 6.03906E-003, 0.00000E+000,-1.41603E-003,-8.36517E-008,-3.42054E-003,-2.18123E-021, 4.95715E-004, 0.00000E+000, 1.69727E-003, 1.69813E-003, 0.00000E+000, 1.44403E-007, 0.00000E+000, 2.36699E+001
 1.60036E+001, 6.90531E-003, 0.00000E+000,-1.65125E-003,-9.49721E-008,-3.95532E-003,-2.48853E-021, 5.36786E-004, 0.00000E+000, 1.83491E-003, 1.83543E-003, 0.00000E+000, 1.64958E-007, 0.00000E+000, 2.72995E+001
 1.70008E+001, 7.81985E-003, 0.00000E+000,-1.90000E-003,-9.68651E-008,-4.52780E-003,-2.81463E-021, 5.76243E-004, 0.00000E+000, 1.96692E-003, 1.96820E-003, 0.00000E+000, 1.86826E-007, 0.00000E+000, 3.12009E+001
 1.80054E+001, 8.79930E-003, 0.00000E+000,-2.16068E-003,-1.13176E-007,-5.14012E-003,-3.16188E-021, 6.21833E-004, 0.00000E+000, 2.11979E-003, 2.12022E-003, 0.00000E+000, 2.10164E-007, 0.00000E+000, 3.54420E+001
 1.90012E+001, 9.83897E-003, 0.00000E+000,-2.43636E-003,-1.09878E-007,-5.79102E-003,-3.52820E-021, 6.69803E-004, 0.00000E+000, 2.28101E-003, 2.28128E-003, 0.00000E+000, 2.34849E-007, 0.00000E+000, 3.99712E+001
 2.00035E+001, 1.09276E-002, 0.00000E+000,-2.73316E-003,-8.76006E-008,-6.47249E-003,-3.91357E-021, 7.16509E-004, 0.00000E+000, 2.43676E-003, 2.43837E-003, 0.00000E+000, 2.60882E-007, 0.00000E+000, 4.48466E+001
 2.10057E+001, 1.20857E-002, 0.00000E+000,-3.02472E-003,-6.49632E-008,-7.18387E-003,-4.31943E-021, 7.82144E-004, 0.00000E+000, 2.65921E-003, 2.65915E-003, 0.00000E+000, 2.88372E-007, 0.00000E+000, 5.01690E+001
 2.20010E+001, 1.32890E-002, 0.00000E+000,-3.32878E-003,-5.75801E-008,-7.96123E-003,-4.74285E-021, 8.33596E-004, 0.00000E+000, 2.83113E-003, 2.83250E-003, 0.00000E+000, 3.17132E-007, 0.00000E+000, 5.58025E+001
 2.30023E+001, 1.45540E-002, 0.00000E+000,-3.64960E-003,-5.71905E-008,-8.73333E-003,-5.18509E-021, 9.05745E-004, 0.00000E+000, 3.07524E-003, 3.07681E-003, 0.00000E+000, 3.47253E-007, 0.00000E+000, 6.19598E+001
 2.40016E+001, 1.58842E-002, 0.00000E+000,-3.98383E-003,-8.64725E-008,-9.56385E-003,-5.64683E-021, 9.75503E-004, 0.00000E+000, 3.31120E-003, 3.31194E-003, 0.00000E+000, 3.78798E-007, 0.00000E+000, 6.85788E+001
 2.50002E+001, 1.72591E-002, 0.00000E+000,-4.33218E-003,-7.87670E-008,-1.04916E-002,-6.12638E-021, 1.01872E-003, 0.00000E+000, 3.45310E-003, 3.45397E-003, 0.00000E+000, 4.11668E-007, 0.00000E+000, 7.54870E+001
 2.60042E+001, 1.79950E-002, 0.00000E+000,-4.51610E-003,-4.25695E-008,-1.13478E-002,-6.37065E-021, 9.02520E-004, 0.00000E+000, 3.03798E-003, 3.03358E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 8.16453E+001
 2.70029E+001, 1.79952E-002, 0.00000E+000,-4.51905E-003,-1.25187E-008,-1.17981E-002,-6.37065E-021, 7.22525E-004, 0.00000E+000, 2.40270E-003, 2.40059E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 8.65476E+001
 2.80015E+001, 1.79952E-002, 0.00000E+000,-4.52521E-003,-1.12795E-008,-1.20252E-002,-6.37067E-021, 6.29788E-004, 0.00000E+000, 2.07610E-003, 2.07457E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.08204E+001
 2.90002E+001, 1.79952E-002, 0.00000E+000,-4.52868E-003,-1.34862E-008,-1.21916E-002,-6.37068E-021, 5.62311E-004, 0.00000E+000, 1.83849E-003, 1.83724E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.46351E+001
 3.00042E+001, 1.79952E-002, 0.00000E+000,-4.53265E-003,-1.09552E-008,-1.23229E-002,-6.37066E-021, 5.08593E-004, 0.00000E+000, 1.64935E-003, 1.64831E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.81038E+001
