s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 9.90273E-027, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.99270E-002
 1.00481E+000, 8.96841E-006, 0.00000E+000,-4.55079E-006, 4.10981E-012,-3.94671E-006,-3.58853E-024,-1.03782E-007, 0.00000E+000, 3.38319E-007, 3.67133E-007, 0.00000E+000, 2.34618E-010, 0.00000E+000,-2.91385E-002
 2.00962E+000, 6.55739E-005, 0.00000E+000,-1.27536E-005, 4.06929E-013,-1.96282E-005,-2.48713E-023, 1.32524E-005, 0.00000E+000, 4.58075E-005, 4.64444E-005, 0.00000E+000, 1.62669E-009, 0.00000E+000, 6.07272E-002
 3.00314E+000, 1.79462E-004, 0.00000E+000,-3.97195E-005,-2.07659E-012,-5.22284E-005,-6.69589E-023, 3.50813E-005, 0.00000E+000, 1.21396E-004, 1.22596E-004, 0.00000E+000, 4.38230E-009, 0.00000E+000, 2.96273E-001
 4.00796E+000, 3.50923E-004, 0.00000E+000,-7.91632E-005,-2.88777E-012,-8.56443E-005,-1.29950E-022, 7.46868E-005, 0.00000E+000, 2.59085E-004, 2.60802E-004, 0.00000E+000, 8.50927E-009, 0.00000E+000, 8.04206E-001
 5.00148E+000, 5.79796E-004, 0.00000E+000,-1.35652E-004,-2.86266E-011,-1.33622E-004,-2.13679E-022, 1.24710E-004, 0.00000E+000, 4.32990E-004, 4.35232E-004, 0.00000E+000, 1.40024E-008, 0.00000E+000, 1.64341E+000
 6.00629E+000, 8.66270E-004, 0.00000E+000,-2.08827E-004,-2.26965E-009,-2.03212E-004,-3.18178E-022, 1.82824E-004, 0.00000E+000, 6.35714E-004, 6.37052E-004, 0.00000E+000, 2.08670E-008, 0.00000E+000, 2.88972E+000
 7.01110E+000, 1.21224E-003, 0.00000E+000,-2.94107E-004,-8.02024E-009,-4.24072E-004,-4.44093E-022, 1.99753E-004, 0.00000E+000, 6.92852E-004, 6.93804E-004, 0.00000E+000, 2.91494E-008, 0.00000E+000, 4.25198E+000
 8.00462E+000, 1.61392E-003, 0.00000E+000,-3.94145E-004,-1.75721E-008,-6.74320E-004,-5.89914E-022, 2.21353E-004, 0.00000E+000, 7.65721E-004, 7.66795E-004, 0.00000E+000, 3.87567E-008, 0.00000E+000, 5.74460E+000
 9.00943E+000, 2.07321E-003, 0.00000E+000,-5.10307E-004,-2.83901E-008,-9.43950E-004,-7.56314E-022, 2.51842E-004, 0.00000E+000, 8.69187E-004, 8.70771E-004, 0.00000E+000, 4.97353E-008, 0.00000E+000, 7.46168E+000
 1.00030E+001, 2.58985E-003, 0.00000E+000,-6.36095E-004,-4.51377E-008,-1.24091E-003,-9.43109E-022, 2.90700E-004, 0.00000E+000, 1.00192E-003, 1.00350E-003, 0.00000E+000, 6.20801E-008, 0.00000E+000, 9.42166E+000
 1.10098E+001, 3.16670E-003, 0.00000E+000,-7.77496E-004,-5.72247E-008,-1.57982E-003,-1.15046E-021, 3.30762E-004, 0.00000E+000, 1.13834E-003, 1.14009E-003, 0.00000E+000, 7.58084E-008, 0.00000E+000, 1.16816E+001
 1.20046E+001, 3.79723E-003, 0.00000E+000,-9.10764E-004,-6.91861E-008,-1.96536E-003,-1.37814E-021, 3.77056E-004, 0.00000E+000, 1.29649E-003, 1.29810E-003, 0.00000E+000, 9.09115E-008, 0.00000E+000, 1.42275E+001
 1.30045E+001, 4.48746E-003, 0.00000E+000,-1.04449E-003,-7.49145E-008,-2.40454E-003,-1.62515E-021, 4.25704E-004, 0.00000E+000, 1.46232E-003, 1.46406E-003, 0.00000E+000, 1.07328E-007, 0.00000E+000, 1.71166E+001
 1.40045E+001, 5.23502E-003, 0.00000E+000,-1.19904E-003,-8.58321E-008,-2.89603E-003,-1.89290E-021, 4.68421E-004, 0.00000E+000, 1.60711E-003, 1.60829E-003, 0.00000E+000, 1.25159E-007, 0.00000E+000, 2.02967E+001
 1.50062E+001, 6.03809E-003, 0.00000E+000,-1.41490E-003,-8.26698E-008,-3.42052E-003,-2.18088E-021, 4.95792E-004, 0.00000E+000, 1.69760E-003, 1.69837E-003, 0.00000E+000, 1.44379E-007, 0.00000E+000, 2.36689E+001
 1.60051E+001, 6.90539E-003, 0.00000E+000,-1.65122E-003,-9.54988E-008,-3.95561E-003,-2.48857E-021, 5.36594E-004, 0.00000E+000, 1.83426E-003, 1.83506E-003, 0.00000E+000, 1.64960E-007, 0.00000E+000, 2.73079E+001
 1.70020E+001, 7.82120E-003, 0.00000E+000,-1.90059E-003,-9.62854E-008,-4.52854E-003,-2.81510E-021, 5.76244E-004, 0.00000E+000, 1.96687E-003, 1.96822E-003, 0.00000E+000, 1.86858E-007, 0.00000E+000, 3.12080E+001
 1.80063E+001, 8.80041E-003, 0.00000E+000,-2.16095E-003,-1.11699E-007,-5.14049E-003,-3.16227E-021, 6.22664E-004, 0.00000E+000, 2.12266E-003, 2.12152E-003, 0.00000E+000, 2.10191E-007, 0.00000E+000, 3.54534E+001
 1.90008E+001, 9.83913E-003, 0.00000E+000,-2.43456E-003,-1.11620E-007,-5.79244E-003,-3.52828E-021, 6.70034E-004, 0.00000E+000, 2.28181E-003, 2.28206E-003, 0.00000E+000, 2.34854E-007, 0.00000E+000, 3.99777E+001
 2.00040E+001, 1.09277E-002, 0.00000E+000,-2.73367E-003,-7.16830E-008,-6.46964E-003,-3.91360E-021, 7.17477E-004, 0.00000E+000, 2.44029E-003, 2.44175E-003, 0.00000E+000, 2.60885E-007, 0.00000E+000, 4.48649E+001
 2.10047E+001, 1.20852E-002, 0.00000E+000,-3.02453E-003,-6.28575E-008,-7.19542E-003,-4.31930E-021, 7.77352E-004, 0.00000E+000, 2.64239E-003, 2.64251E-003, 0.00000E+000, 2.88365E-007, 0.00000E+000, 5.01462E+001
 2.20033E+001, 1.32898E-002, 0.00000E+000,-3.32934E-003,-5.87461E-008,-7.95530E-003,-4.74313E-021, 8.36036E-004, 0.00000E+000, 2.83966E-003, 2.84112E-003, 0.00000E+000, 3.17151E-007, 0.00000E+000, 5.58149E+001
 2.30020E+001, 1.45553E-002, 0.00000E+000,-3.64965E-003,-5.90292E-008,-8.74077E-003,-5.18553E-021, 9.03298E-004, 0.00000E+000, 3.06667E-003, 3.06810E-003, 0.00000E+000, 3.47282E-007, 0.00000E+000, 6.19395E+001
 2.40041E+001, 1.58856E-002, 0.00000E+000,-3.98414E-003,-8.50491E-008,-9.56257E-003,-5.64735E-021, 9.76506E-004, 0.00000E+000, 3.31462E-003, 3.31536E-003, 0.00000E+000, 3.78833E-007, 0.00000E+000, 6.85840E+001
 2.50012E+001, 1.72616E-002, 0.00000E+000,-4.33293E-003,-8.07926E-008,-1.04885E-002,-6.12723E-021, 1.02065E-003, 0.00000E+000, 3.45997E-003, 3.46066E-003, 0.00000E+000, 4.11726E-007, 0.00000E+000, 7.54946E+001
 2.60036E+001, 1.79951E-002, 0.00000E+000,-4.51599E-003,-4.33378E-008,-1.13473E-002,-6.37065E-021, 9.02794E-004, 0.00000E+000, 3.03893E-003, 3.03456E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 8.16453E+001
 2.70007E+001, 1.79952E-002, 0.00000E+000,-4.51911E-003,-1.26925E-008,-1.17977E-002,-6.37065E-021, 7.22650E-004, 0.00000E+000, 2.40316E-003, 2.40101E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 8.65408E+001
 2.80031E+001, 1.79952E-002, 0.00000E+000,-4.52500E-003,-1.20727E-008,-1.20263E-002,-6.37067E-021, 6.29426E-004, 0.00000E+000, 2.07480E-003, 2.07330E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.08273E+001
 2.90002E+001, 1.79952E-002, 0.00000E+000,-4.52883E-003,-1.36646E-008,-1.21933E-002,-6.37068E-021, 5.61566E-004, 0.00000E+000, 1.83586E-003, 1.83462E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.46310E+001
 3.00027E+001, 1.79953E-002, 0.00000E+000,-4.53258E-003,-1.12942E-008,-1.23244E-002,-6.37067E-021, 5.08007E-004, 0.00000E+000, 1.64727E-003, 1.64626E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.80903E+001
