s,C,C,C,C,C,C,C,kW,mol/mol,Pa,m,C,C,m,C,C,m,C,C
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box,zint_fire,Tupp_fire,Tlow_fire,zint_mid,Tupp_mid,Tlow_mid,zint_door,Tupp_door,Tlow_door
 0.00000E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 0.00000E+000, 2.06860E-001,-2.50161E-005, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001, 2.30000E-001, 2.50000E+001, 2.50000E+001
 1.00481E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 8.96841E-006, 2.06860E-001,-1.16974E-002, 2.30000E-001, 2.20552E+001, 2.50001E+001, 2.30000E-001, 1.88723E+001, 2.50000E+001, 2.30000E-001, 2.32673E+001, 2.50000E+001
 2.00962E+000, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 6.55739E-005, 2.06860E-001, 3.51965E-002, 2.30000E-001, 2.50000E+001, 2.50063E+001, 2.30000E-001, 2.28398E+001, 2.50000E+001, 2.30000E-001, 2.48090E+001, 2.50000E+001
 3.00315E+000, 2.50002E+001, 2.50002E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 2.50001E+001, 1.79462E-004, 2.06860E-001, 1.91953E-001, 2.30000E-001, 2.50002E+001, 2.50227E+001, 2.30000E-001, 2.50002E+001, 2.50001E+001, 2.30000E-001, 2.50002E+001, 2.50001E+001
 4.00796E+000, 2.50012E+001, 2.50005E+001, 2.50004E+001, 2.50002E+001, 2.50004E+001, 2.50004E+001, 2.50004E+001, 3.50923E-004, 2.06860E-001, 5.56080E-001, 2.30000E-001, 2.50005E+001, 2.50248E+001, 2.30000E-001, 2.50005E+001, 2.50002E+001, 2.30000E-001, 2.50004E+001, 2.50002E+001
 5.00148E+000, 2.50173E+001, 2.50011E+001, 2.50008E+001, 2.50005E+001, 2.50010E+001, 2.50010E+001, 2.50009E+001, 5.79796E-004, 2.06860E-001, 1.22459E+000, 2.30000E-001, 2.50008E+001, 2.50261E+001, 2.30000E-001, 2.50010E+001, 2.50005E+001, 2.30000E-001, 2.50010E+001, 2.50005E+001
 6.00629E+000, 2.50244E+001, 2.50130E+001, 2.51651E+001, 2.50008E+001, 2.50018E+001, 2.50019E+001, 2.50016E+001, 8.66270E-004, 2.06860E-001, 2.28058E+000, 2.30000E-001, 2.51187E+001, 2.50334E+001, 2.30000E-001, 2.50019E+001, 2.50008E+001, 2.30000E-001, 2.50018E+001, 2.50008E+001
 7.01110E+000, 2.50245E+001, 2.50443E+001, 2.64641E+001, 2.50012E+001, 2.50027E+001, 2.50029E+001, 2.50025E+001, 1.21224E-003, 2.06860E-001, 3.60168E+000, 2.30000E-001, 2.54958E+001, 2.50350E+001, 2.30000E-001, 2.50029E+001, 2.50012E+001, 2.30000E-001, 2.50029E+001, 2.50012E+001
 8.00462E+000, 2.50247E+001, 2.50553E+001, 2.72177E+001, 2.50016E+001, 2.50037E+001, 2.50041E+001, 2.50033E+001, 1.61392E-003, 2.06860E-001, 5.03435E+000, 2.30000E-001, 2.58343E+001, 2.50374E+001, 2.30000E-001, 2.50041E+001, 2.50015E+001, 2.30000E-001, 2.50040E+001, 2.50015E+001
 9.00944E+000, 2.50253E+001, 2.50579E+001, 2.79093E+001, 2.50019E+001, 2.50047E+001, 2.50053E+001, 2.50043E+001, 2.07321E-003, 2.06860E-001, 6.64022E+000, 2.09348E-001, 2.62854E+001, 2.50471E+001, 2.30000E-001, 2.50054E+001, 2.50019E+001, 2.30000E-001, 2.50053E+001, 2.50018E+001
 1.00030E+001, 2.50265E+001, 2.50587E+001, 2.86029E+001, 2.50024E+001, 2.50058E+001, 2.50067E+001, 2.50053E+001, 2.58985E-003, 2.06860E-001, 8.49622E+000, 2.13456E-001, 2.68586E+001, 2.50593E+001, 2.30000E-001, 2.50069E+001, 2.50024E+001, 2.30000E-001, 2.50067E+001, 2.50022E+001
 1.10006E+001, 2.50282E+001, 2.50590E+001, 2.93508E+001, 2.50029E+001, 2.50070E+001, 2.50083E+001, 2.50065E+001, 3.16393E-003, 2.06860E-001, 1.06107E+001, 2.16434E-001, 2.75761E+001, 2.50723E+001, 2.30000E-001, 2.50086E+001, 2.50029E+001, 2.30000E-001, 2.50084E+001, 2.50026E+001
 1.20050E+001, 2.50303E+001, 2.50588E+001, 3.01109E+001, 2.50034E+001, 2.50084E+001, 2.50100E+001, 2.50078E+001, 3.79439E-003, 2.06860E-001, 1.30382E+001, 2.18651E-001, 2.84050E+001, 2.50866E+001, 2.30000E-001, 2.50105E+001, 2.50035E+001, 2.30000E-001, 2.50102E+001, 2.50031E+001
 1.30057E+001, 2.50327E+001, 2.50582E+001, 3.09355E+001, 2.50041E+001, 2.50099E+001, 2.50120E+001, 2.50092E+001, 4.48804E-003, 2.06860E-001, 1.57975E+001, 2.20426E-001, 2.94085E+001, 2.51022E+001, 2.30000E-001, 2.50127E+001, 2.50041E+001, 2.30000E-001, 2.50123E+001, 2.50037E+001
 1.40071E+001, 2.50355E+001, 2.50571E+001, 3.18274E+001, 2.50047E+001, 2.50116E+001, 2.50143E+001, 2.50108E+001, 5.23650E-003, 2.06860E-001, 1.88784E+001, 2.21843E-001, 3.05242E+001, 2.51185E+001, 2.30000E-001, 2.50151E+001, 2.50048E+001, 2.30000E-001, 2.50147E+001, 2.50043E+001
 1.50080E+001, 2.50387E+001, 2.50555E+001, 3.26437E+001, 2.50054E+001, 2.50133E+001, 2.50166E+001, 2.50124E+001, 6.03991E-003, 2.06860E-001, 2.22024E+001, 2.23032E-001, 3.17661E+001, 2.51363E+001, 2.30000E-001, 2.50178E+001, 2.50056E+001, 2.30000E-001, 2.50172E+001, 2.50049E+001
 1.60062E+001, 2.50422E+001, 2.50540E+001, 3.36271E+001, 2.50061E+001, 2.50150E+001, 2.50191E+001, 2.50141E+001, 6.90673E-003, 2.06860E-001, 2.57549E+001, 2.24007E-001, 3.34442E+001, 2.51557E+001, 2.30000E-001, 2.50206E+001, 2.50064E+001, 2.30000E-001, 2.50198E+001, 2.50055E+001
 1.70024E+001, 2.50461E+001, 2.50526E+001, 3.43266E+001, 2.50067E+001, 2.50169E+001, 2.50217E+001, 2.50159E+001, 7.82192E-003, 2.06860E-001, 2.95815E+001, 2.24855E-001, 3.50300E+001, 2.51766E+001, 2.30000E-001, 2.50235E+001, 2.50073E+001, 2.30000E-001, 2.50226E+001, 2.50061E+001
 1.80060E+001, 2.50505E+001, 2.50519E+001, 3.54440E+001, 2.50076E+001, 2.50188E+001, 2.50245E+001, 2.50177E+001, 8.80048E-003, 2.06860E-001, 3.37202E+001, 2.25409E-001, 3.65631E+001, 2.52013E+001, 2.30000E-001, 2.50272E+001, 2.50083E+001, 2.30000E-001, 2.50257E+001, 2.50068E+001
 1.90051E+001, 2.50553E+001, 2.50520E+001, 3.62843E+001, 2.50181E+001, 2.50209E+001, 2.50275E+001, 2.50197E+001, 9.84140E-003, 2.06860E-001, 3.81991E+001, 2.25666E-001, 3.73651E+001, 2.52269E+001, 2.30000E-001, 2.50800E+001, 2.50093E+001, 2.30000E-001, 2.50289E+001, 2.50075E+001
 2.00013E+001, 2.50606E+001, 2.50545E+001, 3.73195E+001, 2.50558E+001, 2.50230E+001, 2.50306E+001, 2.50218E+001, 1.09286E-002, 2.06860E-001, 4.29625E+001, 2.25212E-001, 3.84201E+001, 2.52534E+001, 2.30000E-001, 2.52896E+001, 2.50104E+001, 2.30000E-001, 2.50324E+001, 2.50083E+001
 2.10058E+001, 2.50666E+001, 2.50655E+001, 3.97300E+001, 2.51092E+001, 2.50253E+001, 2.50340E+001, 2.50240E+001, 1.20845E-002, 2.06860E-001, 4.81516E+001, 2.23540E-001, 3.97903E+001, 2.52814E+001, 2.30000E-001, 2.54314E+001, 2.50117E+001, 2.30000E-001, 2.50361E+001, 2.50091E+001
 2.20052E+001, 2.50732E+001, 2.51343E+001, 4.14526E+001, 2.51928E+001, 2.50278E+001, 2.50377E+001, 2.50263E+001, 1.32916E-002, 2.06860E-001, 5.37762E+001, 2.21830E-001, 3.97028E+001, 2.53108E+001, 2.30000E-001, 2.55532E+001, 2.50130E+001, 2.30000E-001, 2.50402E+001, 2.50100E+001
 2.30046E+001, 2.50802E+001, 2.53255E+001, 4.34535E+001, 2.54113E+001, 2.50305E+001, 2.50416E+001, 2.50287E+001, 1.45582E-002, 2.06860E-001, 5.97994E+001, 2.20913E-001, 3.98973E+001, 2.53423E+001, 2.06499E-001, 2.58965E+001, 2.50145E+001, 2.30000E-001, 2.50445E+001, 2.50110E+001
 2.40007E+001, 2.50877E+001, 2.55144E+001, 4.82658E+001, 2.57763E+001, 2.50333E+001, 2.50458E+001, 2.50313E+001, 1.58850E-002, 2.06858E-001, 6.63285E+001, 2.18998E-001, 4.10140E+001, 2.53748E+001, 1.63139E-001, 2.60419E+001, 2.50160E+001, 2.30000E-001, 2.50491E+001, 2.50120E+001
 2.50045E+001, 2.50957E+001, 2.56164E+001, 4.91946E+001, 2.58796E+001, 2.50363E+001, 2.50502E+001, 2.50339E+001, 1.72616E-002, 2.06856E-001, 7.32619E+001, 2.17408E-001, 4.20414E+001, 2.54089E+001, 1.64906E-001, 2.61636E+001, 2.50176E+001, 2.30000E-001, 2.50540E+001, 2.50131E+001
 2.60029E+001, 2.51036E+001, 2.56485E+001, 5.04860E+001, 2.61577E+001, 2.50390E+001, 2.50545E+001, 2.50361E+001, 1.79952E-002, 2.06853E-001, 8.01433E+001, 2.16898E-001, 4.28244E+001, 2.54428E+001, 1.68038E-001, 2.64613E+001, 2.50190E+001, 2.30000E-001, 2.50588E+001, 2.50139E+001
 2.70013E+001, 2.51097E+001, 2.56408E+001, 5.07230E+001, 2.63198E+001, 2.50405E+001, 2.50575E+001, 2.50369E+001, 1.79952E-002, 2.06852E-001, 8.57592E+001, 2.16527E-001, 4.28900E+001, 2.54700E+001, 1.68618E-001, 2.65516E+001, 2.50197E+001, 2.30000E-001, 2.50625E+001, 2.50141E+001
 2.80050E+001, 2.51146E+001, 2.55958E+001, 5.08969E+001, 2.64617E+001, 2.50412E+001, 2.50597E+001, 2.50368E+001, 1.79952E-002, 2.06852E-001, 9.05435E+001, 2.15962E-001, 4.30440E+001, 2.54940E+001, 1.70093E-001, 2.67001E+001, 2.50203E+001, 2.30000E-001, 2.50653E+001, 2.50142E+001
 2.90034E+001, 2.51188E+001, 2.55106E+001, 5.10420E+001, 2.65488E+001, 2.50415E+001, 2.50613E+001, 2.50362E+001, 1.79952E-002, 2.06852E-001, 9.47847E+001, 2.15623E-001, 4.33550E+001, 2.55170E+001, 1.71073E-001, 2.68311E+001, 2.50208E+001, 2.30000E-001, 2.50675E+001, 2.50142E+001
 3.00018E+001, 2.51225E+001, 2.54163E+001, 5.11378E+001, 2.66812E+001, 2.50418E+001, 2.50624E+001, 2.50350E+001, 1.79952E-002, 2.06851E-001, 9.86010E+001, 2.16302E-001, 4.36734E+001, 2.55389E+001, 1.72155E-001, 2.69805E+001, 2.50214E+001, 2.30000E-001, 2.50684E+001, 2.50142E+001
 3.10002E+001, 2.51257E+001, 2.53436E+001, 5.12241E+001, 2.67784E+001, 2.50420E+001, 2.50633E+001, 2.50328E+001, 1.79952E-002, 2.06851E-001, 1.02100E+002, 2.17082E-001, 4.39654E+001, 2.55593E+001, 1.72724E-001, 2.70871E+001, 2.50219E+001, 2.30000E-001, 2.51315E+001, 2.50143E+001
 3.20039E+001, 2.51285E+001, 2.52957E+001, 5.13199E+001, 2.68615E+001, 2.50424E+001, 2.50640E+001, 2.50275E+001, 1.79953E-002, 2.06851E-001, 1.05359E+002, 2.17984E-001, 4.43429E+001, 2.55782E+001, 1.72852E-001, 2.71662E+001, 2.50224E+001, 2.30000E-001, 2.57336E+001, 2.50143E+001
 3.30023E+001, 2.51310E+001, 2.52678E+001, 5.12436E+001, 2.69549E+001, 2.50429E+001, 2.50632E+001, 2.50563E+001, 1.79952E-002, 2.06851E-001, 1.08419E+002, 2.18998E-001, 4.47695E+001, 2.55956E+001, 1.72691E-001, 2.72215E+001, 2.50230E+001, 2.30000E-001, 2.58029E+001, 2.50144E+001
 3.40007E+001, 2.51330E+001, 2.52561E+001, 5.10239E+001, 2.70491E+001, 2.50437E+001, 2.50572E+001, 2.53958E+001, 1.79953E-002, 2.06851E-001, 1.11252E+002, 2.19954E-001, 4.51278E+001, 2.56118E+001, 1.72446E-001, 2.72600E+001, 2.50235E+001, 2.30000E-001, 2.57651E+001, 2.50147E+001
 3.50045E+001, 2.51348E+001, 2.52582E+001, 5.07507E+001, 2.70850E+001, 2.50450E+001, 2.51032E+001, 2.55393E+001, 1.79953E-002, 2.06851E-001, 1.13914E+002, 2.20651E-001, 4.51645E+001, 2.56269E+001, 1.71978E-001, 2.72776E+001, 2.50240E+001, 2.30000E-001, 2.57376E+001, 2.50151E+001
 3.60029E+001, 2.51364E+001, 2.52734E+001, 5.02212E+001, 2.70534E+001, 2.50463E+001, 2.53432E+001, 2.55116E+001, 1.79953E-002, 2.06851E-001, 1.16489E+002, 2.20862E-001, 4.49411E+001, 2.56410E+001, 1.71106E-001, 2.72703E+001, 2.50246E+001, 2.30000E-001, 2.57279E+001, 2.50157E+001
 3.70013E+001, 2.51378E+001, 2.53004E+001, 4.96356E+001, 2.69757E+001, 2.50467E+001, 2.55568E+001, 2.54668E+001, 1.79953E-002, 2.06850E-001, 1.19019E+002, 2.20755E-001, 4.46249E+001, 2.56544E+001, 1.69928E-001, 2.72490E+001, 2.50252E+001, 2.30000E-001, 2.57517E+001, 2.50162E+001
 3.80050E+001, 2.51392E+001, 2.53357E+001, 4.91456E+001, 2.68729E+001, 2.50452E+001, 2.55889E+001, 2.54896E+001, 1.79953E-002, 2.06849E-001, 1.21551E+002, 2.20599E-001, 4.44084E+001, 2.56673E+001, 1.68645E-001, 2.72278E+001, 2.50258E+001, 2.30000E-001, 2.58188E+001, 2.50170E+001
 3.90034E+001, 2.51405E+001, 2.53728E+001, 4.88748E+001, 2.67518E+001, 2.50437E+001, 2.55449E+001, 2.55090E+001, 1.79953E-002, 2.06848E-001, 1.24108E+002, 2.20602E-001, 4.43454E+001, 2.56798E+001, 1.67289E-001, 2.72026E+001, 2.50265E+001, 2.30000E-001, 2.59063E+001, 2.50171E+001
 4.00018E+001, 2.51418E+001, 2.54080E+001, 4.85813E+001, 2.66468E+001, 2.50426E+001, 2.54845E+001, 2.55215E+001, 1.79953E-002, 2.06846E-001, 1.26670E+002, 2.20662E-001, 4.42872E+001, 2.56918E+001, 1.65789E-001, 2.71742E+001, 2.50272E+001, 2.30000E-001, 2.59760E+001, 2.50156E+001
 4.10002E+001, 2.51430E+001, 2.54402E+001, 4.83534E+001, 2.65760E+001, 2.50411E+001, 2.54015E+001, 2.55643E+001, 1.79953E-002, 2.06842E-001, 1.29201E+002, 2.20774E-001, 4.42779E+001, 2.57035E+001, 1.63880E-001, 2.71414E+001, 2.50279E+001, 2.30000E-001, 2.59973E+001, 2.50141E+001
 4.20039E+001, 2.51440E+001, 2.54686E+001, 4.80680E+001, 2.65242E+001, 2.50391E+001, 2.52832E+001, 2.56350E+001, 1.79953E-002, 2.06834E-001, 1.31659E+002, 2.21102E-001, 4.43199E+001, 2.57150E+001, 1.61078E-001, 2.71077E+001, 2.50286E+001, 2.30000E-001, 2.59750E+001, 2.50133E+001
 4.30023E+001, 2.51450E+001, 2.54941E+001, 4.77798E+001, 2.64947E+001, 2.50371E+001, 2.51840E+001, 2.57056E+001, 1.79952E-002, 2.06817E-001, 1.34028E+002, 2.21561E-001, 4.43288E+001, 2.57265E+001, 1.56807E-001, 2.70810E+001, 2.50293E+001, 2.30000E-001, 2.59283E+001, 2.50130E+001
 4.40007E+001, 2.51459E+001, 2.55188E+001, 4.75752E+001, 2.64715E+001, 2.50353E+001, 2.51341E+001, 2.57472E+001, 1.79953E-002, 2.06781E-001, 1.36323E+002, 2.21838E-001, 4.42783E+001, 2.57380E+001, 1.50272E-001, 2.70397E+001, 2.50301E+001, 2.30000E-001, 2.58764E+001, 2.50132E+001
 4.50045E+001, 2.51469E+001, 2.55471E+001, 4.75347E+001, 2.64345E+001, 2.50339E+001, 2.51127E+001, 2.57353E+001, 1.79953E-002, 2.06721E-001, 1.38564E+002, 2.21798E-001, 4.41118E+001, 2.57498E+001, 1.42122E-001, 2.69739E+001, 2.50309E+001, 2.30000E-001, 2.58294E+001, 2.50137E+001
 4.60029E+001, 2.51480E+001, 2.55857E+001, 4.75223E+001, 2.63872E+001, 2.50328E+001, 2.51054E+001, 2.56727E+001, 1.79953E-002, 2.06659E-001, 1.40735E+002, 2.21561E-001, 4.37989E+001, 2.57619E+001, 1.35789E-001, 2.68912E+001, 2.50317E+001, 2.30000E-001, 2.57957E+001, 2.50143E+001
 4.70013E+001, 2.51495E+001, 2.56412E+001, 4.75092E+001, 2.63534E+001, 2.50320E+001, 2.51086E+001, 2.55879E+001, 1.79953E-002, 2.06634E-001, 1.42818E+002, 2.21177E-001, 4.34608E+001, 2.57747E+001, 1.34560E-001, 2.68308E+001, 2.50324E+001, 2.30000E-001, 2.57827E+001, 2.50147E+001
 4.80050E+001, 2.51516E+001, 2.57185E+001, 4.76846E+001, 2.63650E+001, 2.50314E+001, 2.51251E+001, 2.55029E+001, 1.79952E-002, 2.06645E-001, 1.44801E+002, 2.20624E-001, 4.31972E+001, 2.57886E+001, 1.36981E-001, 2.68221E+001, 2.50330E+001, 2.30000E-001, 2.57885E+001, 2.50146E+001
 4.90034E+001, 2.51547E+001, 2.58248E+001, 4.82728E+001, 2.64108E+001, 2.50309E+001, 2.51651E+001, 2.54398E+001, 1.79953E-002, 2.06661E-001, 1.46650E+002, 2.19789E-001, 4.28591E+001, 2.58041E+001, 1.39212E-001, 2.68728E+001, 2.50336E+001, 2.30000E-001, 2.58065E+001, 2.50142E+001
 5.00018E+001, 2.51589E+001, 2.59520E+001, 4.90975E+001, 2.64488E+001, 2.50305E+001, 2.52332E+001, 2.53814E+001, 1.79954E-002, 2.06665E-001, 1.48346E+002, 2.18749E-001, 4.23872E+001, 2.58210E+001, 1.39238E-001, 2.69441E+001, 2.50341E+001, 2.30000E-001, 2.58298E+001, 2.50136E+001
 5.10002E+001, 2.51643E+001, 2.60440E+001, 5.04035E+001, 2.64893E+001, 2.50300E+001, 2.53117E+001, 2.53140E+001, 1.79955E-002, 2.06647E-001, 1.49852E+002, 2.18114E-001, 4.25875E+001, 2.58389E+001, 1.38146E-001, 2.69957E+001, 2.50346E+001, 2.30000E-001, 2.58650E+001, 2.50131E+001
 5.20039E+001, 2.51709E+001, 2.60518E+001, 5.12517E+001, 2.65716E+001, 2.50294E+001, 2.54282E+001, 2.53011E+001, 1.79955E-002, 2.06605E-001, 1.51181E+002, 2.18419E-001, 4.31270E+001, 2.58562E+001, 1.37913E-001, 2.70266E+001, 2.50351E+001, 2.30000E-001, 2.59107E+001, 2.50126E+001
 5.30023E+001, 2.51784E+001, 2.60005E+001, 5.15649E+001, 2.67920E+001, 2.50288E+001, 2.56782E+001, 2.53033E+001, 1.79955E-002, 2.06548E-001, 1.52389E+002, 2.18516E-001, 4.35687E+001, 2.58719E+001, 1.39694E-001, 2.70772E+001, 2.50356E+001, 2.30000E-001, 2.59515E+001, 2.50122E+001
 5.40007E+001, 2.51858E+001, 2.59693E+001, 5.17240E+001, 2.69403E+001, 2.50285E+001, 2.58263E+001, 2.52731E+001, 1.79953E-002, 2.06469E-001, 1.53487E+002, 2.18199E-001, 4.36903E+001, 2.58848E+001, 1.40939E-001, 2.70738E+001, 2.50360E+001, 2.30000E-001, 2.59549E+001, 2.50120E+001
 5.50045E+001, 2.51926E+001, 2.59882E+001, 5.17976E+001, 2.70065E+001, 2.50284E+001, 2.58745E+001, 2.52543E+001, 1.79952E-002, 2.06368E-001, 1.54453E+002, 2.18005E-001, 4.34773E+001, 2.58944E+001, 1.43087E-001, 2.71224E+001, 2.50365E+001, 2.30000E-001, 2.59205E+001, 2.50117E+001
 5.60029E+001, 2.51983E+001, 2.60141E+001, 5.15265E+001, 2.70862E+001, 2.50292E+001, 2.58396E+001, 2.52585E+001, 1.79951E-002, 2.06266E-001, 1.55280E+002, 2.18456E-001, 4.30071E+001, 2.59011E+001, 1.44202E-001, 2.71638E+001, 2.50369E+001, 2.30000E-001, 2.58718E+001, 2.50115E+001
 5.70013E+001, 2.52031E+001, 2.60149E+001, 5.02492E+001, 2.71395E+001, 2.50309E+001, 2.57373E+001, 2.52909E+001, 1.79951E-002, 2.06172E-001, 1.55999E+002, 2.19376E-001, 4.28527E+001, 2.59051E+001, 1.43957E-001, 2.71701E+001, 2.50374E+001, 2.30000E-001, 2.58339E+001, 2.50114E+001
 5.80050E+001, 2.52075E+001, 2.59920E+001, 4.81465E+001, 2.70657E+001, 2.50315E+001, 2.55723E+001, 2.53663E+001, 1.79951E-002, 2.06090E-001, 1.56724E+002, 2.19948E-001, 4.25813E+001, 2.59067E+001, 1.42339E-001, 2.71409E+001, 2.50379E+001, 2.30000E-001, 2.58290E+001, 2.50115E+001
 5.90034E+001, 2.52122E+001, 2.59633E+001, 4.67816E+001, 2.68884E+001, 2.50302E+001, 2.53840E+001, 2.53937E+001, 1.79954E-002, 2.06026E-001, 1.57537E+002, 2.20298E-001, 4.19793E+001, 2.59063E+001, 1.40090E-001, 2.71072E+001, 2.50385E+001, 2.30000E-001, 2.58956E+001, 2.50118E+001
 6.00018E+001, 2.52176E+001, 2.59444E+001, 4.62935E+001, 2.67499E+001, 2.50281E+001, 2.52927E+001, 2.53473E+001, 1.79954E-002, 2.05977E-001, 1.58376E+002, 2.20512E-001, 4.16663E+001, 2.59048E+001, 1.37327E-001, 2.70616E+001, 2.50392E+001, 1.28642E-001, 2.60784E+001, 2.50120E+001
