s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,ZONE_1
 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 9.90273E-027, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000,-1.16650E-004, 0.00000E+000, 0.00000E+000, 0.00000E+000,-2.99270E-002
 1.00481E+000, 8.96841E-006, 0.00000E+000,-4.57065E-006, 5.85978E-012,-4.75112E-006,-3.58853E-024,-4.31178E-007, 0.00000E+000,-8.12359E-007,-7.84539E-007, 0.00000E+000, 2.34618E-010, 0.00000E+000,-3.13715E-002
 2.00962E+000, 6.55739E-005, 0.00000E+000,-1.27630E-005, 5.56054E-013,-1.96167E-005,-2.48713E-023, 1.32530E-005, 0.00000E+000, 4.58085E-005, 4.64472E-005, 0.00000E+000, 1.62669E-009, 0.00000E+000, 5.84961E-002
 3.00314E+000, 1.79462E-004, 0.00000E+000,-3.97237E-005,-2.87273E-012,-5.21129E-005,-6.69589E-023, 3.51253E-005, 0.00000E+000, 1.21550E-004, 1.22751E-004, 0.00000E+000, 4.38230E-009, 0.00000E+000, 2.94337E-001
 4.00796E+000, 3.50923E-004, 0.00000E+000,-7.91732E-005,-3.94466E-012,-8.54121E-005,-1.29950E-022, 7.47746E-005, 0.00000E+000, 2.59391E-004, 2.61112E-004, 0.00000E+000, 8.50927E-009, 0.00000E+000, 8.02865E-001
 5.00148E+000, 5.79796E-004, 0.00000E+000,-1.35633E-004,-3.95222E-011,-1.33223E-004,-2.13679E-022, 1.24876E-004, 0.00000E+000, 4.33573E-004, 4.35816E-004, 0.00000E+000, 1.40024E-008, 0.00000E+000, 1.64318E+000
 6.00629E+000, 8.66270E-004, 0.00000E+000,-2.08817E-004,-3.23475E-009,-2.02523E-004,-3.18178E-022, 1.83100E-004, 0.00000E+000, 6.36679E-004, 6.38027E-004, 0.00000E+000, 2.08670E-008, 0.00000E+000, 2.89137E+000
 7.01110E+000, 1.21224E-003, 0.00000E+000,-2.94067E-004,-1.10618E-008,-4.22389E-004,-4.44093E-022, 2.00435E-004, 0.00000E+000, 6.95239E-004, 6.96208E-004, 0.00000E+000, 2.91494E-008, 0.00000E+000, 4.25827E+000
 8.00462E+000, 1.61392E-003, 0.00000E+000,-3.94040E-004,-2.41018E-008,-6.71429E-004,-5.89914E-022, 2.22541E-004, 0.00000E+000, 7.69882E-004, 7.70972E-004, 0.00000E+000, 3.87567E-008, 0.00000E+000, 5.75889E+000
 9.00943E+000, 2.07321E-003, 0.00000E+000,-5.10238E-004,-3.88311E-008,-9.39674E-004,-7.56314E-022, 2.53564E-004, 0.00000E+000, 8.75213E-004, 8.76827E-004, 0.00000E+000, 4.97353E-008, 0.00000E+000, 7.48770E+000
 1.00030E+001, 2.58985E-003, 0.00000E+000,-6.35920E-004,-6.17610E-008,-1.23501E-003,-9.43108E-022, 2.93110E-004, 0.00000E+000, 1.01036E-003, 1.01197E-003, 0.00000E+000, 6.20801E-008, 0.00000E+000, 9.46392E+000
 1.10006E+001, 3.16393E-003, 0.00000E+000,-7.76736E-004,-7.80553E-008,-1.57033E-003,-1.14945E-021, 3.33725E-004, 0.00000E+000, 1.14871E-003, 1.15052E-003, 0.00000E+000, 7.57415E-008, 0.00000E+000, 1.17232E+001
 1.20050E+001, 3.79439E-003, 0.00000E+000,-9.09697E-004,-9.39661E-008,-1.95391E-003,-1.37712E-021, 3.80875E-004, 0.00000E+000, 1.30987E-003, 1.31156E-003, 0.00000E+000, 9.08435E-008, 0.00000E+000, 1.43197E+001
 1.30057E+001, 4.48804E-003, 0.00000E+000,-1.04454E-003,-1.01988E-007,-2.39295E-003,-1.62536E-021, 4.30529E-004, 0.00000E+000, 1.47928E-003, 1.48098E-003, 0.00000E+000, 1.07342E-007, 0.00000E+000, 1.72439E+001
 1.40071E+001, 5.23650E-003, 0.00000E+000,-1.19998E-003,-1.16629E-007,-2.88215E-003,-1.89342E-021, 4.74143E-004, 0.00000E+000, 1.62711E-003, 1.62840E-003, 0.00000E+000, 1.25194E-007, 0.00000E+000, 2.04672E+001
 1.50080E+001, 6.03991E-003, 0.00000E+000,-1.41494E-003,-1.13014E-007,-3.40350E-003,-2.18152E-021, 5.03270E-004, 0.00000E+000, 1.72387E-003, 1.72462E-003, 0.00000E+000, 1.44423E-007, 0.00000E+000, 2.38876E+001
 1.60062E+001, 6.90673E-003, 0.00000E+000,-1.65107E-003,-1.29500E-007,-3.93562E-003,-2.48903E-021, 5.45238E-004, 0.00000E+000, 1.86456E-003, 1.86516E-003, 0.00000E+000, 1.64992E-007, 0.00000E+000, 2.75827E+001
 1.70024E+001, 7.82192E-003, 0.00000E+000,-1.90048E-003,-1.31516E-007,-4.50490E-003,-2.81536E-021, 5.85969E-004, 0.00000E+000, 2.00103E-003, 2.00239E-003, 0.00000E+000, 1.86875E-007, 0.00000E+000, 3.15458E+001
 1.80060E+001, 8.80048E-003, 0.00000E+000,-2.15991E-003,-1.52167E-007,-5.11358E-003,-3.16229E-021, 6.33075E-004, 0.00000E+000, 2.15926E-003, 2.15991E-003, 0.00000E+000, 2.10192E-007, 0.00000E+000, 3.58593E+001
 1.90051E+001, 9.84140E-003, 0.00000E+000,-2.43733E-003,-1.56965E-007,-5.76172E-003,-3.52906E-021, 6.82180E-004, 0.00000E+000, 2.32444E-003, 2.32437E-003, 0.00000E+000, 2.34908E-007, 0.00000E+000, 4.04872E+001
 2.00013E+001, 1.09286E-002, 0.00000E+000,-2.73232E-003,-1.46824E-007,-6.44172E-003,-3.91388E-021, 7.29458E-004, 0.00000E+000, 2.48220E-003, 2.48384E-003, 0.00000E+000, 2.60905E-007, 0.00000E+000, 4.54204E+001
 2.10058E+001, 1.20845E-002, 0.00000E+000,-3.02347E-003,-8.62864E-008,-7.14283E-003,-4.31897E-021, 7.98341E-004, 0.00000E+000, 2.71610E-003, 2.71644E-003, 0.00000E+000, 2.88343E-007, 0.00000E+000, 5.08655E+001
 2.20052E+001, 1.32916E-002, 0.00000E+000,-3.32766E-003,-8.27147E-008,-7.91423E-003,-4.74376E-021, 8.53791E-004, 0.00000E+000, 2.90217E-003, 2.90344E-003, 0.00000E+000, 3.17196E-007, 0.00000E+000, 5.66592E+001
 2.30046E+001, 1.45582E-002, 0.00000E+000,-3.64940E-003,-7.80431E-008,-8.68818E-003,-5.18651E-021, 9.25362E-004, 0.00000E+000, 3.14408E-003, 3.14589E-003, 0.00000E+000, 3.47353E-007, 0.00000E+000, 6.29380E+001
 2.40007E+001, 1.58850E-002, 0.00000E+000,-3.98228E-003,-1.14123E-007,-9.50912E-003,-5.64712E-021, 9.98174E-004, 0.00000E+000, 3.39089E-003, 3.39170E-003, 0.00000E+000, 3.78821E-007, 0.00000E+000, 6.96892E+001
 2.50045E+001, 1.72616E-002, 0.00000E+000,-4.33139E-003,-1.04548E-007,-1.04354E-002,-6.12717E-021, 1.04237E-003, 0.00000E+000, 3.53628E-003, 3.53709E-003, 0.00000E+000, 4.11725E-007, 0.00000E+000, 7.67939E+001
 2.60029E+001, 1.79952E-002, 0.00000E+000,-4.51377E-003,-5.50202E-008,-1.12823E-002,-6.37063E-021, 9.29506E-004, 0.00000E+000, 3.13287E-003, 3.12854E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 8.31008E+001
 2.70013E+001, 1.79952E-002, 0.00000E+000,-4.51696E-003,-1.27139E-008,-1.17238E-002,-6.37062E-021, 7.52838E-004, 0.00000E+000, 2.50930E-003, 2.50725E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 8.82074E+001
 2.80050E+001, 1.79952E-002, 0.00000E+000,-4.52203E-003,-1.19623E-008,-1.19521E-002,-6.37063E-021, 6.60060E-004, 0.00000E+000, 2.18256E-003, 2.18108E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.27082E+001
 2.90034E+001, 1.79952E-002, 0.00000E+000,-4.52643E-003,-1.16561E-008,-1.21226E-002,-6.37064E-021, 5.90579E-004, 0.00000E+000, 1.93793E-003, 1.93671E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 9.67136E+001
 3.00018E+001, 1.79952E-002, 0.00000E+000,-4.53019E-003,-1.39677E-008,-1.22525E-002,-6.37064E-021, 5.37469E-004, 0.00000E+000, 1.75087E-003, 1.74995E-003, 0.00000E+000, 4.28458E-007, 0.00000E+000, 1.00359E+002
