# run,2026-08-27_exponat_R2
# scope,TEMPERATURE + event timing only (flux/mass channels dead)
# t_ignition_exp_time_s,74.0
# x_axis,time_from_ignition_s = exp_time_s - t_ignition_exp_time_s
# tc_positions_m,"TC_01:(x=0.12,z=0.05); TC_02:(x=0.12,z=0.16); TC_03:(x=0.12,z=0.23); TC_05:(x=0.35,z=0.23); TC_09:(x=0.7,z=0.015); TC_10:(x=0.7,z=0.075); TC_11:(x=0.7,z=0.14)"
# source,exponat_analysis.py
time_from_ignition_s,exp_time_s,event_number,TC_01_C,TC_02_C,TC_03_C,TC_05_C,TC_09_C,TC_10_C,TC_11_C,dT_upperlayer_T3_T2_C,dT_doorway_T11_T9_C
-74,0,0,26.6,25.6,26.8,25.9,25.5,25.5,25.9,1.2,0.4
-73,1,0,26.6,25.6,26.8,25.9,25.5,25.5,25.9,1.2,0.4
-72,2,0,26.6,25.6,26.9,25.9,25.5,25.4,25.9,1.3,0.4
-71,3,0,26.6,25.6,26.9,25.9,25.5,25.4,25.9,1.3,0.4
-70,4,0,26.6,25.6,26.9,25.9,25.5,25.4,25.9,1.3,0.4
-69,5,0,26.6,25.6,26.9,25.9,25.4,25.4,25.8,1.3,0.400002
-68,6,0,26.6,25.6,26.9,25.9,25.4,25.4,25.8,1.3,0.400002
-67,7,0,26.6,25.6,26.9,25.9,25.4,25.4,25.8,1.3,0.400002
-66,8,0,26.6,25.6,26.9,25.9,25.4,25.3,25.8,1.3,0.400002
-65,9,0,26.6,25.6,26.9,25.9,25.4,25.3,25.8,1.3,0.400002
-64,10,0,26.6,25.6,26.8,25.9,25.4,25.3,25.8,1.2,0.400002
-63,11,0,26.6,25.6,26.8,25.9,25.4,25.3,25.8,1.2,0.400002
-62,12,0,26.6,25.6,26.8,25.9,25.4,25.3,25.8,1.2,0.400002
-61,13,0,26.6,25.7,26.8,25.9,25.4,25.3,25.8,1.1,0.400002
-60,14,0,26.6,25.7,26.8,25.9,25.4,25.4,25.8,1.1,0.400002
-59,15,0,26.6,25.7,26.8,25.9,25.4,25.4,25.8,1.1,0.400002
-58,16,0,26.6,25.7,26.8,25.9,25.4,25.4,25.8,1.1,0.400002
-57,17,0,26.6,25.6,26.8,25.9,25.4,25.4,25.8,1.2,0.400002
-56,18,0,26.6,25.6,26.8,25.9,25.4,25.4,25.8,1.2,0.400002
-55,19,0,26.6,25.6,26.8,25.9,25.4,25.4,25.8,1.2,0.400002
-54,20,0,26.6,25.6,26.7,25.9,25.4,25.5,25.8,1.1,0.400002
-53,21,0,26.6,25.6,26.7,25.9,25.4,25.5,25.8,1.1,0.400002
-52,22,0,26.6,25.6,26.7,25.9,25.4,25.5,25.8,1.1,0.400002
-51,23,0,26.6,25.6,26.6,25.9,25.4,25.5,25.8,1,0.400002
-50,24,1,26.6,25.6,26.6,25.9,25.4,25.6,25.9,1,0.5
-49,25,1,26.6,25.6,26.7,25.9,25.4,25.6,25.9,1.1,0.5
-48,26,1,26.6,25.6,26.7,25.9,25.4,25.6,25.9,1.1,0.5
-47,27,1,26.6,25.6,26.7,25.9,25.4,25.6,25.9,1.1,0.5
-46,28,1,26.6,25.6,26.7,25.9,25.4,25.6,25.9,1.1,0.5
-45,29,1,26.6,25.6,26.8,25.9,25.5,25.6,25.9,1.2,0.4
-44,30,1,26.6,25.6,26.8,25.9,25.5,25.6,25.8,1.2,0.300001
-43,31,1,26.6,25.6,26.7,25.9,25.5,25.5,25.8,1.1,0.300001
-42,32,1,26.6,25.6,26.7,25.9,25.5,25.5,25.8,1.1,0.300001
-41,33,1,26.6,25.6,26.6,25.9,25.4,25.5,25.9,1,0.5
-40,34,1,26.6,25.6,26.6,25.9,25.4,25.4,25.9,1,0.5
-39,35,1,26.6,25.6,26.5,25.9,25.4,25.4,25.9,0.9,0.5
-37,37,1,26.6,25.6,26.5,25.9,25.4,25.4,25.9,0.9,0.5
-36,38,1,26.6,25.6,26.6,25.9,25.4,25.4,25.9,1,0.5
-35,39,1,26.6,25.6,26.6,25.9,25.4,25.4,25.9,1,0.5
-34,40,1,26.6,25.6,26.7,25.9,25.4,25.5,25.9,1.1,0.5
-33,41,1,26.5,25.6,26.7,25.9,25.4,25.5,25.9,1.1,0.5
-32,42,1,26.5,25.6,26.7,25.9,25.4,25.5,25.9,1.1,0.5
-31,43,1,26.5,25.6,26.7,25.9,25.4,25.5,25.9,1.1,0.5
-30,44,1,26.6,25.6,26.7,25.9,25.4,25.5,25.9,1.1,0.5
-29,45,1,26.6,25.6,26.7,25.9,25.4,25.4,25.9,1.1,0.5
-28,46,1,26.5,25.6,26.6,25.9,25.4,25.4,25.9,1,0.5
-27,47,1,26.5,25.6,26.7,25.9,25.4,25.4,25.9,1.1,0.5
-26,48,1,26.5,25.6,26.7,25.9,25.4,25.4,25.9,1.1,0.5
-25,49,1,26.5,25.5,26.7,25.9,25.4,25.4,25.9,1.2,0.5
-24,50,1,26.5,25.5,26.7,25.9,25.4,25.4,25.9,1.2,0.5
-23,51,1,26.5,25.5,26.7,25.9,25.4,25.3,25.9,1.2,0.5
-22,52,1,26.5,25.5,26.7,25.9,25.4,25.3,25.9,1.2,0.5
-21,53,1,26.5,25.5,26.8,25.9,25.4,25.3,25.9,1.3,0.5
-20,54,1,26.5,25.5,26.8,25.9,25.4,25.3,25.9,1.3,0.5
-19,55,1,26.5,25.5,26.8,25.9,25.4,25.3,25.9,1.3,0.5
-18,56,1,26.5,25.5,26.8,25.9,25.4,25.3,25.9,1.3,0.5
-17,57,1,26.5,25.5,26.8,25.9,25.4,25.3,25.9,1.3,0.5
-16,58,1,26.5,25.5,26.8,25.9,25.4,25.4,25.9,1.3,0.5
-15,59,1,26.5,25.6,26.8,25.9,25.4,25.4,25.9,1.2,0.5
-14,60,1,26.5,25.6,26.8,25.9,25.4,25.5,25.9,1.2,0.5
-13,61,1,26.5,25.6,26.9,25.9,25.4,25.5,25.9,1.3,0.5
-12,62,1,26.5,25.6,26.9,25.9,25.4,25.5,25.9,1.3,0.5
-11,63,1,26.5,25.6,26.9,25.9,25.4,25.5,25.9,1.3,0.5
-10,64,1,26.5,25.6,26.9,25.9,25.4,25.6,25.9,1.3,0.5
-9,65,1,26.5,25.6,26.8,25.9,25.4,25.6,25.9,1.2,0.5
-8,66,1,26.6,25.6,26.9,25.9,25.4,25.6,25.9,1.3,0.5
-7,67,1,26.6,25.6,26.9,25.9,25.4,25.6,25.9,1.3,0.5
-6,68,1,26.6,25.6,26.9,25.9,25.5,25.6,25.9,1.3,0.4
-5,69,1,26.6,25.6,26.9,25.9,25.5,25.6,25.9,1.3,0.4
-4,70,1,26.6,25.6,26.9,25.9,25.4,25.6,25.9,1.3,0.5
-3,71,1,26.6,25.6,26.9,25.9,25.4,25.6,25.9,1.3,0.5
-2,72,1,26.8,26.9,29.5,25.9,25.4,25.5,25.9,2.6,0.5
-1,73,2,27.7,27.6,30.9,25.9,25.4,25.5,25.9,3.3,0.5
0,74,2,30.2,27.1,32.7,25.9,25.4,25.5,25.9,5.6,0.5
1,75,2,31.5,27.1,34.5,26.1,25.4,25.5,25.9,7.4,0.5
2,76,2,36.3,26.9,34.1,26.3,25.4,25.5,25.9,7.2,0.5
4,78,2,38,27.4,36.9,26.6,25.4,25.4,25.9,9.5,0.5
5,79,2,39.6,27.5,37.2,26.6,25.4,25.4,25.9,9.7,0.5
6,80,2,40.5,29.6,37,26.8,25.4,25.4,25.9,7.4,0.5
7,81,2,39.7,29.4,36.8,26.9,25.4,25.5,25.9,7.4,0.5
8,82,2,39.7,29.5,35.9,26.9,25.4,25.6,26.8,6.4,1.4
9,83,2,41.3,29.6,37.1,26.7,25.4,25.7,27.4,7.5,2
10,84,2,43.3,30.8,38.7,26.8,25.4,25.8,27.7,7.9,2.3
11,85,2,44.3,31.9,37.8,26.9,25.4,25.6,27.8,5.9,2.4
12,86,2,45.8,33.1,38.1,26.8,25.4,25.5,27.8,5,2.4
13,87,2,46.6,32.2,39.1,26.5,25.4,25.5,27.6,6.9,2.2
14,88,2,46.8,31.3,39.8,26.5,25.4,25.5,27.5,8.5,2.1
15,89,2,46.7,30.2,40.5,26.3,25.4,25.4,27.3,10.3,1.9
16,90,2,47.9,31.8,41,26.3,25.4,25.5,27.2,9.2,1.8
17,91,2,49.4,30.2,40.3,26.6,25.4,25.5,27,10.1,1.6
18,92,2,50.7,29.4,39.7,26.6,25.4,25.6,26.8,10.3,1.4
19,93,2,49.5,28.3,40.2,26.6,25.4,25.6,26.8,11.9,1.4
20,94,2,49.8,28.7,39.7,26.6,25.4,25.6,27,11,1.6
21,95,2,50.7,28.7,39.5,26.7,25.4,25.6,27.1,10.8,1.7
22,96,2,51.1,29.8,39.6,26.8,25.4,25.5,27,9.8,1.6
23,97,2,51.8,29,40.5,26.9,25.4,25.5,27.1,11.5,1.7
24,98,2,53.3,30.6,40.6,27,25.4,25.6,27.3,10,1.9
25,99,2,54.1,32.8,42.3,27,25.4,25.7,27.4,9.5,2
26,100,2,54.7,35.4,43,26.9,25.4,25.8,27.2,7.6,1.8
27,101,2,54.5,38.1,43.5,26.9,25.4,25.8,27.2,5.4,1.8
28,102,2,55.4,36.1,44.1,26.7,25.4,25.7,27.3,8,1.9
29,103,2,55.9,35.4,44.3,26.7,25.4,25.7,27.3,8.9,1.9
30,104,2,55.8,33.5,44.3,26.7,25.4,25.6,27.3,10.8,1.9
31,105,2,56.2,34.3,43.1,26.7,25.4,25.6,27.3,8.8,1.9
