quantity,unit,R1,R2,R3,mean,std,CoV_percent
TC_01 peak rise,degC,111.4,110.2,99.4,107.0,6.6,6.2
TC_02 peak rise,degC,26.5,31.7,46.0,34.7,10.1,29.1
TC_03 peak rise,degC,38.9,46.6,44.8,43.4,4.0,9.3
TC_05 peak rise,degC,4.2,5.0,4.7,4.6,0.4,8.7
TC_09 peak rise,degC,0.2,0.2,0.2,0.2,0.0,0.0
TC_10 peak rise,degC,0.9,1.2,1.2,1.1,0.2,15.7
TC_11 peak rise,degC,4.5,4.9,4.8,4.7,0.2,4.4
TC_01 time-to-peak,s,463.0,416.0,415.0,431.3,27.4,6.4
upper-layer dT T3-T2 (peak),degC,32.8,30.3,27.3,30.1,2.8,9.1
doorway dT T11-T9 (peak),degC,4.6,5.1,5.3,5.0,0.4,7.2
ceiling horiz dT T3-T5 (peak),degC,36.4,43.0,43.1,40.8,3.8,9.4
post-ignition record length,s,546.0,746.0,941.0,744.3,197.5,26.5
