run,sensor,group,x_m,z_m,baseline_C,peak_C,peak_rise_C,time_to_peak_from_ign_s,mean_rise_post_ign_C,t_over_60C_from_ign_s,t_over_100C_from_ign_s
R1,TC_01,back-wall column,0.12,0.05,25.2,136.6,111.4,463.0,83.3,37.0,142.0
R1,TC_02,back-wall column,0.12,0.16,24.9,51.4,26.5,400.0,9.9,,
R1,TC_03,back-wall column,0.12,0.23,25.05,64.0,38.9,304.0,30.2,212.0,
R1,TC_05,ceiling centre,0.35,0.23,25.1,29.3,4.2,533.0,2.2,,
R1,TC_09,doorway,0.7,0.015,25.0,25.2,0.2,388.0,0.1,,
R1,TC_10,doorway,0.7,0.075,24.9,25.8,0.9,500.0,0.4,,
R1,TC_11,doorway,0.7,0.14,25.2,29.7,4.5,449.0,2.8,,
R2,TC_01,back-wall column,0.12,0.05,26.6,136.8,110.2,416.0,82.4,36.0,121.0
R2,TC_02,back-wall column,0.12,0.16,25.6,57.3,31.7,612.0,15.7,,
R2,TC_03,back-wall column,0.12,0.23,26.9,73.5,46.6,436.0,32.9,114.0,
R2,TC_05,ceiling centre,0.35,0.23,25.9,30.9,5.0,438.0,3.2,,
R2,TC_09,doorway,0.7,0.015,25.45,25.6,0.2,490.0,0.1,,
R2,TC_10,doorway,0.7,0.075,25.4,26.6,1.2,710.0,0.4,,
R2,TC_11,doorway,0.7,0.14,25.85,30.7,4.9,541.0,3.6,,
R3,TC_01,back-wall column,0.12,0.05,27.1,126.5,99.4,415.0,74.9,42.0,157.0
R3,TC_02,back-wall column,0.12,0.16,26.1,72.1,46.0,537.0,16.5,407.0,
R3,TC_03,back-wall column,0.12,0.23,29.65,74.5,44.8,444.0,29.7,154.0,
R3,TC_05,ceiling centre,0.35,0.23,26.7,31.4,4.7,424.0,3.1,,
R3,TC_09,doorway,0.7,0.015,25.7,25.9,0.2,659.0,0.1,,
R3,TC_10,doorway,0.7,0.075,25.7,26.9,1.2,268.0,0.5,,
R3,TC_11,doorway,0.7,0.14,26.3,31.1,4.8,585.0,3.6,,
